CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
03;001;0002 ;0011; ;3334;002
03;001;0002 ;0012; ;9001;335
03;001;0002 ;0012; ;9002;000
03;001;0002 ;0012; ;9003;000
03;001;0002 ;0012; ;9004;006
03;001;0002 ;0012; ;9005;007
03;001;0002 ;0012; ;9006;000
03;001;0002 ;0012; ;3234;074
03;001;0002 ;0012; ;3333;003
03;001;0002 ;0012; ;3221;009
03;001;0002 ;0012; ;3218;058
03;001;0002 ;0012; ;3219;038
03;001;0002 ;0012; ;3111;002
03;001;0002 ;0012; ;3112;003
03;001;0002 ;0012; ;3100;017
03;001;0002 ;0012; ;3332;001
03;001;0002 ;0012; ;3334;001
03;001;0002 ;0013; ;9001;336
03;001;0002 ;0013; ;9002;226
03;001;0002 ;0013; ;9003;000
03;001;0002 ;0013; ;9004;024
03;001;0002 ;0013; ;9005;009
03;001;0002 ;0013; ;9006;000
03;001;0002 ;0013; ;3234;089
03;001;0002 ;0013; ;3333;004
03;001;0002 ;0013; ;3221;012
03;001;0002 ;0013; ;3218;050
03;001;0002 ;0013; ;3219;019
03;001;0002 ;0013; ;3111;001
03;001;0002 ;0013; ;3112;002
03;001;0002 ;0013; ;3100;007
03;001;0002 ;0013; ;3332;002
03;001;0002 ;0013; ;3334;007
03;001;0002 ;0014; ;9001;333
03;001;0002 ;0014; ;9002;222
03;001;0002 ;0014; ;9003;000
03;001;0002 ;0014; ;9004;019
03;001;0002 ;0014; ;9005;003
03;001;0002 ;0014; ;9006;002
03;001;0002 ;0014; ;3234;098
03;001;0002 ;0014; ;3333;004
03;001;0002 ;0014; ;3221;009
03;001;0002 ;0014; ;3218;055
03;001;0002 ;0014; ;3219;023
03;001;0002 ;0014; ;3111;002
03;001;0002 ;0014; ;3112;002
03;001;0002 ;0014; ;3100;006
03;001;0002 ;0014; ;3332;001
03;001;0002 ;0014; ;3334;007
03;001;0002 ;0015; ;9001;334
03;001;0002 ;0015; ;9002;212
03;001;0002 ;0015; ;9003;000
03;001;0002 ;0015; ;9004;009
03;001;0002 ;0015; ;9005;000
03;001;0002 ;0015; ;9006;001
03;001;0002 ;0015; ;3234;083
