Eleccion,,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017
,,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct
Denominacion,,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bahia blanca,2,10233.0,39360.0,27784.0,74454.0,235463.0,178187.0,17946.0,0.05742843192825515,0.22089153529718777,0.15592607765998642,0.41784193010713466,1.3214375908455724,1.0,0.1007144179990684,16326.0,98613.0,252071.0,11466.0,15468.0,38286.0,187940.0,6889.0,0.08686814940938598,0.5247046929871235,1.341231244014047,0.0610088326061509,0.08230286261572842,0.20371395126104075,1.0,0.036655315526231774,20886.0,81363.0,244495.0,8247.0,13892.0,35291.0,176205.0,8549.0,0.11853239124882949,0.46175193666468034,1.387559944382963,0.04680343917595982,0.07883998751454271,0.20028376039272439,1.0,0.0485173519480151
balcarce,2,568.0,6843.0,4735.0,12877.0,35567.0,27809.0,3340.0,0.020425042252508182,0.2460714157287209,0.17026861807328564,0.46305153008018984,1.278974432737603,1.0,0.12010500197777697,2778.0,16920.0,39238.0,728.0,2874.0,5636.0,30475.0,1603.0,0.09115668580803937,0.5552091878589007,1.2875471698113208,0.023888433141919605,0.09430680885972108,0.18493847415914685,1.0,0.05260049220672682,3657.0,13597.0,39251.0,399.0,2666.0,5654.0,27832.0,2212.0,0.13139551595286,0.4885383730957172,1.4102831273354413,0.014336016096579477,0.09578901983328543,0.20314745616556482,1.0,0.079476861167002
baradero,2,672.0,7528.0,3858.0,7015.0,26387.0,19627.0,2378.0,0.03423854893768788,0.3835532684567178,0.19656595506190452,0.3574158047587507,1.3444234982422174,1.0,0.12115962704437765,2796.0,9655.0,28451.0,756.0,1104.0,5945.0,22086.0,2040.0,0.12659603368649824,0.43715475867065107,1.2881916145974825,0.034229828850855744,0.04998641673458299,0.26917504301367384,1.0,0.0923662048356425,3516.0,7325.0,28303.0,720.0,1175.0,5661.0,20812.0,1943.0,0.16894099557947337,0.3519604074572362,1.359936575052854,0.03459542571593312,0.05645781280030752,0.27200653469152414,1.0,0.09335960023063618
bartolome mitre,2,333.0,6413.0,3021.0,7856.0,24018.0,19486.0,1998.0,0.017089192240582984,0.32910807759417016,0.15503438366006364,0.4031612439700298,1.232577234937904,1.0,0.1025351534434979,2051.0,9582.0,24379.0,425.0,1288.0,5089.0,19139.0,1131.0,0.10716338366685825,0.5006531166727625,1.2737865092220073,0.02220596687392236,0.06729714196143999,0.26589685981503736,1.0,0.059093996551543966,2588.0,8168.0,24753.0,204.0,1551.0,4601.0,19223.0,1158.0,0.13463039067783383,0.42490766269572905,1.2876762211933621,0.010612287364095094,0.08068459657701711,0.2393486968735369,1.0,0.06024033709618686
benito juarez,2,328.0,4755.0,2059.0,4200.0,16447.0,13212.0,1633.0,0.02482591583409022,0.35990009082652136,0.1558431728731456,0.3178928247048138,1.2448531637904936,1.0,0.12359975779594308,1036.0,5698.0,16929.0,386.0,243.0,4188.0,12973.0,1590.0,0.07985816696215216,0.4392199182918369,1.3049410313728513,0.029754104678948585,0.0187312109766438,0.3228243274493178,1.0,0.12256224466199028,1377.0,4196.0,16959.0,237.0,210.0,4109.0,11079.0,1657.0,0.12428919577579203,0.37873454282877517,1.5307338207419443,0.021391822366639588,0.018954779312212292,0.37088184854228723,1.0,0.14956223485874176
berazategui,2,9831.0,78298.0,39715.0,47511.0,245757.0,189544.0,17338.0,0.05186658506731946,0.41308614358671336,0.20952918583547883,0.2506594774828008,1.2965696619254632,1.0,0.09147216477440594,21569.0,66729.0,260484.0,11806.0,8932.0,85368.0,198818.0,8515.0,0.10848615316520636,0.33562856481807485,1.3101630637065054,0.059380941363458034,0.04492550976269754,0.42937762174451005,1.0,0.042828114154654005,27875.0,48387.0,239746.0,7488.0,7985.0,73164.0,179362.0,9754.0,0.15541196016993566,0.2697728615871812,1.3366599391175389,0.041747973372286216,0.044518905899800405,0.4079124898250466,1.0,0.05438164159632475
berisso,2,3184.0,19080.0,12082.0,18000.0,74815.0,58985.0,5752.0,0.053979825379333726,0.323472069170128,0.2048317368822582,0.30516232940578114,1.2683733152496397,1.0,0.09751631770789183,6037.0,24680.0,78044.0,3663.0,3457.0,20617.0,59691.0,2172.0,0.10113752492000469,0.4134626660635607,1.3074667872878658,0.061366035080665425,0.05791492854869243,0.34539545325090887,1.0,0.036387395084686136,8943.0,18139.0,77052.0,2609.0,4003.0,17966.0,55888.0,2698.0,0.1600164614944174,0.32455983395362153,1.378685943315202,0.04668265101631835,0.07162539364443173,0.3214643572860006,1.0,0.04827512167191526
bolivar,2,450.0,8029.0,2994.0,9288.0,29450.0,24069.0,2755.0,0.01869624828617724,0.3335826166438157,0.12439237193069924,0.38589056462669824,1.2235655822842662,1.0,0.11446258672981843,1177.0,10795.0,30369.0,466.0,7291.0,2657.0,24256.0,1385.0,0.0485240765171504,0.44504452506596304,1.2520201187335092,0.01921174142480211,0.3005854221635884,0.10953990765171503,1.0,0.05709927440633245,1644.0,9048.0,29714.0,190.0,4957.0,3041.0,20817.0,1301.0,0.07897391554979104,0.4346447614930105,1.4273910746024883,0.009127155690061008,0.23812268818753904,0.14608252870250277,1.0,0.06249699764615459
bragado,2,533.0,9963.0,2870.0,12399.0,34850.0,28499.0,2558.0,0.01870241061089863,0.3495912137267974,0.10070528790483876,0.4350678971191972,1.2228499245587565,1.0,0.08975753535211761,1952.0,13877.0,36168.0,765.0,1847.0,8787.0,27956.0,1004.0,0.0698240091572471,0.4963871798540564,1.293747317212763,0.02736442981828588,0.0660681070253255,0.31431535269709543,1.0,0.03591357848046931,2998.0,11594.0,36168.0,432.0,2170.0,8267.0,27211.0,1327.0,0.11017603175186505,0.42607768916982103,1.329168351034508,0.015875932527286758,0.07974716107456543,0.30381095880342507,1.0,0.04876704274006836
brandsen,2,533.0,5668.0,1995.0,6615.0,20935.0,17080.0,2222.0,0.031206088992974237,0.33185011709601875,0.1168032786885246,0.38729508196721313,1.225702576112412,1.0,0.1300936768149883,1775.0,8388.0,23151.0,596.0,515.0,6135.0,17838.0,846.0,0.09950667115147438,0.47023208879919276,1.2978472922973427,0.03341181746832605,0.028870949658033412,0.34392869155734945,1.0,0.04742684157416751,2078.0,6459.0,22822.0,387.0,499.0,5382.0,17565.0,2078.0,0.11830344434955878,0.3677198975234842,1.2992883575291774,0.02203245089666951,0.028408767435240536,0.3064047822374039,1.0,0.11830344434955878
