,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
comuna 05,1,157450,159303,159327,123040,104300,117209,48770,53452,55473,29532,28038,29212,17727,0,0,2609,1290,915,0,0,5696,8725,8097
ituzaingo,2,138879,142528,144638,112642,107869,114578,34279,37011,46106,36915,34958,38926,23280,17090,12474,5898,3624,3487,5618,5130,4528,6606,5370
comuna 03,1,163967,161318,159996,116687,91351,101915,48858,51646,53921,30075,26651,28254,18578,0,0,3287,1261,983,0,0,5236,7796,7774
comuna 10,1,149400,147828,149563,112424,91676,108876,48427,52713,54978,26596,24530,26286,20858,0,0,2729,1372,963,0,0,4380,6727,7099
comuna 09,1,145763,146337,147029,110073,83787,101863,44210,49679,52139,29775,26993,29179,23216,0,0,3240,1383,982,0,0,4070,6311,6229
comuna 02,1,145461,144225,143570,107651,85473,94039,68357,68386,70499,13686,12266,12605,9022,0,0,1601,914,758,0,0,2509,4091,3858
san fernando,2,127642,127355,134519,98254,90930,102484,26503,28682,37550,26483,23561,28650,31701,25517,20724,7887,5009,5664,3830,3556,3279,4876,3834
comuna 08,1,137805,136358,139147,103992,74355,90185,36344,39453,42313,35825,28749,33223,21175,0,0,3592,1461,1011,0,0,4002,6109,5145
san nicolas,2,119736,120238,123661,94577,86997,95105,27753,33458,42103,32282,26819,30619,21338,14280,11534,9061,5486,5224,5061,4635,2295,3654,3502
ezeiza,2,117465,122651,130568,90120,86032,99230,22180,22601,31464,37411,33801,40441,18304,13948,10686,8915,5121,4071,4680,5155,3461,5547,4038
tandil,2,100885,104658,107423,79604,76418,82012,31903,34556,42412,21739,18617,20586,12268,11145,9085,8111,3375,3636,3443,2876,1865,2912,2905
olavarria,2,92959,92379,94919,74099,66658,73025,25461,24891,33400,19405,17742,19229,16217,13861,10862,9033,4193,2475,3197,3442,1914,2840,2753
zarate,2,89330,92559,94958,71751,71045,70809,18625,22504,28602,27504,26481,28458,14880,10834,8453,7560,3463,3464,2357,2602,2011,2897,2259
pergamino,2,86356,82976,89457,65675,58957,67776,29690,29367,38075,17878,13222,15616,11504,6940,6549,6246,3514,2068,3991,3194,1396,2425,2016
lujan,2,81511,84015,88570,62671,61511,66991,26230,25054,33374,16930,16768,17661,11963,8849,7338,5565,3790,3160,3335,3616,1716,2743,2083
necochea,2,79523,81424,83406,59815,56108,60516,26594,27717,33570,13415,12297,13173,11416,8722,7545,4970,2661,3134,1842,1703,1338,2016,1585
campana,2,71839,78116,78797,56455,59182,62030,21884,22071,27570,17758,16613,18155,9843,8220,6307,5765,4602,4343,2665,2489,2320,3126,2281
junin,2,75964,78412,79101,57923,56698,59166,22219,24656,30570,15685,13466,16221,13046,8935,6656,6285,3208,2350,3218,2614,1269,2122,1545
berisso,2,74815,77052,78044,58985,55888,59691,18000,18139,24680,19080,17966,20617,12082,8943,6037,5752,2698,2172,4003,3457,2609,3663,3184
general rodriguez,2,65875,73074,75289,52997,53225,57042,15499,15301,20489,18022,17185,21088,11023,8841,6300,5691,3892,2609,2735,2628,1299,2251,1456
la costa,2,65517,69170,70210,50240,45976,50566,18231,18471,22860,15674,13348,15522,7893,5698,4476,3914,2653,2442,1651,1896,1261,1976,1981
presidente peron,2,59376,61582,65228,49167,45167,50315,7499,8142,11920,19352,16957,21183,12390,8926,7885,5696,3992,3002,2871,2999,1653,2534,1814
chivilcoy,2,55421,57217,57697,46170,43742,46145,11263,12476,15523,17275,7359,8173,11948,5076,5006,3543,2351,2432,14750,14195,775,994,1202
mercedes,2,51907,53676,53877,43356,40199,42450,15779,17853,21665,14265,10518,11725,7718,5722,4112,2942,1598,1198,2621,2154,1311,1721,1420
azul,2,53978,56463,56554,39895,40652,42299,12322,17713,21317,11517,9638,11006,5549,6228,4663,5301,2870,2445,1564,1589,960,1559,1077
ensenada,2,50440,48018,53049,40118,35556,41664,9787,9776,14015,15063,14813,18448,7350,4797,3647,4143,1875,1520,1264,1532,1877,2451,2565
tres arroyos,2,50103,51263,51115,37355,36137,37366,12789,13782,16712,10690,9113,9789,7795,6984,6411,5218,3572,2751,1086,995,1132,1356,1234
san vicente,2,48591,47446,54946,38384,33504,40356,11502,9119,14164,12545,10907,13920,8834,6173,5622,4018,3189,3871,1970,2224,742,1380,1115
san pedro,2,46254,48382,48703,35714,34438,36604,16113,16415,20982,9146,7377,9108,5714,5524,3374,4775,2399,2386,1876,1386,684,1067,853
coronel de marina l. rosales,2,47359,48824,49880,35274,33929,36541,17364,17908,22644,6592,4754,5335,6433,5733,4255,3643,2865,2230,1393,1684,817,1219,1092
marcos paz,2,40876,42469,43845,31964,30819,32851,6625,7558,10333,13138,11431,13731,7946,4636,3939,2921,1664,1402,3549,2312,1033,1458,1051
chacabuco,2,39557,41328,41645,32820,31521,33280,12757,13783,16245,12307,7607,9939,4036,3800,2551,2252,1429,1258,3215,1835,580,1022,698
