,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
escobar,0773A,2,57290,57671,62928,45261,40693,46934,11371,11012,15295,17178,14943,19447,10280,7639,5826,4085,2198,2480,1813,1855,1671,2331,2190
tigre,0534A,2,60441,59318,57983,47516,43686,44961,10329,13029,15436,10902,11098,12203,17339,13133,10499,2463,1608,1151,1384,1357,1793,2406,1886
lanus,0262,2,58350,57621,59378,42709,41502,46034,9467,9779,13125,21182,18597,23006,9035,5431,4204,2922,2352,1278,2821,2195,1492,2259,1787
general pueyrredon,0366A,2,63487,58811,60908,43200,39152,44456,18851,19349,23451,11323,8756,10346,7485,5425,4248,2862,1834,1123,1804,1829,1657,2940,2082
la matanza,0633,2,52345,66896,69041,39567,40954,45019,12980,13390,17041,14238,12720,15243,9161,6264,4898,2359,1375,848,1990,1966,1691,2700,1958
la matanza,0629A,2,57821,60381,61788,43277,42444,46007,7133,8161,10530,20300,20071,22345,8202,5247,3974,2722,1607,1156,2565,2435,1635,2417,1939
ituzaingo,0666,2,57810,55139,55844,46135,43211,45459,11826,13310,16663,16261,15600,17360,10155,7265,5252,2539,1583,1499,2379,2101,1707,2427,1977
tigre,0535A,2,52781,55861,55862,44767,43661,44623,7987,9556,12555,12934,12639,14638,16831,13714,11254,2997,2149,1612,1628,1645,2185,2825,2476
hurlingham,0668,2,57838,58283,60032,43426,41242,44107,14813,16184,19651,12260,11030,12890,8944,5503,4124,2047,1143,688,1987,1873,1874,2820,2102
ituzaingo,0667,2,53104,57893,58946,43147,42498,45085,15741,16341,20276,12449,11401,12727,8231,6397,4694,1945,1176,1218,2093,1817,1916,2838,2263
general san martin,0377A,2,58675,58934,59951,42026,38868,41361,11718,11282,14635,15239,12414,15625,9057,6787,4709,3124,1629,1120,3042,2730,1459,2232,1884
lanus,0273,2,52527,56218,57619,39996,42129,44636,11155,11887,14672,17793,17119,20363,7622,5453,4033,2529,1701,1041,2496,1996,1425,2240,1666
almirante brown,0021,2,53069,54779,54779,42373,42884,44235,9998,11021,13748,16267,16636,18628,8862,6874,5003,3469,2026,1339,2357,2290,2100,2859,2397
chivilcoy,0211,2,51371,53508,53821,43028,41334,43075,10407,11635,14313,16380,7055,7855,10813,4350,4275,3273,2234,2292,14179,13550,752,968,1172
malvinas argentinas,0399F,2,51537,51382,53827,43537,39645,43577,9386,13848,17031,13676,13373,15817,14445,6314,4825,3322,1690,1461,1484,1534,1791,2739,1961
avellaneda,0039,2,52805,54798,55825,40900,39914,42718,10605,10817,13756,17870,17582,19754,7100,5375,3718,2331,1294,854,1678,1511,1405,2052,1799
moreno,0663B,2,50823,51848,53572,41480,37386,42568,7000,7865,11214,18749,16977,19943,9588,6302,5134,4415,2726,1964,3152,2863,1172,2157,1380
hurlingham,0668B,2,51301,50326,53128,41545,38943,42030,10837,12442,15510,15134,13624,16401,10719,6235,4854,2602,1580,941,2264,2178,1727,2611,1922
tres de febrero,0394,2,52191,50200,51938,40954,38974,42058,11958,12445,16552,15203,13106,15313,9364,6386,4416,2213,1449,924,2995,2447,1776,2342,1951
merlo,0655,2,50764,51454,53184,40523,39839,41088,12098,12819,16314,13611,13268,14655,9028,6483,4834,2308,1328,844,1822,1906,1933,2995,2167
san miguel,0397,2,51269,54531,54508,39449,38974,39869,12922,16972,19875,10259,10036,10415,8790,4886,3707,2576,1280,791,1473,1610,1756,2578,2120
san isidro,0891,2,52831,52196,52951,40399,38243,40454,23272,23355,26273,5631,4806,5476,5199,4281,3117,1168,930,747,1261,1191,1451,2292,1793
almirante brown,0018A,2,48810,50607,52010,36873,38433,41241,7025,7189,9918,20050,19164,22215,7830,5696,3982,3368,1759,1243,2450,2411,1428,2023,1612
tres de febrero,0393,2,50085,54683,57622,38463,36045,39262,11866,11931,15153,13894,12054,14061,8615,5560,4216,2058,1068,869,2058,1795,1535,2258,1857
la matanza,0628,2,49006,49856,50543,40403,39035,40968,19203,20384,23364,8649,7913,8782,6777,5201,3768,1169,646,484,1748,1600,1924,2982,2211
almirante brown,0022A,2,52690,49344,53036,40083,34032,39953,9301,8087,12018,16958,14536,18066,8649,5432,4030,3215,1743,1162,2427,2661,1451,2356,2103
escobar,0774,2,50712,52768,54607,38480,36463,40004,14181,14210,17855,10377,9621,11514,6659,5490,4045,3150,1844,2214,1620,1517,1263,1778,1646
quilmes,0788A,2,48527,51379,53484,37599,36674,39751,7754,8136,11443,17200,16499,20067,6923,4731,3402,3570,2166,1382,2505,2317,1455,2201,1524
la matanza,0635C,2,42713,49622,51734,34927,39393,40621,4574,5362,7578,20992,23259,26296,5842,3940,2989,3063,2070,1176,2128,2062,1228,1844,1330
moreno,0663A,2,47328,50140,50816,37551,36437,39656,9387,10465,13664,13678,13104,14775,8875,5769,4535,2594,1545,1063,2618,2298,1625,2453,1780
merlo,0655A,2,46686,49363,54370,36553,34322,38739,5333,5884,8754,18062,17827,20953,7645,4888,3916,3505,1661,1386,1583,1965,1210,1938,1214
general pueyrredon,0370,2,51014,55388,58193,35164,30256,37265,8760,8844,12635,14577,10974,15179,5764,4140,3729,3645,2571,1914,1802,1888,885,1716,996
azul,0060,2,48073,49766,49881,36006,36096,37196,11079,15549,18614,10427,8565,9792,5019,5308,3982,4914,2620,2213,1442,1439,879,1456,1007
