,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
general san martin,0378,2,32875,31592,33333,23824,20464,23001,7289,7006,9073,7292,5849,7353,4867,3153,2393,1219,478,397,1469,1465,834,1397,1252
lanus,0276,2,28098,29929,30281,21870,23115,23946,10251,10902,12992,5652,5360,6252,3922,3238,2361,761,553,358,1077,878,951,1513,1207
ituzaingo,0666A,2,27965,29496,29848,23360,22160,24034,6712,7360,9167,8205,7957,8839,4894,3428,2528,1414,865,770,1146,1212,905,1341,1130
moreno,0663D,2,28828,31377,32429,21624,21862,22143,2536,2825,4339,11854,10072,12047,4491,2909,2395,2295,1293,1357,2099,1596,511,866,604
berazategui,0789A,2,28937,26828,29281,22757,21040,22681,4869,4977,6984,10401,9324,10767,5278,3532,2770,2619,1267,1152,835,975,819,1378,1095
la matanza,0634,2,27421,29097,30150,20978,22522,23382,6454,7316,9182,7566,7712,8690,5378,3798,2939,1047,688,436,1077,1094,868,1451,994
malvinas argentinas,0399D,2,26557,29000,30042,22138,21498,23854,4107,6338,7786,8036,8592,9885,7046,3549,2803,1640,900,844,899,867,1086,1502,1050
esteban echeverria,0286A,2,26958,33768,33769,19864,21024,23056,3495,3760,5233,9986,9968,11319,3946,2820,1934,1833,1607,1003,998,963,576,951,626
comuna 06,0071,1,31167,31149,31148,24475,20949,22159,11375,12508,12920,4583,4450,4484,3309,0,0,455,288,168,0,0,912,1453,1359
berisso,0513,2,27914,28732,29084,22050,21040,22776,6903,6804,9292,7549,7150,8259,4621,3487,2354,2389,1201,837,1569,1375,1036,1480,1256
la plata,0496,2,28462,28988,29338,23116,21442,20823,8779,8645,10974,6122,5339,6326,4383,3009,2147,1377,733,680,1294,1180,1171,1630,1505
general san martin,0376,2,33459,32334,32672,20864,19474,20727,7842,8072,10031,4699,4218,4732,4319,3098,2301,939,589,332,1340,1161,903,1373,1056
quilmes,0787A,2,34191,29254,30053,22024,19524,21214,10033,9609,11139,4841,4198,4871,3030,2416,1702,749,468,280,830,752,913,1421,1114
pehuajo,0734,2,27663,28227,28563,22497,20366,21639,6969,7990,10037,7668,6884,7644,4086,3206,2188,2642,1237,1024,603,714,365,563,458
quilmes,0791B,2,26390,30273,31323,21094,19796,22222,6690,6562,8592,7641,6704,8148,4343,2790,2011,1642,868,512,1203,1130,804,1195,960
ezeiza,0290,2,29365,28803,31255,21027,19024,22862,4441,4309,6411,8564,7572,9366,3882,3082,2471,2156,1280,971,1030,1203,749,1249,910
malvinas argentinas,0399B,2,26141,28737,29079,20915,21016,22584,4254,5424,6873,7748,7978,9532,5603,3447,2629,1813,1038,713,930,788,1017,1397,898
presidente peron,0304A,2,24143,29510,31054,20412,20676,23094,3184,3591,5054,8425,7257,9025,5389,4094,3553,2517,1850,1326,1300,1310,762,1093,814
chascomus,0201,2,26096,27407,28437,21541,20062,21890,8151,9766,11394,5231,4170,5058,4216,2900,2710,2771,1996,1759,923,618,423,713,562
comuna 06,0069,1,29367,29294,29298,23182,19229,22582,11585,12019,12476,4131,4111,4050,2990,0,0,346,233,175,0,0,763,1249,1204
canuelas,0157,2,27283,25733,29214,21880,18370,23014,7439,7548,10551,7286,5873,7453,4392,2643,2148,1457,777,593,794,944,753,970,806
almirante brown,0020A,2,27308,27544,26498,21734,20187,20796,4242,4108,5336,10548,9481,10403,4499,3546,2423,1724,960,589,1373,1245,823,1159,921
quilmes,0788B,2,24998,28103,28806,19057,19631,22081,5124,5166,7027,8722,8211,9866,4088,2800,2054,1896,1028,729,1434,1157,792,1167,864
lanus,0275,2,26218,26330,27031,21389,20007,21532,8529,8471,10206,6101,5702,6645,4091,2954,2348,829,567,321,980,875,866,1377,1145
pilar,0772,2,24412,26621,28024,20238,20147,22193,7491,7133,9745,7225,7169,7407,3358,2990,2250,1653,1031,867,946,888,513,796,568
ezeiza,0290A,2,24774,26704,30762,18821,18199,22650,4441,4097,6524,8948,7652,10191,4080,2784,2391,2303,1325,1065,978,1156,750,1290,910
villa gesell,0344,2,28350,28850,29546,20816,17709,19902,6828,6596,8637,7121,4604,6006,3189,3563,2306,1979,920,749,1206,881,487,795,695
san isidro,0889,2,28634,26028,26021,21238,19145,20201,9707,10123,11545,4438,3973,4506,3793,2750,2005,1074,832,590,714,694,705,1009,832
moreno,0664A,2,24127,27390,28094,19451,19979,21643,3622,4465,6230,8178,8149,9483,4600,3194,2511,1795,1261,916,1511,1374,643,1120,681
quilmes,0791A,2,23318,28428,28782,18512,19419,20931,4869,5255,6926,7854,8072,9331,3833,3056,2231,1778,1042,594,1391,1134,808,1242,842
comuna 13,0138,1,28674,29015,29015,21581,17102,19660,12720,13142,13597,3199,3056,3103,2248,0,0,335,230,189,0,0,667,1085,1002
comuna 08,0087,1,29650,29725,30070,22023,14885,17844,6478,6872,7403,9070,7103,8395,4367,0,0,900,329,215,0,0,966,1455,1058
vicente lopez,0993,2,26346,26320,26666,20589,19724,20763,12422,13082,14545,2586,2418,2699,2204,1813,1366,473,373,200,608,578,709,1177,1106
la plata,0495,2,26613,26194,28320,20193,19205,21526,8842,9277,11804,4092,3730,4532,2553,2156,1685,838,512,467,1012,941,981,1572,1514
bahia blanca,0085,2,24575,26453,26457,19303,20418,20660,9031,10111,11817,3856,3402,3674,2566,2205,1605,1659,837,633,1526,1562,1027,1386,1205
vicente lopez,0996,2,25217,25863,25852,20252,20155,20323,10998,11535,13056,3279,2940,3253,2686,2336,1766,501,391,235,719,688,860,1430,1102
esteban echeverria,0288B,2,23195,27067,28116,18776,19117,21351,4462,4654,6212,8105,7991,9450,3755,2856,1936,1682,1064,742,923,928,793,1215,944
mercedes,0638,2,25376,25640,25641,20741,18649,20311,9097,10110,11735,5712,3989,4325,3398,2417,1754,1068,605,470,1072,881,653,851,739
lanus,0265,2,25146,25335,25685,19688,19208,20748,6565,6779,8212,6886,6686,7746,3798,2662,2022,963,673,362,1069,933,837,1301,1102
la plata,0504A,2,25218,25715,27109,20364,18027,20925,8750,8934,10979,4774,3974,4803,2326,1854,1418,895,540,511,1331,1222,862,1381,1414
san miguel,0402,2,23389,25294,25636,19903,19175,20555,5125,6905,8081,7623,7587,8075,3940,2142,1580,2032,1033,903,620,761,608,903,585
san vicente,0925,2,26862,22513,29662,20921,15113,20983,5316,3577,6661,7190,5596,8047,4908,2632,2767,2218,1418,2141,808,974,336,744,639
lincoln,0554,2,24625,26049,26049,19350,17441,19461,8716,7835,10338,6765,4355,4911,2081,2330,1888,2277,1753,813,1395,1345,352,613,389
bolivar,0125,2,24629,25120,25798,20126,17452,20638,7636,7451,8908,6935,2566,2319,2300,1236,910,2393,1119,1246,4421,6397,177,411,396
almirante brown,0017,2,25836,25331,25333,20200,18285,19025,10605,10667,12108,3864,3289,3653,2550,1904,1369,599,429,256,768,717,738,1148,1044
comuna 07,0086,1,27769,28355,28702,19747,16160,19750,5840,6514,7005,7538,5898,7176,4062,0,0,803,318,225,0,0,966,1449,1145
san miguel,0400,2,23735,24534,25075,19512,19166,19860,7329,9011,10666,4737,4531,4867,4508,2381,1818,1315,592,424,706,802,778,1235,972
moreno,0664B,2,24783,19883,28288,19844,14745,22625,3510,2782,5668,9041,6220,10222,4936,2340,2780,2085,1056,1085,1147,1462,510,1209,739
comuna 14,0154,1,27228,27496,27502,20475,18160,16726,10091,10512,10847,4002,3781,3794,2084,0,0,379,210,155,0,0,669,1190,1108
general alvarado,0305,2,25102,23383,26884,18927,16705,20160,5979,6237,9039,5168,4217,4736,5051,3772,4083,1591,1013,1045,512,647,420,717,594
quilmes,0784,2,26833,24386,24387,19108,17909,18955,8378,8556,9939,4657,4198,4807,3040,2365,1688,991,420,297,886,739,844,1161,918
saladillo,0846,2,23907,24571,24557,19368,18251,18769,9344,9461,11146,4506,4442,4346,1997,1903,1520,2962,1035,724,492,513,274,501,476
comuna 06,0070,1,26042,26170,26172,20632,17266,19640,8585,9454,9639,4386,4268,4270,2786,0,0,347,192,153,0,0,820,1289,1314
salto,0854,2,23190,24718,24708,18076,17512,17871,5932,6304,8477,5521,4293,5252,3678,2920,1827,2030,1729,1448,1655,1410,501,626,600
lobos,0574,2,22215,24025,24017,17885,18062,19048,7738,8418,10283,5375,4449,4608,2637,2126,1691,1774,809,651,1194,1118,638,778,488
comuna 14,0151,1,25776,26523,26530,19203,14582,17279,13043,13309,13766,2253,2035,1985,1420,0,0,256,163,138,0,0,340,644,534
bartolome mitre,0117,2,22699,23450,23081,18372,18210,18090,7354,7633,8969,6116,4421,4880,2844,2483,1963,1902,1110,1085,1461,1220,194,403,320
baradero,0105,2,22876,23925,23565,16819,17741,18245,6129,6400,8193,6448,4634,4825,3385,2972,2302,2069,1674,1754,994,862,627,659,618
comuna 14,0149,1,25305,25778,25430,19557,15163,17616,12729,12707,13069,2192,1910,1902,1585,0,0,290,154,98,0,0,378,626,557
comuna 12,0129,1,24851,24666,25359,19711,16571,17620,9478,9720,10464,3865,3517,3876,2442,0,0,407,203,146,0,0,716,1112,1104
dolores,0282,2,22399,23092,23773,17739,17457,18146,7660,8084,10305,4366,3678,4259,3379,2422,1742,2363,902,817,990,851,261,448,249
zarate,1014,2,21099,23327,24712,16466,18100,17498,3642,4589,6520,7236,7309,8246,3822,2937,2331,1887,977,962,578,685,533,772,512
lomas de zamora,0584,2,36501,20065,20415,22130,15128,15714,7181,7369,8684,3683,3300,3671,2288,1921,1360,527,373,240,549,605,669,1112,942
florencio varela,0303B,2,22655,22069,24872,17969,15716,18480,2632,3166,4706,8203,7614,9235,3900,2044,1831,2282,1263,1356,909,1243,463,804,575
bahia blanca,0073,2,21391,27619,29580,16576,15104,17484,7572,7302,8892,3396,2863,3095,2246,1633,1320,1395,609,487,1020,1242,715,960,949
lomas de zamora,0593,2,23088,23213,23563,17612,16396,17337,4969,5308,6724,6297,5657,6509,3857,2698,1930,1197,707,421,909,937,721,1055,1014
berisso,0512,2,24020,22275,22276,18976,16899,17016,5719,5615,7427,5521,5179,5710,3387,2487,1564,1691,643,555,1179,977,664,962,872
comuna 13,0142,1,24536,24716,24717,18265,13528,16675,13468,13443,13827,1490,1412,1377,1257,0,0,222,143,129,0,0,309,526,441
comuna 06,0074,1,23754,23979,23632,19399,16107,18318,9416,10150,10297,3419,3130,3215,2471,0,0,320,174,129,0,0,611,933,940
coronel suarez,0252,2,21081,22923,22549,16855,16705,17735,7446,6789,7958,4458,2619,3641,2291,2633,2665,2144,3484,2223,479,456,548,754,449
moreno,0664,2,20376,23761,24111,15303,16710,18327,4279,4871,6304,5949,6067,6859,3452,2571,2064,1261,951,595,1266,979,581,986,528
san vicente,0924,2,20427,22621,22972,16823,16861,17777,5930,5132,6840,5001,4719,5225,3587,3164,2583,1684,1617,1503,1121,1169,372,577,439
bahia blanca,0086,2,20122,22763,23463,15662,17522,18314,6835,8303,9971,3290,3136,3436,2508,2178,1617,1600,730,618,1365,1498,870,1182,966
comuna 12,0127,1,23174,23644,23990,18689,14848,17543,9745,10280,10797,3126,2933,3065,2255,0,0,369,167,120,0,0,622,913,889
berazategui,0792,2,22552,22203,22555,17061,16082,16998,4551,4624,5894,7005,6532,7024,3370,2346,1637,1546,898,718,667,736,585,810,751
comuna 14,0153,1,24660,24363,24364,18166,14113,16748,9775,10205,10443,3153,2970,3007,1881,0,0,348,196,148,0,0,611,975,924
san miguel,0397A,2,20699,21108,22141,17537,16824,17660,3685,5303,6782,6466,6096,6892,4499,2074,1719,1520,926,582,713,798,670,1044,846
avellaneda,0027,2,22622,23770,23759,16006,15967,17091,3329,3329,4198,7756,8055,8926,2868,2111,1554,1061,579,393,584,657,519,734,703
lanus,0263,2,23021,22884,23659,15920,15698,16666,5512,5622,7002,5087,4726,5531,3484,2315,1732,717,605,297,918,719,698,1110,918
florencio varela,0302B,2,20151,23216,23217,14735,16139,17680,2512,3202,4005,8216,8432,8833,3133,1904,1526,1747,1150,1116,964,991,519,839,571
zarate,1013,2,22582,22050,22039,17254,16529,15697,6326,7091,8168,5193,4352,4696,3183,2276,1648,1395,614,617,506,501,472,708,638
avellaneda,0034,2,21535,21836,22180,16450,15881,16665,5236,5521,6723,5678,5700,6311,3311,2435,1677,845,512,376,633,664,693,1113,890
general san martin,0379,2,21070,20751,22140,16729,15606,17544,5810,5908,7733,4981,4270,5216,3792,2589,2021,917,459,353,1049,976,707,1113,982
veinticinco de mayo,0980,2,20595,21998,21980,16147,16132,16480,5810,7055,8370,4030,4017,4886,3215,2283,1549,3019,1187,1087,689,547,415,561,404
escobar,0773,2,19631,22372,22721,15736,16458,17040,4789,5070,6614,5034,5135,6061,3642,2778,2068,1497,939,1063,735,768,584,884,585
esteban echeverria,0287,2,20709,20686,22438,16108,14517,17305,3459,3486,4961,7954,6989,8556,3456,2386,1852,1488,904,685,885,834,655,1047,732
comuna 14,0155,1,23157,24127,24132,16714,13757,16094,8407,9106,9359,3792,3600,3731,2051,0,0,350,195,126,0,0,644,1005,975
quilmes,0785A,2,19400,21065,21417,15884,16348,16750,6181,6357,7954,4649,4747,5406,2991,2350,1630,948,457,355,836,713,735,1097,772
comuna 14,0148,1,22688,22715,22716,17227,14791,15340,11149,11015,11454,2060,1929,1947,1429,0,0,261,153,124,0,0,410,653,632
comuna 15,0160,1,23559,23499,23502,16620,14194,15934,7177,7728,8001,3914,3784,3807,2343,0,0,346,213,175,0,0,783,1238,1048
esteban echeverria,0291A,2,19854,20803,20455,16194,15974,15749,4241,4458,5548,6548,6190,6859,3410,2454,1663,1242,833,557,805,818,660,963,750
esteban echeverria,0287D,2,19700,20420,20771,16503,15182,16208,3456,3386,4567,7148,6782,7813,3023,2385,1609,1545,1104,747,831,874,601,960,646
comuna 09,0098,1,21918,22139,22137,16599,14451,15432,7139,8066,8230,4122,3748,4054,3671,0,0,520,202,159,0,0,566,864,885
comuna 05,0064,1,22342,22339,22343,16888,14905,16479,6747,7269,7633,4006,3749,3880,2302,0,0,382,181,127,0,0,757,1215,1109
avellaneda,0037,2,21659,19933,21380,15695,14556,16521,5047,5008,6492,5299,5245,6037,2906,2149,1587,687,445,245,640,628,627,1000,778
ezeiza,0290B,2,18517,20307,21008,14247,14921,16885,2827,3225,4442,7427,7278,8157,3066,2452,1812,1689,1012,802,835,965,549,913,638
lomas de zamora,0589,2,20253,19838,20890,16063,14396,16430,5642,5362,6847,5299,4381,5272,3299,2280,1671,884,449,352,680,762,758,1163,980
malvinas argentinas,0399E,2,20358,19047,20442,16200,14782,15948,2754,3695,4971,6046,5680,6905,5091,2607,2191,1366,931,559,724,694,762,1112,816
quilmes,0791,2,20374,20778,20430,14768,14994,16085,5549,5951,7133,4553,4544,5050,2925,2246,1563,870,386,271,923,778,730,986,790
campana,0155,2,20343,21088,21084,14845,15105,15661,6952,6883,7943,3919,3399,3775,2299,1892,1389,1172,979,828,600,493,574,732,618
berazategui,0789B,2,27663,14916,15616,22923,10926,12471,6379,3204,4406,8503,4508,5065,4852,1903,1424,1702,569,390,578,583,538,804,1303
comuna 12,0125,1,21042,21484,21486,16865,13906,14628,7805,8062,8468,3556,3389,3475,2545,0,0,358,188,134,0,0,655,967,921
escobar,0773B,2,18320,18802,21254,14538,14171,16493,2754,2671,4210,7228,6644,8997,2841,2501,1808,1662,1057,1025,579,648,420,633,546
las flores,0538,2,19142,19065,20379,15426,13972,16016,5795,5224,7262,4864,3681,4331,1920,3273,2699,2033,765,807,517,590,296,479,453
colon,0230,2,18822,20226,19866,14774,14954,14760,5025,5260,6127,5631,5077,6175,1908,1719,1159,1817,1497,1153,1019,687,304,414,437
berazategui,0790,2,17905,19831,20533,14138,15045,15996,4703,4938,6306,5085,5139,6036,2875,2275,1666,1136,729,548,623,684,665,1002,790
san nicolas,0904,2,19178,19162,20200,15076,13457,15656,3455,4277,5730,6091,4909,5862,3678,2325,1990,1692,1101,990,1000,895,369,567,495
san fernando,0879A,2,19520,20100,20453,14518,14554,15167,2604,2894,4087,4474,4201,4982,5489,4704,3610,1441,960,1117,634,565,449,689,522
comuna 07,0083,1,20287,21286,21287,16044,14299,16133,7753,8701,9021,2688,2719,2736,2196,0,0,266,152,115,0,0,529,790,712
malvinas argentinas,0399G,2,18297,18003,20454,14572,13122,16609,1705,2298,3538,7476,7195,9388,4148,2137,1748,1508,951,779,609,579,570,796,522
bahia blanca,0074,2,18883,19198,19901,15096,14575,15067,5659,6072,7435,3478,3095,3345,2798,1910,1520,1851,814,673,1283,1422,729,1030,854
comuna 13,0147,1,20916,21002,21003,15453,12008,15161,9408,9552,9853,2193,2044,2102,1507,0,0,251,164,120,0,0,482,741,674
quilmes,0786,2,18434,20287,21429,13853,12964,14887,4459,4545,5721,5804,5053,6058,2454,1617,1255,975,691,428,809,641,555,810,670
comuna 12,0133,1,20349,20221,20572,15485,13411,15288,7716,8154,8584,3189,2924,3108,2133,0,0,289,180,114,0,0,559,873,891
berisso,0513A,2,17430,20609,20897,13291,14122,15384,4040,4405,6039,4566,4413,5084,3073,2242,1585,1186,610,586,937,826,701,948,820
quilmes,0783,2,18626,19232,20633,14570,13279,14835,8100,7556,9235,3193,2678,3216,1638,1377,1021,668,396,245,589,507,491,804,693
comuna 05,0067,1,20423,20681,20680,15757,13544,15522,6212,6868,7088,3596,3610,3643,2090,0,0,345,176,125,0,0,752,1153,1107
olavarria,0711D,2,18453,18186,19223,15041,13613,15245,4710,4583,6423,4190,3865,4286,3431,2965,2413,1953,805,585,701,750,488,633,625
san nicolas,0901B,2,18060,18600,18937,14714,13967,14860,4084,5331,6561,4931,4053,4621,3545,2422,1948,1376,902,894,793,682,378,612,590
zarate,1017,2,18045,18603,19295,14656,14481,14466,3027,3760,5082,5879,5934,6364,3303,2263,1780,1793,702,749,498,533,395,542,378
san isidro,0895,2,19044,19047,19040,14799,14043,14581,11153,10938,11896,1015,886,1000,917,864,575,264,257,218,288,269,333,534,398
comuna 05,0063,1,20532,20369,20372,15498,13241,14927,6559,6943,7304,3650,3381,3593,2351,0,0,321,165,113,0,0,760,1058,1052
vicente lopez,0995,2,21113,20388,21488,14357,12782,14077,7346,7780,8560,2168,1823,2104,1543,1220,951,314,277,154,445,424,581,987,731
comuna 12,0132,1,20485,20157,20154,16415,11086,14777,7331,7500,7863,3644,3350,3432,2299,0,0,401,162,118,0,0,555,916,948
comuna 06,0068,1,20031,20113,20115,16076,12949,15270,6559,7193,7341,3486,3396,3451,2033,0,0,319,177,118,0,0,702,1073,1002
presidente peron,0304,2,20742,17031,17732,16342,13400,14139,2308,2434,3632,5687,5078,6139,3958,2783,2426,1716,1161,796,736,816,511,821,606
comuna 02,0023,1,20488,20292,20295,15622,12584,13342,9405,9442,9749,2113,1890,1954,1412,0,0,229,146,120,0,0,352,613,579
lomas de zamora,0586,2,28746,16726,17078,16501,12425,13226,5793,6172,7121,2824,2594,2854,1839,1528,1215,387,287,198,450,431,556,875,746
brandsen,0148,2,17111,18853,19193,13771,14394,14576,5342,5224,6831,4624,4494,5115,1569,1697,1485,1814,1735,699,383,422,305,464,448
coronel pringles,0240,2,18518,19148,18449,13980,13771,14068,5875,6430,7264,3978,3715,3446,1522,1283,1105,2537,1373,1215,429,410,458,483,323
comuna 14,0152,1,20622,20591,20593,14747,11374,13384,9553,9847,10185,1939,1791,1770,1203,0,0,201,151,130,0,0,369,612,543
san fernando,0879,2,18526,17573,17923,15115,13413,14410,3810,4011,5294,3706,3337,3767,5610,4260,3401,1078,674,666,478,468,578,770,677
general pueyrredon,0368,2,18111,21345,21689,12415,11268,14463,3429,3857,5254,5433,4507,5822,1967,1666,1266,1220,1011,695,781,782,494,834,430
comuna 15,0165,1,19717,19873,19872,15326,12918,14478,6742,6934,7285,3425,3299,3445,2042,0,0,296,195,129,0,0,654,1092,965
lanus,0272,2,19066,19043,19743,13491,12914,14056,5239,5158,6286,4089,3628,4335,2392,1740,1332,571,379,235,620,541,471,843,689
berazategui,0789C,2,16567,17895,18246,13071,13865,14611,4711,5230,6502,4354,4185,4865,2563,1966,1450,946,602,487,621,591,638,964,778
comuna 15,0161,1,20539,20085,20433,14413,11184,13224,5903,6330,6663,3839,3655,3755,2179,0,0,327,159,98,0,0,722,1098,1068
rojas,0823,2,17180,17523,17862,14286,12916,13886,6134,5665,7615,2694,2986,3288,2997,2487,1703,1744,840,805,458,520,184,330,338
comuna 12,0128,1,19059,19144,19493,15464,11410,12974,6971,7069,7770,3191,2936,3183,2160,0,0,331,214,127,0,0,584,932,867
comuna 15,0158,1,20187,20042,20044,13757,11684,13147,6257,6540,6808,3493,3291,3414,1958,0,0,262,159,120,0,0,678,1071,932
san isidro,0888,2,17396,17337,17681,13622,13325,14217,8275,8637,9753,1908,1758,1982,1702,1339,974,431,335,312,468,372,499,739,572
comuna 11,0120,1,19116,19161,19166,14251,11886,13723,7331,7914,8089,2863,2579,2715,2379,0,0,307,151,121,0,0,457,709,675
san fernando,0877,2,16371,17410,18460,12598,13154,14785,2797,3231,4539,4056,3911,4604,4440,3837,3317,1207,737,932,694,556,493,721,561
esteban echeverria,0288A,2,16235,18908,18908,13589,12488,14053,5504,5568,6763,3555,3274,3606,2414,1836,1302,647,472,297,776,587,641,931,785
san fernando,0878,2,18129,15661,20216,14129,10412,14944,2824,2376,4272,4577,3129,4858,5211,3373,3316,1290,645,923,465,552,440,725,593
san antonio de areco,0866,2,16768,16521,17210,14227,13163,14391,5899,5967,7690,5220,3337,4139,1280,1561,987,1222,477,390,595,371,540,592,447
general san martin,0384,2,17313,17355,17697,12791,13282,13496,4380,4475,5577,4357,3949,4590,3249,2410,1772,836,390,277,1049,945,481,760,692
escobar,0775,2,16913,17043,17044,14035,13510,13530,4663,4972,5850,4330,3820,4555,2798,2228,1583,1025,514,539,605,542,509,692,724
comuna 10,0107,1,18869,18718,19068,14708,10430,14492,6220,6741,6978,3489,3081,3408,2664,0,0,384,154,124,0,0,599,877,954
tres de febrero,0390,2,16494,16758,17455,13586,12979,14107,5740,5871,7183,3493,3034,3621,2627,2071,1514,545,305,224,865,744,654,972,733
comuna 10,0109,1,19329,18596,19285,14639,10419,13830,6208,6542,6998,3393,3146,3388,2486,0,0,299,191,123,0,0,643,980,989
patagones,0729,2,17458,17726,19386,12710,12176,13666,3884,3730,5192,4812,4945,5234,2042,1889,1837,1533,614,580,477,549,174,431,295
florencio varela,0302D,2,16418,16718,17419,13365,13135,14216,2293,2840,3824,6062,6338,6908,3103,1688,1306,1287,709,630,666,770,416,668,505
esteban echeverria,0287A,2,16420,17164,16685,13439,13731,12947,3324,3412,4272,5630,5460,5836,2741,2037,1331,1111,834,533,764,666,547,783,593
la matanza,0631C,2,16654,15969,16868,14009,11897,14086,2666,2812,3690,6720,6009,7110,3082,1689,1368,919,595,336,796,781,505,741,642
comuna 10,0105,1,18620,18360,18707,13975,11574,12586,6251,6793,7162,3201,3002,3158,2634,0,0,346,179,130,0,0,493,808,911
campana,0155A,2,15780,16387,17083,13086,13189,14029,5644,5603,7037,3320,3007,3347,2200,1886,1466,1041,769,753,497,510,594,825,580
comuna 04,0057,1,18597,18846,18495,13635,10789,13690,5499,5970,6091,3818,3472,3692,2752,0,0,357,176,124,0,0,618,930,872
vicente lopez,0998,2,16543,16945,16937,13342,12861,13489,6405,6732,7713,2556,2409,2711,1820,1451,1110,425,307,205,498,495,704,1140,846
comuna 13,0139,1,18066,18408,18413,14112,10738,12812,8299,8568,8887,1835,1822,1800,1292,0,0,197,142,117,0,0,382,605,575
la costa,0337E,2,17717,17374,17370,13523,11435,12621,4595,4635,6010,4248,3594,4194,2124,1666,1230,1079,746,596,483,524,307,459,427
comuna 13,0143,1,18031,18329,18334,13413,11607,13212,8026,8485,8859,1807,1762,1742,1221,0,0,208,129,101,0,0,366,609,569
comuna 11,0117,1,18273,17668,18359,14305,11694,12706,6189,6319,6888,3226,3019,3178,2177,0,0,292,164,124,0,0,489,823,786
monte,0656,2,16396,17171,17158,12661,12195,13008,4027,5400,6384,3793,3146,3427,3369,1812,1442,1141,728,628,952,773,220,392,285
pergamino,0748,2,17575,16923,17260,12793,12298,12953,7448,7595,8752,2141,1647,1801,1712,1124,913,713,441,268,553,403,291,488,394
berazategui,0789D,2,14025,16832,17882,11657,13318,14145,2134,2636,3714,5147,6126,7107,2227,1867,1454,1119,888,797,661,768,498,797,548
comuna 11,0119,1,18163,18102,18103,13742,11258,12820,6538,7019,7216,2972,2682,2826,2205,0,0,239,134,91,0,0,500,713,802
coronel de marina l. rosales,0248,2,16866,17486,17486,12515,12133,12701,6441,6570,7930,2192,1627,1798,1994,1928,1361,1096,845,629,514,569,301,475,383
comuna 12,0126,1,17858,17941,17939,14166,10516,12526,6424,6622,7000,3214,2931,3088,2236,0,0,257,174,100,0,0,562,853,873
general juan madariaga,0340,2,16109,17124,17474,12561,12169,12161,4814,5107,6912,4072,2645,3203,2272,1548,1096,1311,676,555,1174,869,330,457,384
la plata,0475,2,16820,16878,16881,13263,12091,12788,6339,6493,7518,2617,2237,2653,1381,1296,878,417,309,289,630,555,662,979,992
bahia blanca,0087,2,16992,15871,16923,13280,11849,13071,4235,4257,5565,3569,2872,3252,2492,1511,1274,1638,806,632,1225,1361,543,789,773
la plata,0505,2,16792,16061,16527,13164,12334,13044,4707,5033,6275,3732,3228,3443,2211,1646,1184,724,413,373,889,779,523,766,677
carlos casares,0164,2,16284,16657,16298,12748,11928,12705,5262,5588,6694,4149,1852,2156,1521,1427,997,1667,1114,858,1782,1818,258,346,339
comuna 12,0130,1,17873,17336,17682,14111,11642,12833,6711,6689,7103,2797,2492,2676,1610,0,0,262,141,113,0,0,500,827,813
ayacucho,0046,2,15166,16589,16923,12764,11630,13168,5114,4819,6514,3637,2809,2873,1072,1595,1325,2233,1003,1050,917,876,443,662,319
comuna 03,0041,1,18137,18139,17799,13372,11035,11474,5216,5607,5856,3777,3445,3678,2305,0,0,373,159,120,0,0,708,973,902
general villegas,0411,2,15235,16631,16630,12340,12161,12919,4559,5149,6531,2215,1968,2132,3890,3138,2643,1390,689,654,792,487,181,315,202
comuna 11,0116,1,17543,17513,17516,13404,11262,12883,5408,5893,6058,3321,3119,3207,2345,0,0,319,137,117,0,0,615,945,890
comuna 06,0073,1,17350,17476,17474,14228,10021,13170,5668,6234,6225,3076,3025,3065,1836,0,0,278,159,105,0,0,629,967,908
san andres de giles,0860,2,15234,16051,16051,12695,12363,12537,3651,4954,5514,2844,2769,3175,3462,2026,1948,2076,1183,1452,530,429,149,259,216
pergamino,0748A,2,17157,14325,16776,13777,10295,12880,5553,4768,6750,3749,2492,3146,2506,1272,1344,1403,596,360,685,595,245,415,370
la matanza,0627,2,16675,13434,17634,12791,10243,14008,4604,3721,6066,4138,3277,4571,2960,1673,1586,587,239,193,449,575,460,885,648
esteban echeverria,0291,2,17069,15281,14933,13190,11951,12110,4977,4934,5744,3621,3324,3587,2539,1899,1399,702,424,236,690,583,553,785,702
