,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
carmen de areco,2,129.22,128.75,123.61,100.0,100.0,100.0,37.54,42.88,49.08,39.23,22.400000000000002,24.310000000000002,11.78,12.47,8.05,16.869999999999997,13.15,11.37,4.26,4.04,0.69,1.51,1.32
castelli,2,118.43999999999998,142.3,127.74000000000001,100.0,100.0,100.0,37.04,43.3,45.57,39.01,12.559999999999999,12.24,8.91,8.62,4.569999999999999,11.700000000000001,7.02,11.0,33.73,27.650000000000002,1.09,1.71,1.0
chacabuco,2,120.53,131.10999999999999,125.14,100.0,100.0,100.0,38.87,43.730000000000004,48.809999999999995,37.5,24.13,29.86,12.3,12.06,7.670000000000001,6.859999999999999,4.53,3.7800000000000002,10.2,5.510000000000001,1.8399999999999999,3.0700000000000003,2.13
chascomus,2,120.96000000000001,134.66,129.29999999999998,100.0,100.0,100.0,37.74,46.48,51.55,26.479999999999997,22.79,24.64,18.15,13.420000000000002,11.700000000000001,13.23,9.959999999999999,8.129999999999999,4.26,2.81,2.12,3.26,2.46
chivilcoy,2,120.03999999999999,130.81,125.03,100.0,100.0,100.0,24.39,28.52,33.64,37.419999999999995,16.82,17.71,25.88,11.600000000000001,10.85,7.670000000000001,5.37,5.27,33.72,30.759999999999998,1.77,2.15,2.6
colon,2,127.22,136.92,136.1,100.0,100.0,100.0,34.160000000000004,35.709999999999994,42.120000000000005,37.88,33.85,41.9,12.97,11.540000000000001,7.960000000000001,12.19,10.17,7.99,7.380000000000001,4.95,2.03,2.79,2.92
comuna 01,1,149.88,189.05,161.38,100.0,100.0,100.0,49.26,64.42999999999999,58.01,25.840000000000003,27.74,25.44,13.61,,,2.69,1.4500000000000002,0.9400000000000001,,,4.67,6.279999999999999,5.6899999999999995
comuna 02,1,135.12,168.74,152.67,100.0,100.0,100.0,63.5,80.01,74.97,12.709999999999999,14.35,13.4,8.38,,,1.49,1.0699999999999998,0.8099999999999999,,,2.94,4.35,3.58
comuna 03,1,140.52,176.59,156.99,100.0,100.0,100.0,41.870000000000005,56.54,52.910000000000004,25.77,29.17,27.72,15.920000000000002,,,2.82,1.38,0.96,,,5.7299999999999995,7.6499999999999995,6.660000000000001
comuna 04,1,136.75,175.26999999999998,153.73000000000002,100.0,100.0,100.0,40.19,53.790000000000006,49.45,31.22,33.33,32.76,16.900000000000002,,,3.19,1.72,1.02,,,5.6000000000000005,7.35,6.1899999999999995
