,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
mercedes,2,119.72,133.53,126.92000000000002,100.0,100.0,100.0,36.39,44.41,51.04,32.9,26.16,27.62,17.8,14.23,9.69,6.79,3.9800000000000004,2.82,6.52,5.07,3.26,4.05,3.2800000000000002
merlo,2,127.98,138.15,133.59,100.0,100.0,100.0,19.38,21.88,27.62,44.85,44.89,47.23,21.93,15.27,10.86,7.9399999999999995,4.3999999999999995,2.82,5.09,5.1,3.8899999999999997,5.72,4.08
monte,2,130.09,143.26000000000002,131.85,100.0,100.0,100.0,32.14,45.04,49.09,30.130000000000003,26.11,26.400000000000002,27.02,15.310000000000002,11.15,9.09,6.05,4.74,7.7299999999999995,5.92,1.7999999999999998,2.92,2.18
monte hermoso,2,129.89,147.66,136.06,100.0,100.0,100.0,31.290000000000003,34.160000000000004,37.63,38.31,15.09,14.149999999999999,14.37,5.43,3.94,9.28,5.79,3.75,38.72,35.260000000000005,1.7000000000000002,2.46,2.36
moreno,2,128.73000000000002,142.42,132.84,100.0,100.0,100.0,19.56,23.41,29.15,42.699999999999996,40.400000000000006,43.120000000000005,23.380000000000003,15.809999999999999,11.600000000000001,9.26,6.13,4.109999999999999,7.79,6.16,3.52,5.319999999999999,3.88
moron,2,128.39000000000001,135.15,130.44,100.0,100.0,100.0,36.67,40.410000000000004,46.089999999999996,29.5,28.410000000000004,30.34,18.64,14.729999999999999,10.26,4.71,2.23,1.5599999999999998,5.28,4.43,4.46,6.550000000000001,4.87
navarro,2,119.52000000000001,125.07999999999998,124.82,100.0,100.0,100.0,38.83,43.87,48.980000000000004,39.58,29.09,31.990000000000002,12.43,9.01,6.800000000000001,8.81,5.81,5.07,7.670000000000001,6.800000000000001,1.03,1.77,1.13
necochea,2,132.95,145.12,137.82000000000002,100.0,100.0,100.0,44.46,49.4,55.47,22.43,21.92,21.77,19.09,15.55,12.47,8.309999999999999,4.74,5.18,3.2800000000000002,2.81,2.3800000000000003,3.3300000000000005,2.65
nueve de julio,2,124.0,135.44,128.8,100.0,100.0,100.0,44.82,48.54,56.19,28.54,22.6,22.95,13.76,15.45,10.85,8.61,4.279999999999999,3.7199999999999998,4.58,3.94,1.8800000000000001,2.6599999999999997,2.22
olavarria,2,125.44999999999999,138.59,129.98000000000002,100.0,100.0,100.0,34.36,37.34,45.739999999999995,26.19,26.619999999999997,26.33,21.89,20.79,14.87,12.19,6.29,3.39,4.8,4.71,2.87,3.8899999999999997,3.7199999999999998
patagones,2,135.9,144.97,140.28,100.0,100.0,100.0,36.0,36.36,43.769999999999996,35.02,35.589999999999996,34.31,16.28,16.53,13.5,11.05,4.95,3.9699999999999998,3.2399999999999998,3.5700000000000003,1.31,2.78,1.97
pehuajo,2,124.41,139.1,133.35999999999999,100.0,100.0,100.0,32.24,40.550000000000004,48.15,33.839999999999996,32.86,34.92,18.970000000000002,16.16,10.18,11.61,6.069999999999999,4.72,2.88,3.34,1.66,2.48,1.9800000000000002
pellegrini,2,118.8,142.9,134.12,100.0,100.0,100.0,47.67,54.620000000000005,62.41,17.630000000000003,13.55,13.69,18.69,20.53,17.71,13.61,8.68,7.049999999999999,4.81,3.34,0.67,1.5699999999999998,0.74
pergamino,2,131.49,140.74,131.99,100.0,100.0,100.0,45.21,49.81,56.18,27.22,22.43,23.04,17.52,11.77,9.66,9.51,5.96,3.05,6.77,4.71,2.37,3.58,3.0700000000000003
pila,2,114.57,128.41,119.02999999999999,100.0,100.0,100.0,25.650000000000002,37.95,46.0,36.0,33.69,35.91,22.79,14.85,7.630000000000001,12.94,7.02,6.04,1.7000000000000002,1.7399999999999998,0.8500000000000001,1.32,0.84
pilar,2,123.93,140.88,132.25,100.0,100.0,100.0,33.75,33.650000000000006,40.9,34.61,34.71,34.22,16.04,13.96,9.84,8.88,5.37,3.9699999999999998,5.34,4.17,2.93,4.2299999999999995,3.27
pinamar,2,143.38,166.01,144.79,100.0,100.0,100.0,41.44,41.3,46.37,22.96,22.78,21.58,15.559999999999999,15.040000000000001,9.9,11.129999999999999,4.74,5.27,5.81,4.79,2.17,3.39,2.79
presidente peron,2,120.76,136.34,129.64,100.0,100.0,100.0,15.25,18.029999999999998,23.69,39.36,37.54,42.1,25.2,19.759999999999998,15.67,11.59,8.84,5.970000000000001,6.36,5.96,3.66,5.04,3.6900000000000004
puan,2,129.7,149.26999999999998,138.94,100.0,100.0,100.0,55.47,57.599999999999994,65.97,22.2,14.64,14.91,10.100000000000001,13.059999999999999,10.74,10.61,4.4799999999999995,3.32,4.3999999999999995,3.82,4.130000000000001,5.2299999999999995,2.46
punta indio,2,132.27,133.32999999999998,126.36,100.0,100.0,100.0,39.86,45.69,49.36,39.04,32.0,32.78,9.36,7.23,5.45,14.000000000000002,4.4799999999999995,4.91,2.44,2.04,2.37,3.4000000000000004,2.18
quilmes,2,131.94,142.57999999999998,134.53,100.0,100.0,100.0,32.36,33.900000000000006,39.410000000000004,37.05,36.309999999999995,39.269999999999996,17.83,13.43,8.91,7.22,4.3999999999999995,2.55,5.89,4.67,4.17,5.71,4.569999999999999
ramallo,2,121.89000000000001,137.64000000000001,132.10999999999999,100.0,100.0,100.0,33.6,37.95,47.48,34.07,25.53,31.480000000000004,17.07,25.069999999999997,15.5,12.13,9.45,6.04,3.0300000000000002,3.49,2.39,3.53,2.32
rauch,2,121.19,131.69,123.57000000000001,100.0,100.0,100.0,42.559999999999995,43.19,52.669999999999995,37.03,33.61,32.24,6.370000000000001,10.01,6.9,14.71,7.670000000000001,6.49,1.96,1.9800000000000002,1.21,2.3800000000000003,2.11
rivadavia,2,126.92000000000002,132.56,125.66999999999999,100.0,100.0,100.0,53.400000000000006,42.49,50.32,10.94,15.310000000000002,15.409999999999998,27.52,25.2,20.8,12.49,8.57,6.5600000000000005,4.5600000000000005,4.41,0.89,1.6,1.0
rojas,2,122.11000000000001,134.82,128.05,100.0,100.0,100.0,44.67,45.09,55.910000000000004,19.36,22.35,22.919999999999998,20.72,18.98,11.97,12.23,6.1899999999999995,5.489999999999999,3.58,3.71,1.35,2.29,2.19
roque perez,2,125.69,135.05,127.66999999999999,100.0,100.0,100.0,35.510000000000005,47.13,49.65,32.519999999999996,26.640000000000004,27.49,18.59,19.400000000000002,14.71,11.940000000000001,5.52,4.32,2.7,2.8400000000000003,0.8999999999999999,1.8399999999999999,1.6400000000000001
saavedra,2,128.53,135.67000000000002,132.75,100.0,100.0,100.0,37.92,48.76,52.949999999999996,29.189999999999998,22.07,23.62,14.2,13.750000000000002,11.93,8.68,3.83,3.1399999999999997,3.85,3.1300000000000003,1.9900000000000002,3.01,2.18
saladillo,2,125.35000000000001,134.89,130.95000000000002,100.0,100.0,100.0,48.47,51.339999999999996,59.099999999999994,23.46,24.240000000000002,23.22,11.07,10.979999999999999,8.260000000000002,15.340000000000002,5.57,3.85,2.75,2.77,1.51,2.6,2.39
salliquelo,2,120.64999999999999,131.77,127.89999999999999,100.0,100.0,100.0,43.91,46.33,50.970000000000006,30.130000000000003,21.8,24.42,9.34,8.309999999999999,6.16,14.06,16.830000000000002,14.42,3.39,1.91,0.59,1.17,0.79
salto,2,129.5,140.37,137.98999999999998,100.0,100.0,100.0,34.19,37.13,49.04,30.320000000000004,23.48,28.34,20.4,16.619999999999997,10.08,11.25,9.6,7.75,9.28,7.720000000000001,2.71,3.4000000000000004,3.2
san andres de giles,2,123.37,129.79,127.50999999999999,100.0,100.0,100.0,29.189999999999998,39.71,43.19,24.740000000000002,23.31,26.640000000000004,27.62,16.259999999999998,15.590000000000002,16.25,9.229999999999999,10.620000000000001,4.36,3.54,1.21,1.97,1.68
san antonio de areco,2,119.56,127.93,119.61,100.0,100.0,100.0,41.120000000000005,45.29,52.290000000000006,36.99,26.540000000000003,29.459999999999997,9.62,12.370000000000001,7.22,8.85,3.7900000000000005,2.79,4.8500000000000005,2.83,3.91,3.93,2.98
san cayetano,2,123.19,140.52,133.32999999999998,100.0,100.0,100.0,50.91,53.64,58.87,23.66,17.79,17.34,10.31,21.47,17.919999999999998,12.49,6.25,7.82,1.02,1.32,0.7100000000000001,1.17,1.06
san fernando,2,129.91,140.06,131.26,100.0,100.0,100.0,26.97,31.540000000000003,36.64,26.950000000000003,25.91,27.96,32.26,28.060000000000002,20.22,8.03,5.510000000000001,5.53,4.21,3.47,3.61,4.760000000000001,3.9
san isidro,2,129.51,139.23000000000002,131.96,100.0,100.0,100.0,51.129999999999995,54.779999999999994,58.97,18.94,18.27,19.68,15.229999999999999,12.44,8.44,4.5600000000000005,3.42,2.48,3.6999999999999997,3.2300000000000004,3.65,5.12,4.09
san miguel,2,124.07,134.95999999999998,129.68,100.0,100.0,100.0,27.21,37.9,42.84,33.11,33.71,34.14,22.34,11.92,8.709999999999999,8.559999999999999,4.61,3.2,3.83,4.06,3.7800000000000002,5.4399999999999995,4.35
san nicolas,2,126.6,138.21,130.03,100.0,100.0,100.0,29.34,38.46,44.269999999999996,34.13,30.830000000000002,32.190000000000005,22.56,16.41,12.13,9.58,6.3100000000000005,5.489999999999999,5.82,4.87,2.64,3.84,3.6999999999999997
san pedro,2,129.51,140.49,133.05,100.0,100.0,100.0,45.12,47.67,57.32000000000001,25.61,21.42,24.88,16.0,16.04,9.22,13.370000000000001,6.97,6.52,5.45,3.7900000000000005,1.9900000000000002,2.91,2.39
san vicente,2,126.59,141.60999999999999,136.15,100.0,100.0,100.0,29.970000000000002,27.22,35.099999999999994,32.68,32.550000000000004,34.489999999999995,23.01,18.42,13.930000000000001,10.47,9.520000000000001,9.59,5.88,5.510000000000001,2.21,3.42,2.9000000000000004
suipacha,2,115.24000000000001,125.28999999999999,124.0,100.0,100.0,100.0,40.150000000000006,35.67,45.18,36.25,29.84,30.240000000000002,9.02,9.959999999999999,8.74,9.74,6.2,4.4799999999999995,8.51,9.68,1.34,2.26,1.69
tandil,2,126.73,136.95,130.98000000000002,100.0,100.0,100.0,40.08,45.22,51.71,27.310000000000002,24.36,25.1,15.409999999999998,14.580000000000002,11.08,10.190000000000001,4.42,4.43,4.51,3.51,2.44,3.55,3.65
tapalque,2,126.35000000000001,130.33999999999997,128.43,100.0,100.0,100.0,38.129999999999995,34.150000000000006,42.01,38.87,31.86,36.02,13.059999999999999,19.259999999999998,16.93,13.0,5.0200000000000005,5.140000000000001,2.76,1.9900000000000002,0.62,1.37,0.98
tigre,2,122.36,133.99,128.79,100.0,100.0,100.0,23.71,29.24,34.81,25.619999999999997,25.47,27.67,34.48,28.249999999999996,22.36,6.3,4.2,3.19,3.45,3.38,3.9800000000000004,5.38,4.72
tordillo,2,112.52,123.36,114.77,100.0,100.0,100.0,21.67,32.2,42.88,37.12,32.2,31.59,28.1,21.09,15.079999999999998,11.49,9.33,7.049999999999999,0.89,1.29,0.49,0.6799999999999999,0.44999999999999996
tornquist,2,121.81,134.24,133.23000000000002,100.0,100.0,100.0,44.01,45.23,52.56999999999999,27.900000000000002,13.29,13.43,11.65,11.379999999999999,10.059999999999999,9.3,4.32,3.49,17.11,15.939999999999998,3.15,3.9699999999999998,2.94
trenque lauquen,2,131.96,141.3,135.78,100.0,100.0,100.0,41.14,41.660000000000004,51.27,24.52,25.990000000000002,26.169999999999998,17.95,18.62,12.26,15.740000000000002,6.34,5.04,3.06,3.4000000000000004,1.48,2.64,1.69
tres arroyos,2,134.13,141.86,136.8,100.0,100.0,100.0,34.239999999999995,38.14,44.73,28.62,25.22,26.200000000000003,20.87,19.33,17.16,13.969999999999999,9.879999999999999,7.359999999999999,3.01,2.6599999999999997,3.1300000000000003,3.63,3.3000000000000003
tres de febrero,2,132.10999999999999,138.72,134.54,100.0,100.0,100.0,34.870000000000005,37.45,43.980000000000004,31.35,28.74,31.47,21.4,15.590000000000002,10.74,4.78,2.9499999999999997,2.09,6.52,5.09,4.43,6.01,4.92
tres lomas,2,122.72000000000001,131.9,123.42999999999999,100.0,100.0,100.0,33.550000000000004,34.9,42.43,42.29,36.8,37.57,8.62,11.42,8.48,17.24,9.24,7.07,1.7999999999999998,1.58,1.25,1.95,1.34
veinticinco de mayo,2,125.35000000000001,133.98000000000002,132.14,100.0,100.0,100.0,36.79,44.46,52.370000000000005,24.85,24.48,28.34,20.51,13.43,9.29,16.64,6.97,6.1,5.25,4.590000000000001,2.16,2.81,2.02
vicente lopez,2,130.65,136.67000000000002,132.58,100.0,100.0,100.0,49.89,54.120000000000005,59.050000000000004,18.490000000000002,17.49,18.73,14.44,11.81,8.52,3.17,2.21,1.27,3.81,3.45,4.2299999999999995,6.68,5.12
villa gesell,2,136.19,162.91,148.45999999999998,100.0,100.0,100.0,32.800000000000004,37.25,43.4,34.21,26.0,30.18,15.32,20.119999999999997,11.59,9.51,5.2,3.7600000000000002,6.81,4.43,2.75,3.9899999999999998,3.34
villarino,2,128.8,143.78,135.93,100.0,100.0,100.0,33.72,34.67,40.9,22.97,16.650000000000002,15.97,21.2,12.9,17.349999999999998,13.919999999999998,16.75,10.75,7.51,6.950000000000001,1.73,2.13,1.39
zarate,2,124.50000000000001,130.28,134.1,100.0,100.0,100.0,25.96,31.680000000000003,40.39,38.33,37.269999999999996,40.19,20.74,15.25,11.940000000000001,10.54,4.87,4.89,3.32,3.6700000000000004,2.83,4.09,3.15
