,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
almirante brown,0020A,2,125.64999999999999,136.44,127.42,100.0,100.0,100.0,19.52,20.349999999999998,25.66,48.53,46.97,50.019999999999996,20.7,17.57,11.65,7.93,4.760000000000001,2.83,6.800000000000001,5.99,4.08,5.57,4.24
almirante brown,0021,2,125.24,127.74000000000001,123.83999999999999,100.0,100.0,100.0,23.599999999999998,25.7,31.080000000000002,38.39,38.79,42.11,20.91,16.03,11.31,8.19,4.72,3.0300000000000002,5.5,5.18,4.9,6.460000000000001,5.66
almirante brown,0021A,2,137.52,136.28,129.45,100.0,100.0,100.0,19.580000000000002,17.84,23.29,48.54,48.65,51.6,21.68,16.41,11.07,10.39,5.72,3.11,6.99,6.36,3.81,5.47,4.91
almirante brown,0022,2,132.87,152.82,146.11,100.0,100.0,100.0,23.48,23.11,29.38,39.14,39.58,42.28,20.69,16.0,10.879999999999999,7.870000000000001,5.0200000000000005,3.44,5.86,5.5,4.5,6.41,5.09
almirante brown,0022A,2,131.45,144.99,132.75,100.0,100.0,100.0,23.200000000000003,23.76,30.080000000000002,42.309999999999995,42.71,45.22,21.58,15.959999999999999,10.09,8.02,5.12,2.91,7.13,6.660000000000001,4.26,5.8999999999999995,5.25
almirante brown,0022B,2,142.87,149.23,126.88,100.0,100.0,100.0,19.439999999999998,22.470000000000002,26.43,48.38,48.54,49.55,19.759999999999998,16.619999999999997,9.4,7.61,5.35,2.56,7.6899999999999995,6.1,4.35,5.21,4.41
avellaneda,0023,2,145.87,153.7,146.55,100.0,100.0,100.0,40.14,39.879999999999995,47.25,26.529999999999998,27.91,29.38,13.36,11.28,7.51,3.85,2.23,1.4500000000000002,3.38,3.01,3.91,6.09,5.57
avellaneda,0024,2,127.34,137.5,128.78,100.0,100.0,100.0,40.92,42.04,48.64,28.99,31.97,32.800000000000004,14.11,13.530000000000001,9.31,4.279999999999999,2.68,1.95,4.760000000000001,3.4099999999999997,4.390000000000001,6.43,6.03
avellaneda,0025,2,127.99000000000001,136.69,132.26,100.0,100.0,100.0,28.499999999999996,28.860000000000003,34.93,42.43,44.519999999999996,47.54,18.01,14.149999999999999,9.4,5.970000000000001,3.1399999999999997,1.77,3.8699999999999997,3.4000000000000004,3.66,5.41,4.71
avellaneda,0026,2,149.03,148.5,133.54,100.0,100.0,100.0,9.370000000000001,9.67,11.5,80.44,70.07,73.95,11.19,7.180000000000001,4.78,10.85,7.48,3.44,2.8899999999999997,3.39,1.5599999999999998,2.71,3.08
avellaneda,0027,2,141.33,148.87,139.01,100.0,100.0,100.0,20.8,20.849999999999998,24.560000000000002,48.46,50.449999999999996,52.23,17.919999999999998,13.22,9.09,6.63,3.63,2.3,3.66,3.84,3.25,4.29,4.390000000000001
avellaneda,0030,2,140.79,129.96,125.8,100.0,100.0,100.0,34.43,38.019999999999996,44.48,30.330000000000002,30.95,33.2,17.77,14.23,8.83,4.5600000000000005,2.5100000000000002,1.9900000000000002,3.8600000000000003,3.55,5.09,7.109999999999999,5.55
avellaneda,0031,2,121.54,189.17,166.79999999999998,100.0,100.0,100.0,36.65,30.259999999999998,32.32,27.33,22.35,22.15,19.55,12.98,7.66,4.89,2.15,2.91,2.76,2.37,3.2300000000000004,4.74,5.34
avellaneda,0032,2,129.92999999999998,126.1,122.71000000000001,100.0,100.0,100.0,31.69,28.24,35.17,41.03,38.14,41.410000000000004,20.97,16.38,10.76,6.72,2.41,2.17,4.8500000000000005,3.9899999999999998,3.88,6.04,5.58
avellaneda,0033,2,138.96,130.41,123.49000000000001,100.0,100.0,100.0,46.51,42.449999999999996,48.370000000000005,28.83,26.58,28.660000000000004,20.52,15.82,10.61,4.19,2.21,1.44,3.91,3.46,4.8,6.909999999999999,7.049999999999999
avellaneda,0034,2,130.91,137.5,133.09,100.0,100.0,100.0,31.830000000000002,34.760000000000005,40.339999999999996,34.52,35.89,37.87,20.13,15.329999999999998,10.059999999999999,5.140000000000001,3.2199999999999998,2.26,3.9899999999999998,3.9800000000000004,4.36,6.68,5.41
avellaneda,0037,2,138.0,136.94,129.41,100.0,100.0,100.0,32.16,34.410000000000004,39.300000000000004,33.76,36.03,36.54,18.52,14.760000000000002,9.610000000000001,4.38,3.06,1.48,4.3999999999999995,3.8,4.31,6.05,4.96
avellaneda,0038,2,126.66,134.38000000000002,127.96000000000001,100.0,100.0,100.0,34.12,34.849999999999994,40.18,35.96,35.92,37.230000000000004,17.810000000000002,13.91,9.16,4.81,2.71,1.7000000000000002,4.01,3.52,4.33,5.9799999999999995,5.609999999999999
avellaneda,0039,2,129.10999999999999,137.29,130.68,100.0,100.0,100.0,25.929999999999996,27.1,32.2,43.69,44.05,46.239999999999995,17.36,13.469999999999999,8.7,5.7,3.2399999999999998,2.0,4.2,3.54,3.52,4.8,4.3999999999999995
avellaneda,0040,2,129.55,135.66,132.16000000000003,100.0,100.0,100.0,35.08,35.92,42.230000000000004,32.99,32.34,35.6,18.34,15.21,9.92,4.64,2.68,1.9300000000000002,4.24,4.01,4.31,6.09,5.3
ayacucho,0046,2,118.82,142.64,128.51999999999998,100.0,100.0,100.0,40.07,41.44,49.47,28.49,24.15,21.82,8.4,13.71,10.059999999999999,17.49,8.62,7.969999999999999,7.88,6.65,3.81,5.029999999999999,2.5
ayacucho,0048,2,181.82,320.0,160.0,100.0,100.0,100.0,45.45,60.0,60.0,9.09,0.0,20.0,27.27,0.0,10.0,18.18,40.0,10.0,0.0,0.0,0.0,0.0,0.0
ayacucho,0049,2,143.75,311.11,192.86,100.0,100.0,100.0,62.5,66.67,71.43,12.5,11.110000000000001,7.140000000000001,18.75,0.0,0.0,6.25,0.0,0.0,11.110000000000001,14.29,11.110000000000001,0.0,0.0
ayacucho,0050,2,167.74,247.62,178.57,100.0,100.0,100.0,70.97,80.95,64.29,0.0,4.760000000000001,14.29,12.9,9.520000000000001,10.71,6.45,4.760000000000001,0.0,0.0,7.140000000000001,0.0,0.0,0.0
ayacucho,0051,2,109.09,216.67000000000002,123.81,100.0,100.0,100.0,50.0,50.0,42.86,22.73,16.669999999999998,33.33,9.09,33.33,14.29,18.18,0.0,9.520000000000001,0.0,0.0,0.0,0.0,0.0
ayacucho,0052,2,122.39,158.18,113.33,100.0,100.0,100.0,64.18,58.18,62.67,16.42,14.549999999999999,14.67,7.46,16.36,10.67,10.45,1.82,2.67,7.2700000000000005,5.33,1.82,1.3299999999999998,1.49
ayacucho,0053,2,,180.0,133.32999999999998,,100.0,100.0,,50.0,41.67,,10.0,16.669999999999998,,30.0,25.0,,10.0,8.33,0.0,0.0,0.0,8.33,
ayacucho,0054,2,,1600.0,160.0,,100.0,100.0,,0.0,50.0,,0.0,40.0,,100.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,
ayacucho,0055,2,122.46999999999998,181.82,124.21,100.0,100.0,100.0,60.67,63.63999999999999,71.58,4.49,3.0300000000000002,4.21,17.98,15.15,14.74,14.610000000000001,12.120000000000001,3.16,1.52,4.21,1.52,1.05,1.1199999999999999
ayacucho,0056,2,139.73,368.97,181.03,100.0,100.0,100.0,38.36,41.38,55.169999999999995,35.620000000000005,6.9,13.79,8.219999999999999,24.14,17.24,0.0,3.45,0.0,0.0,3.45,13.79,10.34,1.37
ayacucho,0057,2,121.42999999999999,459.99999999999994,200.0,100.0,100.0,100.0,28.57,40.0,54.55,14.29,60.0,27.27,21.43,0.0,9.09,7.140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
