Eleccion,,,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017
,,,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct
Denominacion,,,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adolfo gonzales chaves,0424,2,111.0,2653.0,838.0,1902.0,8488.0,7157.0,1330.0,0.013077285579641848,0.3125589066918002,0.09872761545711593,0.22408105560791705,1.0,0.8431903864278982,0.1566918001885014,662.0,2632.0,8600.0,181.0,209.0,2009.0,6554.0,1023.0,0.07697674418604651,0.30604651162790697,1.0,0.021046511627906977,0.024302325581395348,0.2336046511627907,0.762093023255814,0.11895348837209302,907.0,1994.0,8600.0,104.0,178.0,1641.0,5983.0,1202.0,0.10546511627906976,0.23186046511627906,1.0,0.012093023255813953,0.02069767441860465,0.1908139534883721,0.6956976744186046,0.1397674418604651
adolfo gonzales chaves,0427,2,25.0,602.0,188.0,355.0,1735.0,1512.0,314.0,0.01440922190201729,0.34697406340057635,0.10835734870317003,0.20461095100864554,1.0,0.8714697406340057,0.1809798270893372,174.0,530.0,1666.0,25.0,27.0,444.0,1373.0,170.0,0.10444177671068428,0.31812725090036015,1.0,0.015006002400960384,0.016206482593037214,0.2665066026410564,0.8241296518607443,0.10204081632653061,207.0,405.0,1666.0,7.0,32.0,389.0,1021.0,200.0,0.12424969987995198,0.24309723889555823,1.0,0.004201680672268907,0.01920768307322929,0.2334933973589436,0.6128451380552221,0.12004801920768307
adolfo gonzales chaves,0428,2,2.0,92.0,9.0,22.0,197.0,177.0,50.0,0.01015228426395939,0.467005076142132,0.04568527918781726,0.1116751269035533,1.0,0.8984771573604061,0.25380710659898476,20.0,39.0,207.0,1.0,1.0,59.0,182.0,52.0,0.0966183574879227,0.18840579710144928,1.0,0.004830917874396135,0.004830917874396135,0.28502415458937197,0.8792270531400966,0.25120772946859904,22.0,28.0,207.0,1.0,0.0,54.0,160.0,46.0,0.10628019323671498,0.13526570048309178,1.0,0.004830917874396135,0.0,0.2608695652173913,0.7729468599033816,0.2222222222222222
alberti,0010,2,87.0,2077.0,578.0,2473.0,7167.0,5827.0,777.0,0.012138970280452072,0.2898004743965397,0.08064741174829078,0.34505371843170085,1.0,0.8130319520022324,0.10841356215989954,316.0,2899.0,7275.0,95.0,1540.0,719.0,6002.0,397.0,0.04343642611683849,0.3984879725085911,1.0,0.013058419243986255,0.21168384879725086,0.09883161512027491,0.8250171821305842,0.05457044673539519,493.0,2593.0,7632.0,59.0,1516.0,760.0,6043.0,483.0,0.0645964360587002,0.3397536687631027,1.0,0.007730607966457023,0.19863731656184486,0.09958071278825996,0.7917976939203354,0.06328616352201258
alberti,0011,2,3.0,229.0,36.0,90.0,439.0,394.0,33.0,0.00683371298405467,0.5216400911161732,0.08200455580865604,0.20501138952164008,1.0,0.89749430523918,0.07517084282460136,15.0,82.0,448.0,5.0,185.0,95.0,392.0,10.0,0.033482142857142856,0.18303571428571427,1.0,0.011160714285714286,0.41294642857142855,0.21205357142857142,0.875,0.022321428571428572,18.0,21.0,450.0,5.0,41.0,98.0,380.0,10.0,0.04,0.04666666666666667,1.0,0.011111111111111112,0.09111111111111111,0.21777777777777776,0.8444444444444444,0.022222222222222223
alberti,0012,2,4.0,121.0,21.0,89.0,327.0,274.0,38.0,0.012232415902140673,0.37003058103975534,0.06422018348623854,0.27217125382262997,1.0,0.8379204892966361,0.1162079510703364,11.0,95.0,287.0,4.0,76.0,40.0,0.0,16.0,0.03832752613240418,0.3310104529616725,1.0,0.013937282229965157,0.26480836236933797,0.13937282229965156,0.0,0.05574912891986063,17.0,77.0,288.0,2.0,55.0,50.0,221.0,15.0,0.059027777777777776,0.2673611111111111,1.0,0.006944444444444444,0.1909722222222222,0.1736111111111111,0.7673611111111112,0.052083333333333336
alberti,0013,2,0.0,41.0,21.0,92.0,183.0,162.0,6.0,0.0,0.22404371584699453,0.11475409836065574,0.5027322404371585,1.0,0.8852459016393442,0.03278688524590164,10.0,107.0,189.0,6.0,27.0,8.0,160.0,1.0,0.05291005291005291,0.5661375661375662,1.0,0.031746031746031744,0.14285714285714285,0.042328042328042326,0.8465608465608465,0.005291005291005291,10.0,86.0,190.0,0.0,42.0,6.0,152.0,1.0,0.05263157894736842,0.45263157894736844,1.0,0.0,0.22105263157894736,0.031578947368421054,0.8,0.005263157894736842
alberti,0014,2,5.0,176.0,70.0,250.0,647.0,567.0,58.0,0.0077279752704791345,0.27202472952086554,0.10819165378670788,0.38639876352395675,1.0,0.8763523956723338,0.08964451313755796,22.0,281.0,631.0,11.0,163.0,43.0,552.0,31.0,0.03486529318541997,0.44532488114104596,1.0,0.017432646592709985,0.2583201267828843,0.06814580031695722,0.8748019017432647,0.0491283676703645,42.0,234.0,632.0,8.0,161.0,39.0,527.0,32.0,0.06645569620253164,0.370253164556962,1.0,0.012658227848101266,0.254746835443038,0.061708860759493674,0.8338607594936709,0.05063291139240506
alberti,0015,2,0.0,57.0,6.0,15.0,96.0,84.0,4.0,0.0,0.59375,0.0625,0.15625,1.0,0.875,0.041666666666666664,0.0,27.0,107.0,1.0,42.0,20.0,93.0,3.0,0.0,0.2523364485981308,1.0,0.009345794392523364,0.3925233644859813,0.18691588785046728,0.8691588785046729,0.028037383177570093,6.0,21.0,108.0,1.0,43.0,15.0,90.0,3.0,0.05555555555555555,0.19444444444444445,1.0,0.009259259259259259,0.39814814814814814,0.1388888888888889,0.8333333333333334,0.027777777777777776
almirante brown,0017,2,1044.0,3864.0,2550.0,10605.0,25836.0,20200.0,599.0,0.04040873200185787,0.14955875522526707,0.09869948908499768,0.410473757547608,1.0,0.7818547762811581,0.023184703514475925,1369.0,12108.0,25333.0,1148.0,717.0,3653.0,19025.0,256.0,0.054040184739272884,0.47795365728496425,1.0,0.04531638574191766,0.028303003986894563,0.1441992657798129,0.7509967236411006,0.010105396123633205,1904.0,10667.0,25331.0,738.0,768.0,3289.0,18285.0,429.0,0.07516481781216691,0.4211045754214204,1.0,0.029134262366270577,0.030318581974655562,0.12984090639927362,0.721842801310647,0.016935770399905254
