Eleccion,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017
azul,53978.0,39895.0,11517.0,,12322.0,,5549.0,,5301.0,,1077.0,,,,1.0,0.7390974100559488,0.2133647041387232,,0.22827818740968542,,0.10280114120567639,,0.0982066767942495,,0.019952573270591724,,,,56463.0,40652.0,9638.0,,17713.0,,,6228.0,1564.0,,960.0,2870.0,,,1.0,0.7199759134300339,0.17069585392203743,,0.31370986309618687,,,0.11030232187450188,0.027699555461098417,,0.017002284682004144,0.05082974691390822,,,56554.0,42299.0,11006.0,21317.0,,,,4663.0,1559.0,1589.0,,2445.0,,,1.0,0.7479400219259469,0.19461046079852884,0.3769317820136507,,,,0.08245216960780846,0.027566573540333133,0.028097039997170847,,0.04323301623227358,,
bahia blanca,235463.0,178187.0,39360.0,,74454.0,,27784.0,,17946.0,,10233.0,,,,1.0,0.7567515915451685,0.16716002089500262,,0.3162025456228792,,0.11799730743259026,,0.07621579611234036,,0.043459057261650454,,,,244495.0,176205.0,35291.0,,81363.0,,,20886.0,13892.0,,8247.0,8549.0,,,1.0,0.720689584654083,0.1443424200903904,,0.3327798114480869,,,0.08542505981717417,0.05681915785598887,,0.03373075114010511,0.03496595022393096,,,252071.0,187940.0,38286.0,98613.0,,,,16326.0,11466.0,15468.0,,6889.0,,,1.0,0.7455835855770795,0.15188577821328117,0.39121120636646023,,,,0.06476746630909545,0.045487184166365824,0.06136366341229257,,0.02732960158050708,,
balcarce,35567.0,27809.0,6843.0,,12877.0,,4735.0,,3340.0,,568.0,,,,1.0,0.7818764585149155,0.1923974470717238,,0.36204909044901173,,0.1331290240953693,,0.09390727359631118,,0.015969859701408608,,,,39251.0,27832.0,5654.0,,13597.0,,,3657.0,2666.0,,399.0,2212.0,,,1.0,0.7090774757331023,0.14404728541947975,,0.34641155639346766,,,0.09316960077450256,0.0679218363863341,,0.010165346105831698,0.056355252095488015,,,39238.0,30475.0,5636.0,16920.0,,,,2778.0,728.0,2874.0,,1603.0,,,1.0,0.7766705744431418,0.14363627096182272,0.43121463887048267,,,,0.07079871553086294,0.018553443090881288,0.07324532341097915,,0.04085325449819053,,
baradero,26387.0,19627.0,7528.0,,7015.0,,3858.0,,2378.0,,672.0,,,,1.0,0.7438132413688558,0.2852919998484102,,0.2658506082540645,,0.14620836017736005,,0.09012013491492023,,0.02546708606510782,,,,28303.0,20812.0,5661.0,,7325.0,,,3516.0,1175.0,,720.0,1943.0,,,1.0,0.735328410415857,0.2000141327774441,,0.2588064869448468,,,0.12422711373352648,0.04151503374200615,,0.025438999399356958,0.06864996643465357,,,28451.0,22086.0,5945.0,9655.0,,,,2796.0,756.0,1104.0,,2040.0,,,1.0,0.7762820287511862,0.20895574847984252,0.33935538293908823,,,,0.09827422586200836,0.026572000984148185,0.038803556992724336,,0.07170222487786018,,
bartolome mitre,24018.0,19486.0,6413.0,,7856.0,,3021.0,,1998.0,,333.0,,,,1.0,0.811308185527521,0.2670080772753768,,0.3270880173203431,,0.12578066450162378,,0.08318760929303022,,0.013864601548838371,,,,24753.0,19223.0,4601.0,,8168.0,,,2588.0,1551.0,,204.0,1158.0,,,1.0,0.7765927362339918,0.1858764594190603,,0.3299802044196663,,,0.1045529834767503,0.06265907162768149,,0.008241425281784027,0.046782208217185796,,,24379.0,19139.0,5089.0,9582.0,,,,2051.0,425.0,1288.0,,1131.0,,,1.0,0.7850609130809303,0.20874523155174535,0.3930431929119324,,,,0.08412978383034579,0.017433036629886378,0.05283235571598507,,0.046392386890356456,,
benito juarez,16447.0,13212.0,4755.0,,4200.0,,2059.0,,1633.0,,328.0,,,,1.0,0.8033075940901077,0.28911047607466406,,0.25536572019213233,,0.12519000425609533,,0.09928862406517906,,0.019942846719766524,,,,16959.0,11079.0,4109.0,,4196.0,,,1377.0,210.0,,237.0,1657.0,,,1.0,0.6532814434813373,0.2422902293767321,,0.24742024883542663,,,0.08119582522554396,0.012382805589952238,,0.013974880594374668,0.0977062326788136,,,16929.0,12973.0,4188.0,5698.0,,,,1036.0,386.0,243.0,,1590.0,,,1.0,0.7663181522830645,0.24738614212298424,0.336582196231319,,,,0.06119676295114892,0.022801110520408768,0.014354066985645933,,0.0939216728690413,,
berazategui,245757.0,189544.0,78298.0,,47511.0,,39715.0,,17338.0,,9831.0,,,,1.0,0.7712659252839187,0.3185992667553722,,0.19332511383195597,,0.16160272138738674,,0.07054936380245527,,0.04000292972326323,,,,239746.0,179362.0,73164.0,,48387.0,,,27875.0,7985.0,,7488.0,9754.0,,,1.0,0.7481334412252968,0.30517297473159094,,0.20182609928841358,,,0.11626888456950273,0.03330608227040284,,0.031233054983190543,0.040684724666939176,,,260484.0,198818.0,85368.0,66729.0,,,,21569.0,11806.0,8932.0,,8515.0,,,1.0,0.7632637705194945,0.327728382549408,0.25617312387709035,,,,0.0828035503140308,0.04532332120206999,0.034290013973986885,,0.03268914789392055,,
berisso,74815.0,58985.0,19080.0,,18000.0,,12082.0,,5752.0,,3184.0,,,,1.0,0.7884114148232306,0.25502907171021855,,0.24059346387756467,,0.1614916794760409,,0.07688297801243066,,0.042558310499231436,,,,77052.0,55888.0,17966.0,,18139.0,,,8943.0,4003.0,,2609.0,2698.0,,,1.0,0.7253283496859264,0.2331672117531018,,0.2354124487359186,,,0.11606447593832736,0.0519519285677205,,0.033860250220630224,0.035015314333177595,,,78044.0,59691.0,20617.0,24680.0,,,,6037.0,3663.0,3457.0,,2172.0,,,1.0,0.7648377838142586,0.2641714930039465,0.31623186920198865,,,,0.07735380042027575,0.04693506227256419,0.044295525600943055,,0.02783045461534519,,
bolivar,29450.0,24069.0,8029.0,,9288.0,,2994.0,,2755.0,,450.0,,,,1.0,0.8172835314091681,0.27263157894736845,,0.31538200339558575,,0.10166383701188456,,0.0935483870967742,,0.015280135823429542,,,,29714.0,20817.0,3041.0,,9048.0,,,1644.0,4957.0,,190.0,1301.0,,,1.0,0.7005788517197281,0.1023423302147136,,0.3045029279127684,,,0.05532745507168338,0.16682371945884095,,0.006394292252810123,0.04378407484687353,,,30369.0,24256.0,2657.0,10795.0,,,,1177.0,466.0,7291.0,,1385.0,,,1.0,0.7987092100497217,0.08749053310942079,0.35546116105238895,,,,0.03875662682340544,0.01534459481708321,0.24008034508874182,,0.04560571635549409,,
bragado,34850.0,28499.0,9963.0,,12399.0,,2870.0,,2558.0,,533.0,,,,1.0,0.8177618364418938,0.2858823529411765,,0.3557819225251076,,0.08235294117647059,,0.0734002869440459,,0.015294117647058824,,,,36168.0,27211.0,8267.0,,11594.0,,,2998.0,2170.0,,432.0,1327.0,,,1.0,0.7523501437735014,0.22857221853572218,,0.32055961070559613,,,0.08289095332890953,0.05999778809997788,,0.011944260119442602,0.036689891616898916,,,36168.0,27956.0,8787.0,13877.0,,,,1952.0,765.0,1847.0,,1004.0,,,1.0,0.7729484627294846,0.2429495686794957,0.3836817075868171,,,,0.0539703605397036,0.02115129396151294,0.05106724176067242,,0.027759345277593453,,
brandsen,20935.0,17080.0,5668.0,,6615.0,,1995.0,,2222.0,,533.0,,,,1.0,0.8158586099832816,0.27074277525674706,,0.3159780272271316,,0.09529496059230953,,0.10613804633389061,,0.025459756388822547,,,,22822.0,17565.0,5382.0,,6459.0,,,2078.0,499.0,,387.0,2078.0,,,1.0,0.7696520900885111,0.23582508106213304,,0.2830163876960827,,,0.09105249320830777,0.021864867233371308,,0.01695732188239418,0.09105249320830777,,,23151.0,17838.0,6135.0,8388.0,,,,1775.0,596.0,515.0,,846.0,,,1.0,0.7705066735778152,0.2649993520798238,0.36231696255021384,,,,0.07667055418772407,0.02574402833570904,0.022245259384043887,,0.03654269793961384,,
campana,71839.0,56455.0,17758.0,,21884.0,,9843.0,,5765.0,,2281.0,,,,1.0,0.7858544801570178,0.24719163685463327,,0.30462562118069575,,0.13701471345647906,,0.08024888987875667,,0.03175155556174223,,,,78116.0,59182.0,16613.0,,22071.0,,,8220.0,2665.0,,2320.0,4602.0,,,1.0,0.7576168774642839,0.21267089968764402,,0.28254134876337755,,,0.10522812227968661,0.03411593015515387,,0.029699421373342208,0.05891238670694864,,,78797.0,62030.0,18155.0,27570.0,,,,6307.0,3126.0,2489.0,,4343.0,,,1.0,0.7872127111438253,0.23040217267154842,0.3498864169955709,,,,0.08004111831668718,0.03967156110004188,0.03158749698592586,,0.055116311534703095,,
canuelas,40093.0,32015.0,12333.0,,9655.0,,6315.0,,2154.0,,1221.0,,,,1.0,0.7985184446162672,0.30760980719826403,,0.24081510488115132,,0.15750879205846408,,0.05372508916768513,,0.030454193998952436,,,,39074.0,27810.0,10415.0,,10171.0,,,3784.0,1266.0,,1131.0,1178.0,,,1.0,0.7117264677279009,0.2665455289962635,,0.26030096739519887,,,0.09684188974765828,0.03240006142191739,,0.028945078568869326,0.030147924451041613,,,43591.0,33749.0,12940.0,14192.0,,,,3088.0,1494.0,1471.0,,994.0,,,1.0,0.7742194489688239,0.2968502672570026,0.32557179234245603,,,,0.0708403110733867,0.03427312977449474,0.03374549792388337,,0.022802872152508546,,
capitan sarmiento,11654.0,9141.0,2596.0,,3287.0,,1579.0,,1478.0,,153.0,,,,1.0,0.7843658829586408,0.22275613523253818,,0.2820490818603055,,0.13548996052857387,,0.126823408271838,,0.013128539557233568,,,,12195.0,8887.0,1939.0,,3828.0,,,1413.0,336.0,,122.0,570.0,,,1.0,0.7287412874128741,0.15899958999589997,,0.31389913899138994,,,0.11586715867158671,0.02755227552275523,,0.01000410004100041,0.046740467404674045,,,12534.0,10069.0,2106.0,5206.0,,,,1314.0,187.0,331.0,,879.0,,,1.0,0.8033349289931386,0.16802297750119674,0.41535024732726983,,,,0.10483484921014839,0.01491941917983086,0.02640816977820329,,0.07012924844423168,,
carlos casares,18383.0,14493.0,4801.0,,5900.0,,1722.0,,1853.0,,353.0,,,,1.0,0.7883914486210085,0.2611652069847141,,0.32094870260566827,,0.09367350269270522,,0.1007996518522548,,0.019202524071152697,,,,18971.0,13388.0,2065.0,,6275.0,,,1633.0,2156.0,,277.0,1234.0,,,1.0,0.7057087132992462,0.10885035053502715,,0.3307680143376733,,,0.08607875177903115,0.11364714564335038,,0.014601233461599283,0.0650466501502293,,,18602.0,14239.0,2395.0,7536.0,,,,1149.0,370.0,2274.0,,973.0,,,1.0,0.7654553273841522,0.1287495968175465,0.40511772927642187,,,,0.06176755187614235,0.019890334372648102,0.12224491990108591,,0.05230620363401785,,
carlos tejedor,9841.0,8478.0,3223.0,,3793.0,,591.0,,893.0,,131.0,,,,1.0,0.8614978152626765,0.327507367137486,,0.38542831013108425,,0.06005487247230972,,0.09074281068997053,,0.013311655319581343,,,,9487.0,7318.0,1343.0,,2511.0,,,1210.0,1112.0,,84.0,680.0,,,1.0,0.7713713502687889,0.14156213766206388,,0.2646779803942237,,,0.1275429535153368,0.11721302835459049,,0.008854221566353957,0.07167703172762728,,,9837.0,7759.0,1459.0,3579.0,,,,761.0,167.0,1503.0,,534.0,,,1.0,0.7887567347768628,0.14831757649689947,0.3638304361085697,,,,0.07736098403984955,0.01697672054488157,0.15279048490393413,,0.05428484293992071,,
carmen de areco,12471.0,9651.0,3786.0,,3623.0,,1137.0,,1628.0,,127.0,,,,1.0,0.773875390906904,0.3035843156122203,,0.290513992462513,,0.09117151792157806,,0.1305428594338866,,0.01018362601234865,,,,11994.0,9316.0,2087.0,,3995.0,,,1162.0,397.0,,64.0,1225.0,,,1.0,0.7767216941804236,0.1740036685009171,,0.33308320827080207,,,0.09688177422044356,0.03309988327497082,,0.005336001334000333,0.10213440053360014,,,12336.0,9980.0,2426.0,4898.0,,,,803.0,151.0,403.0,,1135.0,,,1.0,0.8090142671854734,0.19666018158236057,0.3970492866407263,,,,0.0650940337224384,0.01224059662775616,0.0326686121919585,,0.09200713359273671,,
castelli,7007.0,5916.0,2308.0,,2191.0,,527.0,,692.0,,59.0,,,,1.0,0.8442985585842728,0.3293849008134722,,0.3126873126873127,,0.07521050378193235,,0.09875838447267019,,0.008420151277294135,,,,7559.0,5312.0,667.0,,2300.0,,,458.0,1792.0,,58.0,373.0,,,1.0,0.7027384574679191,0.08823918507739119,,0.30427305199100413,,,0.06059002513559995,0.23706839529038232,,0.007672972615425321,0.04934515147506284,,,7548.0,5909.0,723.0,2693.0,,,,270.0,101.0,1634.0,,650.0,,,1.0,0.7828563857975622,0.09578696343402225,0.3567832538420774,,,,0.03577106518282989,0.01338102808691044,0.21648118706942238,,0.08611552729199788,,
chacabuco,39557.0,32820.0,12307.0,,12757.0,,4036.0,,2252.0,,698.0,,,,1.0,0.8296888034987486,0.3111206613241651,,0.3224966504032156,,0.10202998205121723,,0.056930505346714864,,0.01764542306039386,,,,41328.0,31521.0,7607.0,,13783.0,,,3800.0,3215.0,,580.0,1429.0,,,1.0,0.7627032520325203,0.18406407278358497,,0.33350271002710025,,,0.09194734804490902,0.07779229578010066,,0.014034068912117692,0.03457704219899342,,,41645.0,33280.0,9939.0,16245.0,,,,2551.0,1022.0,1835.0,,1258.0,,,1.0,0.7991355504862528,0.2386601032536919,0.39008284307840074,,,,0.061255853043582664,0.02454076119582183,0.044062912714611595,,0.030207708008164247,,
chascomus,35764.0,29566.0,7828.0,,11159.0,,5365.0,,3913.0,,726.0,,,,1.0,0.8266972374454759,0.21887931998657867,,0.31201767140140924,,0.15001118443127168,,0.10941169891511017,,0.02029974275808075,,,,35837.0,26612.0,6065.0,,12370.0,,,3571.0,1135.0,,565.0,2651.0,,,1.0,0.7425844797276557,0.1692384965259369,,0.34517398219717055,,,0.09964561765772804,0.03167117783296593,,0.015765828612886123,0.07397382593409046,,,37466.0,28976.0,7141.0,14937.0,,,,3390.0,946.0,813.0,,2357.0,,,1.0,0.7733945443869108,0.19059947685901885,0.3986814712005552,,,,0.09048203704692254,0.02524955960070464,0.021699674371430097,,0.06291037207067741,,
chivilcoy,55421.0,46170.0,17275.0,,11263.0,,11948.0,,3543.0,,1202.0,,,,1.0,0.8330777142238501,0.31170494938741633,,0.20322621389004167,,0.2155861496544631,,0.06392883563991988,,0.02168852961873658,,,,57217.0,43742.0,7359.0,,12476.0,,,5076.0,14750.0,,775.0,2351.0,,,1.0,0.7644930702413618,0.1286156212314522,,0.21804708390862856,,,0.08871489242707586,0.25779051680444626,,0.013544925459216666,0.041089186780152755,,,57697.0,46145.0,8173.0,15523.0,,,,5006.0,994.0,14195.0,,2432.0,,,1.0,0.7997816177617554,0.14165381215661127,0.2690434511326412,,,,0.08676360989306203,0.017227932128186907,0.24602665649860478,,0.04215123836594624,,
colon,19384.0,15236.0,5771.0,,5204.0,,1976.0,,1857.0,,445.0,,,,1.0,0.7860090796533223,0.29771976888155177,,0.26846884028064383,,0.10193974411886092,,0.09580066033842344,,0.022957078002476268,,,,20788.0,15183.0,5140.0,,5422.0,,,1752.0,1120.0,,308.0,1544.0,,,1.0,0.73037329228401,0.24725803348085434,,0.26082355204925917,,,0.08427939195689821,0.05387723686742352,,0.014816240138541466,0.07427361939580528,,,20424.0,15007.0,6288.0,6321.0,,,,1195.0,419.0,743.0,,1199.0,,,1.0,0.7347728162945554,0.3078730904817861,0.30948883666274973,,,,0.05850959655307481,0.020515080297688993,0.03637877007442225,,0.05870544457500979,,
comuna 01,,,,177581.0,,118485.0,,58361.0,,30616.0,,16130.0,6739.0,3192.0,,,,1.0,,0.6672166504299446,,0.32864439326279277,,0.17240583170496843,,0.090831789436933,0.037948879666180504,0.01797489596296901,,,,176831.0,,93537.0,60268.0,,,25944.0,,,4366.0,1358.0,,,,1.0,,0.5289626818827016,0.34082259332356885,,,0.14671635629499352,,,0.02469024096453676,0.007679648930334613,,,,,177541.0,110014.0,63816.0,,,,27984.0,,6905.0,1033.0,,,,,1.0,0.6196540517401614,0.3594437341233856,,,,0.15761993004432778,,0.03889242484834489,0.0058183743473338555
comuna 02,,,,145461.0,,107651.0,,68357.0,,13686.0,,9022.0,3858.0,1601.0,,,,1.0,,0.7400677844920631,,0.46993352169997454,,0.09408707488605193,,0.06202349770728924,0.026522573060820426,0.011006386591594999,,,,144225.0,,85473.0,68386.0,,,12266.0,,,2509.0,914.0,,,,1.0,,0.5926365054602184,0.4741618998093257,,,0.0850476685734096,,,0.017396429190500953,0.0063373201594730455,,,,,143570.0,94039.0,70499.0,,,,12605.0,,4091.0,758.0,,,,,1.0,0.6550045274082329,0.4910426969422581,,,,0.08779689350142787,,0.028494810893640733,0.005279654523925611
comuna 03,,,,163967.0,,116687.0,,48858.0,,30075.0,,18578.0,7774.0,3287.0,,,,1.0,,0.7116492952850269,,0.2979745924484805,,0.1834210542365232,,0.11330328663694524,0.047411979239725066,0.020046716717388256,,,,161318.0,,91351.0,51646.0,,,26651.0,,,5236.0,1261.0,,,,1.0,,0.5662790265190494,0.3201502622150039,,,0.16520785033288288,,,0.032457630270645556,0.007816858627059596,,,,,159996.0,101915.0,53921.0,,,,28254.0,,7796.0,983.0,,,,,1.0,0.6369846746168655,0.3370146753668842,,,,0.17659191479786995,,0.04872621815545389,0.006143903597589939
