Eleccion,,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017
,,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct
Denominacion,,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bahia blanca,2,10233.0,39360.0,27784.0,74454.0,235463.0,178187.0,17946.0,0.043459057261650454,0.16716002089500262,0.11799730743259026,0.3162025456228792,1.0,0.7567515915451685,0.07621579611234036,16326.0,98613.0,252071.0,11466.0,15468.0,38286.0,187940.0,6889.0,0.06476746630909545,0.39121120636646023,1.0,0.045487184166365824,0.06136366341229257,0.15188577821328117,0.7455835855770795,0.02732960158050708,20886.0,81363.0,244495.0,8247.0,13892.0,35291.0,176205.0,8549.0,0.08542505981717417,0.3327798114480869,1.0,0.03373075114010511,0.05681915785598887,0.1443424200903904,0.720689584654083,0.03496595022393096
balcarce,2,568.0,6843.0,4735.0,12877.0,35567.0,27809.0,3340.0,0.015969859701408608,0.1923974470717238,0.1331290240953693,0.36204909044901173,1.0,0.7818764585149155,0.09390727359631118,2778.0,16920.0,39238.0,728.0,2874.0,5636.0,30475.0,1603.0,0.07079871553086294,0.43121463887048267,1.0,0.018553443090881288,0.07324532341097915,0.14363627096182272,0.7766705744431418,0.04085325449819053,3657.0,13597.0,39251.0,399.0,2666.0,5654.0,27832.0,2212.0,0.09316960077450256,0.34641155639346766,1.0,0.010165346105831698,0.0679218363863341,0.14404728541947975,0.7090774757331023,0.056355252095488015
baradero,2,672.0,7528.0,3858.0,7015.0,26387.0,19627.0,2378.0,0.02546708606510782,0.2852919998484102,0.14620836017736005,0.2658506082540645,1.0,0.7438132413688558,0.09012013491492023,2796.0,9655.0,28451.0,756.0,1104.0,5945.0,22086.0,2040.0,0.09827422586200836,0.33935538293908823,1.0,0.026572000984148185,0.038803556992724336,0.20895574847984252,0.7762820287511862,0.07170222487786018,3516.0,7325.0,28303.0,720.0,1175.0,5661.0,20812.0,1943.0,0.12422711373352648,0.2588064869448468,1.0,0.025438999399356958,0.04151503374200615,0.2000141327774441,0.735328410415857,0.06864996643465357
bartolome mitre,2,333.0,6413.0,3021.0,7856.0,24018.0,19486.0,1998.0,0.013864601548838371,0.2670080772753768,0.12578066450162378,0.3270880173203431,1.0,0.811308185527521,0.08318760929303022,2051.0,9582.0,24379.0,425.0,1288.0,5089.0,19139.0,1131.0,0.08412978383034579,0.3930431929119324,1.0,0.017433036629886378,0.05283235571598507,0.20874523155174535,0.7850609130809303,0.046392386890356456,2588.0,8168.0,24753.0,204.0,1551.0,4601.0,19223.0,1158.0,0.1045529834767503,0.3299802044196663,1.0,0.008241425281784027,0.06265907162768149,0.1858764594190603,0.7765927362339918,0.046782208217185796
benito juarez,2,328.0,4755.0,2059.0,4200.0,16447.0,13212.0,1633.0,0.019942846719766524,0.28911047607466406,0.12519000425609533,0.25536572019213233,1.0,0.8033075940901077,0.09928862406517906,1036.0,5698.0,16929.0,386.0,243.0,4188.0,12973.0,1590.0,0.06119676295114892,0.336582196231319,1.0,0.022801110520408768,0.014354066985645933,0.24738614212298424,0.7663181522830645,0.0939216728690413,1377.0,4196.0,16959.0,237.0,210.0,4109.0,11079.0,1657.0,0.08119582522554396,0.24742024883542663,1.0,0.013974880594374668,0.012382805589952238,0.2422902293767321,0.6532814434813373,0.0977062326788136
berazategui,2,9831.0,78298.0,39715.0,47511.0,245757.0,189544.0,17338.0,0.04000292972326323,0.3185992667553722,0.16160272138738674,0.19332511383195597,1.0,0.7712659252839187,0.07054936380245527,21569.0,66729.0,260484.0,11806.0,8932.0,85368.0,198818.0,8515.0,0.0828035503140308,0.25617312387709035,1.0,0.04532332120206999,0.034290013973986885,0.327728382549408,0.7632637705194945,0.03268914789392055,27875.0,48387.0,239746.0,7488.0,7985.0,73164.0,179362.0,9754.0,0.11626888456950273,0.20182609928841358,1.0,0.031233054983190543,0.03330608227040284,0.30517297473159094,0.7481334412252968,0.040684724666939176
berisso,2,3184.0,19080.0,12082.0,18000.0,74815.0,58985.0,5752.0,0.042558310499231436,0.25502907171021855,0.1614916794760409,0.24059346387756467,1.0,0.7884114148232306,0.07688297801243066,6037.0,24680.0,78044.0,3663.0,3457.0,20617.0,59691.0,2172.0,0.07735380042027575,0.31623186920198865,1.0,0.04693506227256419,0.044295525600943055,0.2641714930039465,0.7648377838142586,0.02783045461534519,8943.0,18139.0,77052.0,2609.0,4003.0,17966.0,55888.0,2698.0,0.11606447593832736,0.2354124487359186,1.0,0.033860250220630224,0.0519519285677205,0.2331672117531018,0.7253283496859264,0.035015314333177595
bolivar,2,450.0,8029.0,2994.0,9288.0,29450.0,24069.0,2755.0,0.015280135823429542,0.27263157894736845,0.10166383701188456,0.31538200339558575,1.0,0.8172835314091681,0.0935483870967742,1177.0,10795.0,30369.0,466.0,7291.0,2657.0,24256.0,1385.0,0.03875662682340544,0.35546116105238895,1.0,0.01534459481708321,0.24008034508874182,0.08749053310942079,0.7987092100497217,0.04560571635549409,1644.0,9048.0,29714.0,190.0,4957.0,3041.0,20817.0,1301.0,0.05532745507168338,0.3045029279127684,1.0,0.006394292252810123,0.16682371945884095,0.1023423302147136,0.7005788517197281,0.04378407484687353
bragado,2,533.0,9963.0,2870.0,12399.0,34850.0,28499.0,2558.0,0.015294117647058824,0.2858823529411765,0.08235294117647059,0.3557819225251076,1.0,0.8177618364418938,0.0734002869440459,1952.0,13877.0,36168.0,765.0,1847.0,8787.0,27956.0,1004.0,0.0539703605397036,0.3836817075868171,1.0,0.02115129396151294,0.05106724176067242,0.2429495686794957,0.7729484627294846,0.027759345277593453,2998.0,11594.0,36168.0,432.0,2170.0,8267.0,27211.0,1327.0,0.08289095332890953,0.32055961070559613,1.0,0.011944260119442602,0.05999778809997788,0.22857221853572218,0.7523501437735014,0.036689891616898916
brandsen,2,533.0,5668.0,1995.0,6615.0,20935.0,17080.0,2222.0,0.025459756388822547,0.27074277525674706,0.09529496059230953,0.3159780272271316,1.0,0.8158586099832816,0.10613804633389061,1775.0,8388.0,23151.0,596.0,515.0,6135.0,17838.0,846.0,0.07667055418772407,0.36231696255021384,1.0,0.02574402833570904,0.022245259384043887,0.2649993520798238,0.7705066735778152,0.03654269793961384,2078.0,6459.0,22822.0,387.0,499.0,5382.0,17565.0,2078.0,0.09105249320830777,0.2830163876960827,1.0,0.01695732188239418,0.021864867233371308,0.23582508106213304,0.7696520900885111,0.09105249320830777
