dpto_merger_str,circuito,PROV_REF_ID,ELECTORES,VOTANTES,CAMBIEMOS,UNIDAD CIUDADANA,1PAIS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,VOTOS BLANCOS
comuna 14,0152,1,20593.0,13384.0,10185.0,1770.0,,612.0,,130.0
berazategui,0789D,2,17882.0,14145.0,3714.0,7107.0,1454.0,797.0,768.0,797.0
presidente peron,0304,2,17732.0,14139.0,3632.0,6139.0,2426.0,821.0,816.0,796.0
esteban echeverria,0288A,2,18908.0,14053.0,6763.0,3606.0,1302.0,931.0,587.0,297.0
coronel pringles,0240,2,18449.0,14068.0,7264.0,3446.0,1105.0,483.0,410.0,1215.0
comuna 15,0165,1,19872.0,14478.0,7285.0,3445.0,,1092.0,,129.0
comuna 02,0023,1,20295.0,13342.0,9749.0,1954.0,,613.0,,120.0
san isidro,0888,2,17681.0,14217.0,9753.0,1982.0,974.0,739.0,372.0,312.0
rojas,0823,2,17862.0,13886.0,7615.0,3288.0,1703.0,330.0,520.0,805.0
tres de febrero,0390,2,17455.0,14107.0,7183.0,3621.0,1514.0,972.0,744.0,224.0
san antonio de areco,0866,2,17210.0,14391.0,7690.0,4139.0,987.0,592.0,371.0,390.0
florencio varela,0302D,2,17419.0,14216.0,3824.0,6908.0,1306.0,668.0,770.0,630.0
la matanza,0627,2,17634.0,14008.0,6066.0,4571.0,1586.0,885.0,575.0,193.0
comuna 15,0161,1,20433.0,13224.0,6663.0,3755.0,,1098.0,,98.0
general san martin,0384,2,17697.0,13496.0,5577.0,4590.0,1772.0,760.0,945.0,277.0
campana,0155A,2,17083.0,14029.0,7037.0,3347.0,1466.0,825.0,510.0,753.0
la matanza,0631C,2,16868.0,14086.0,3690.0,7110.0,1368.0,741.0,781.0,336.0
comuna 10,0107,1,19068.0,14492.0,6978.0,3408.0,,877.0,,124.0
comuna 10,0109,1,19285.0,13830.0,6998.0,3388.0,,980.0,,123.0
comuna 15,0158,1,20044.0,13147.0,6808.0,3414.0,,1071.0,,120.0
comuna 11,0120,1,19166.0,13723.0,8089.0,2715.0,,709.0,,121.0
comuna 12,0128,1,19493.0,12974.0,7770.0,3183.0,,932.0,,127.0
escobar,0775,2,17044.0,13530.0,5850.0,4555.0,1583.0,692.0,542.0,539.0
vicente lopez,0998,2,16937.0,13489.0,7713.0,2711.0,1110.0,1140.0,495.0,205.0
ayacucho,0046,2,16923.0,13168.0,6514.0,2873.0,1325.0,662.0,876.0,1050.0
monte,0656,2,17158.0,13008.0,6384.0,3427.0,1442.0,392.0,773.0,628.0
esteban echeverria,0287A,2,16685.0,12947.0,4272.0,5836.0,1331.0,783.0,666.0,533.0
comuna 04,0057,1,18495.0,13690.0,6091.0,3692.0,,930.0,,124.0
la costa,0337E,2,17370.0,12621.0,6010.0,4194.0,1230.0,459.0,524.0,596.0
lomas de zamora,0586,2,17078.0,13226.0,7121.0,2854.0,1215.0,875.0,431.0,198.0
coronel de marina l. rosales,0248,2,17486.0,12701.0,7930.0,1798.0,1361.0,475.0,569.0,629.0
bahia blanca,0087,2,16923.0,13071.0,5565.0,3252.0,1274.0,789.0,1361.0,632.0
comuna 13,0143,1,18334.0,13212.0,8859.0,1742.0,,609.0,,101.0
pergamino,0748,2,17260.0,12953.0,8752.0,1801.0,913.0,488.0,403.0,268.0
general juan madariaga,0340,2,17474.0,12161.0,6912.0,3203.0,1096.0,457.0,869.0,555.0
comuna 13,0139,1,18413.0,12812.0,8887.0,1800.0,,605.0,,117.0
comuna 10,0105,1,18707.0,12586.0,7162.0,3158.0,,808.0,,130.0
la plata,0475,2,16881.0,12788.0,7518.0,2653.0,878.0,979.0,555.0,289.0
la plata,0496D,2,17224.0,12674.0,5347.0,3934.0,1195.0,714.0,822.0,557.0
la plata,0505,2,16527.0,13044.0,6275.0,3443.0,1184.0,766.0,779.0,373.0
general villegas,0411,2,16630.0,12919.0,6531.0,2132.0,2643.0,315.0,487.0,654.0
pergamino,0748A,2,16776.0,12880.0,6750.0,3146.0,1344.0,415.0,595.0,360.0
comuna 11,0117,1,18359.0,12706.0,6888.0,3178.0,,823.0,,124.0
carlos casares,0164,2,16298.0,12705.0,6694.0,2156.0,997.0,346.0,1818.0,858.0
comuna 11,0119,1,18103.0,12820.0,7216.0,2826.0,,713.0,,91.0
comuna 12,0126,1,17939.0,12526.0,7000.0,3088.0,,853.0,,100.0
general san martin,0380,2,16400.0,12438.0,5630.0,3554.0,1594.0,818.0,766.0,291.0
san andres de giles,0860,2,16051.0,12537.0,5514.0,3175.0,1948.0,259.0,429.0,1452.0
san fernando,0880,2,15842.0,12771.0,8296.0,1675.0,1547.0,627.0,323.0,255.0
comuna 12,0130,1,17682.0,12833.0,7103.0,2676.0,,827.0,,113.0
comuna 06,0073,1,17474.0,13170.0,6225.0,3065.0,,967.0,,105.0
berazategui,0789B,2,15616.0,12471.0,4406.0,5065.0,1424.0,804.0,583.0,390.0
comuna 11,0116,1,17516.0,12883.0,6058.0,3207.0,,945.0,,117.0
comuna 02,0028,1,17988.0,12221.0,7417.0,2218.0,,719.0,,76.0
comuna 09,0095,1,17336.0,12646.0,6299.0,3493.0,,740.0,,114.0
campana,0156A,2,15319.0,12708.0,5540.0,3552.0,1376.0,758.0,534.0,827.0
almirante brown,0022B,2,15643.0,12329.0,3258.0,6109.0,1159.0,642.0,752.0,316.0
quilmes,0786A,2,15439.0,12236.0,4639.0,4963.0,1280.0,682.0,554.0,236.0
comuna 03,0041,1,17799.0,11474.0,5856.0,3678.0,,973.0,,120.0
olavarria,0711E,2,15668.0,12215.0,5057.0,3578.0,1783.0,521.0,623.0,453.0
comuna 09,0101,1,17089.0,12660.0,6435.0,2817.0,,704.0,,96.0
berazategui,0789E,2,15386.0,11570.0,4704.0,4655.0,1410.0,894.0,554.0,433.0
general belgrano,0320,2,15472.0,12097.0,6466.0,2132.0,1043.0,268.0,1304.0,769.0
avellaneda,0023,2,16981.0,11587.0,5475.0,3404.0,870.0,706.0,349.0,168.0
lomas de zamora,0591,2,15736.0,11857.0,6690.0,2646.0,1040.0,880.0,485.0,173.0
pergamino,0748B,2,15624.0,11728.0,6348.0,3036.0,1207.0,475.0,579.0,437.0
esteban echeverria,0291,2,14933.0,12110.0,5744.0,3587.0,1399.0,785.0,583.0,236.0
comuna 07,0076,1,16251.0,12927.0,6181.0,2894.0,,793.0,,107.0
pergamino,0748D,2,15380.0,11795.0,6399.0,2798.0,1301.0,441.0,611.0,375.0
comuna 11,0114,1,16945.0,12066.0,6006.0,3066.0,,794.0,,109.0
berazategui,0792A,2,14771.0,12085.0,4088.0,4895.0,1240.0,696.0,561.0,455.0
san isidro,0887,2,16843.0,11580.0,7506.0,1219.0,632.0,512.0,268.0,226.0
comuna 15,0166,1,16335.0,12492.0,5774.0,3193.0,,864.0,,78.0
la costa,0337B,2,16265.0,11608.0,4921.0,3361.0,945.0,479.0,421.0,651.0
berazategui,0792D,2,14729.0,11745.0,3460.0,5520.0,1257.0,642.0,545.0,588.0
berazategui,0792C,2,14622.0,11540.0,3253.0,5708.0,1360.0,668.0,424.0,677.0
comuna 15,0162,1,17082.0,11367.0,5195.0,3500.0,,996.0,,106.0
comuna 14,0157,1,16386.0,12190.0,5632.0,2986.0,,903.0,,101.0
comuna 02,0026,1,16869.0,10331.0,9435.0,981.0,,309.0,,84.0
la matanza,0632A,2,17213.0,10783.0,3501.0,3860.0,1062.0,642.0,496.0,231.0
pergamino,0748C,2,15017.0,11400.0,5454.0,3374.0,1126.0,389.0,537.0,439.0
quilmes,0787,2,14797.0,11517.0,5855.0,3150.0,993.0,717.0,425.0,202.0
comuna 08,0088,1,16134.0,11426.0,6303.0,2952.0,,654.0,,118.0
comuna 02,0022,1,15937.0,11542.0,7653.0,1449.0,,509.0,,68.0
tres de febrero,0394A,2,14602.0,11235.0,7041.0,2086.0,851.0,773.0,419.0,150.0
comuna 05,0060,1,15726.0,11691.0,5555.0,3099.0,,870.0,,92.0
la plata,0497,2,15118.0,10717.0,6025.0,2530.0,1048.0,757.0,509.0,301.0
comuna 12,0124,1,16178.0,10803.0,6043.0,3082.0,,721.0,,103.0
san fernando,0878A,2,13978.0,11360.0,2546.0,4491.0,2448.0,437.0,395.0,992.0
campana,0156,2,14111.0,11140.0,3775.0,4256.0,1106.0,477.0,581.0,1139.0
comuna 01,0006,1,15840.0,10562.0,9087.0,701.0,,221.0,,76.0
olavarria,0711C,2,14305.0,11082.0,4699.0,3123.0,1725.0,466.0,486.0,471.0
esteban echeverria,0287C,2,14212.0,10915.0,2700.0,5705.0,1004.0,614.0,551.0,503.0
comuna 03,0042,1,16007.0,10378.0,5447.0,3111.0,,808.0,,117.0
comuna 11,0121,1,15467.0,10765.0,6477.0,2341.0,,554.0,,85.0
necochea,0686A,2,14700.0,10156.0,4792.0,2944.0,1643.0,296.0,405.0,688.0
comuna 05,0061,1,15158.0,11075.0,5805.0,2491.0,,790.0,,77.0
comuna 13,0145,1,15332.0,10487.0,6263.0,2332.0,,784.0,,104.0
tres de febrero,0389,2,14068.0,10682.0,5255.0,2760.0,1023.0,730.0,469.0,191.0
benito juarez,0436,2,13665.0,10429.0,4605.0,3421.0,743.0,322.0,185.0,1331.0
saavedra,0840,2,13936.0,10471.0,5568.0,2427.0,1244.0,299.0,325.0,349.0
rauch,0806,2,13076.0,10612.0,5556.0,3456.0,731.0,258.0,212.0,695.0
comuna 13,0136,1,14660.0,10685.0,6351.0,1932.0,,623.0,,107.0
quilmes,0783A,2,13811.0,10077.0,2874.0,5034.0,902.0,439.0,486.0,545.0
lanus,0271,2,13059.0,10428.0,5081.0,3111.0,1122.0,710.0,426.0,180.0
comuna 05,0058,1,14373.0,10848.0,4786.0,2937.0,,847.0,,81.0
general viamonte,0404,2,13064.0,10444.0,5188.0,3451.0,844.0,198.0,297.0,366.0
almirante brown,0021A,2,13222.0,10214.0,2379.0,5270.0,1131.0,559.0,650.0,318.0
presidente peron,0304B,2,12946.0,10137.0,2758.0,4355.0,1577.0,482.0,730.0,713.0
berazategui,0789F,2,12578.0,10534.0,4153.0,3758.0,1123.0,695.0,435.0,348.0
olavarria,0711,2,13726.0,10091.0,5826.0,1713.0,1192.0,426.0,398.0,212.0
comuna 04,0054,1,14821.0,9497.0,5032.0,3009.0,,793.0,,91.0
comuna 11,0118,1,14493.0,9888.0,5882.0,2181.0,,575.0,,78.0
comuna 13,0141,1,14583.0,9514.0,6916.0,1507.0,,444.0,,95.0
comuna 13,0137,1,13947.0,10509.0,6067.0,1809.0,,611.0,,95.0
la plata,0508A,2,13033.0,10173.0,4808.0,2549.0,980.0,565.0,545.0,322.0
comuna 09,0100,1,13897.0,10467.0,5460.0,2445.0,,566.0,,86.0
comuna 07,0082,1,14837.0,9467.0,5520.0,2385.0,,639.0,,69.0
comuna 11,0122,1,13765.0,10405.0,6648.0,1579.0,,414.0,,83.0
comuna 11,0123,1,14359.0,9667.0,5970.0,2162.0,,590.0,,78.0
comuna 04,0048,1,14580.0,9901.0,4962.0,2533.0,,621.0,,111.0
la plata,0496C,2,12653.0,9942.0,4126.0,3191.0,959.0,590.0,596.0,367.0
vicente lopez,0994,2,12704.0,9853.0,6814.0,1347.0,651.0,552.0,284.0,133.0
comuna 04,0050,1,14060.0,9284.0,5655.0,2234.0,,636.0,,85.0
capitan sarmiento,0121,2,12252.0,9839.0,5096.0,2031.0,1294.0,181.0,327.0,866.0
comuna 10,0102,1,13243.0,10473.0,5372.0,2183.0,,500.0,,75.0
comuna 04,0053,1,14365.0,9436.0,4091.0,3229.0,,630.0,,76.0
comuna 05,0065,1,13924.0,9718.0,4858.0,2434.0,,741.0,,82.0
comuna 04,0047,1,14689.0,8633.0,2695.0,4834.0,,680.0,,124.0
comuna 07,0077,1,13508.0,9946.0,4670.0,2703.0,,705.0,,98.0
moron,0670,2,12011.0,9771.0,5613.0,2099.0,834.0,706.0,362.0,94.0
loberia,0568,2,12189.0,9656.0,4791.0,2737.0,991.0,300.0,295.0,412.0
comuna 07,0079,1,14315.0,9048.0,5098.0,2205.0,,608.0,,97.0
comuna 02,0021,1,13586.0,8933.0,7781.0,640.0,,193.0,,50.0
comuna 06,0072,1,13529.0,9632.0,4682.0,2442.0,,708.0,,83.0
avellaneda,0033,2,11864.0,9607.0,4647.0,2753.0,1019.0,664.0,332.0,138.0
comuna 14,0150,1,13243.0,9186.0,7746.0,598.0,,191.0,,54.0
navarro,0675,2,11763.0,9492.0,4711.0,3083.0,629.0,169.0,584.0,495.0
bahia blanca,0083,2,12199.0,9364.0,6284.0,1239.0,570.0,550.0,485.0,170.0
comuna 05,0059,1,13275.0,9567.0,4277.0,2845.0,,740.0,,87.0
comuna 05,0066,1,13321.0,9643.0,4623.0,2293.0,,755.0,,73.0
general las heras,0547,2,11455.0,9688.0,3640.0,2787.0,2094.0,273.0,343.0,374.0
daireaux,0179,2,11664.0,9507.0,4586.0,3025.0,679.0,120.0,251.0,747.0
comuna 07,0080,1,13144.0,9444.0,5148.0,2088.0,,599.0,,98.0
lomas de zamora,0593A,2,11538.0,9507.0,4341.0,2824.0,1037.0,676.0,431.0,141.0
comuna 10,0103,1,12842.0,10041.0,4897.0,2169.0,,484.0,,62.0
comuna 15,0167,1,12977.0,9507.0,5055.0,2166.0,,663.0,,70.0
coronel de marina l. rosales,0248C,2,12328.0,8821.0,5229.0,1477.0,1141.0,278.0,458.0,672.0
comuna 03,0034,1,13936.0,8774.0,4644.0,2248.0,,643.0,,88.0
pinamar,0339,2,12656.0,9023.0,4912.0,1659.0,916.0,312.0,413.0,409.0
carmen de areco,0175,2,11545.0,9371.0,4619.0,2249.0,760.0,141.0,365.0,1103.0
comuna 03,0039,1,13359.0,9211.0,4487.0,2322.0,,673.0,,82.0
ramallo,0797,2,11783.0,8913.0,3588.0,2957.0,1648.0,354.0,278.0,557.0
comuna 09,0092,1,13625.0,8427.0,4714.0,2537.0,,650.0,,94.0
la plata,0520,2,14336.0,8579.0,3575.0,1873.0,529.0,614.0,344.0,184.0
la costa,0337,2,12144.0,9017.0,4117.0,2849.0,769.0,293.0,343.0,416.0
lomas de zamora,0588,2,11670.0,9190.0,4758.0,2162.0,877.0,727.0,351.0,121.0
comuna 11,0113,1,12857.0,9390.0,4679.0,2237.0,,604.0,,70.0
comuna 02,0025,1,12938.0,8683.0,6997.0,783.0,,291.0,,82.0
comuna 02,0024,1,13312.0,8096.0,6872.0,1063.0,,354.0,,68.0
ensenada,0490,2,11785.0,8848.0,3450.0,3371.0,862.0,467.0,370.0,303.0
la matanza,0632,2,11824.0,8868.0,3709.0,2856.0,940.0,547.0,396.0,129.0
san nicolas,0901A,2,11475.0,8356.0,3126.0,3434.0,1187.0,337.0,449.0,587.0
la plata,0496A,2,11341.0,8727.0,2775.0,3644.0,862.0,413.0,563.0,418.0
avellaneda,0025,2,11327.0,8564.0,2991.0,4071.0,805.0,463.0,291.0,152.0
campana,0156B,2,11200.0,8492.0,3275.0,3225.0,970.0,334.0,371.0,796.0
comuna 10,0108,1,12077.0,9113.0,4402.0,2208.0,,591.0,,79.0
comuna 03,0035,1,12919.0,8138.0,4270.0,2400.0,,655.0,,59.0
comuna 07,0081,1,12492.0,8373.0,4864.0,2020.0,,583.0,,84.0
comuna 10,0104,1,12289.0,8798.0,4441.0,2162.0,,535.0,,80.0
comuna 02,0027,1,12886.0,7587.0,5846.0,1271.0,,444.0,,70.0
bahia blanca,0084,2,11150.0,8328.0,5528.0,1203.0,568.0,564.0,505.0,160.0
comuna 09,0096,1,11920.0,8851.0,4020.0,2536.0,,503.0,,92.0
vicente lopez,0997,2,10911.0,8528.0,5284.0,1494.0,615.0,678.0,256.0,132.0
rivadavia,0815,2,10796.0,8587.0,4258.0,1334.0,1800.0,122.0,376.0,604.0
comuna 11,0115,1,12340.0,8265.0,4189.0,2279.0,,675.0,,83.0
lomas de zamora,0585,2,10776.0,8616.0,4718.0,1876.0,746.0,643.0,323.0,116.0
comuna 04,0043,1,12177.0,8202.0,4210.0,2475.0,,620.0,,67.0
comuna 09,0097,1,11858.0,8496.0,3949.0,2748.0,,516.0,,77.0
magdalena,0606,2,10685.0,8509.0,4201.0,1959.0,1188.0,266.0,372.0,402.0
la plata,0497E,2,11849.0,7892.0,3253.0,2503.0,832.0,386.0,451.0,386.0
comuna 01,0013,1,12496.0,7975.0,4167.0,2246.0,,606.0,,59.0
comuna 04,0049,1,12298.0,7855.0,4091.0,2577.0,,616.0,,88.0
comuna 02,0029,1,12020.0,8350.0,5084.0,1439.0,,492.0,,84.0
pilar,0770A,2,10815.0,8216.0,4565.0,2375.0,660.0,277.0,282.0,265.0
coronel de marina l. rosales,0248E,2,10660.0,8446.0,5364.0,952.0,913.0,264.0,326.0,515.0
comuna 13,0135,1,11713.0,8452.0,5345.0,1318.0,,474.0,,60.0
comuna 03,0038,1,12792.0,7375.0,4197.0,2258.0,,654.0,,63.0
comuna 15,0159,1,12183.0,8196.0,3908.0,2224.0,,673.0,,71.0
comuna 15,0163,1,12365.0,7592.0,3740.0,2698.0,,715.0,,74.0
bahia blanca,0091,2,11045.0,7687.0,3094.0,2527.0,837.0,442.0,921.0,599.0
coronel dorrego,0232,2,10681.0,8114.0,4268.0,1957.0,879.0,195.0,456.0,544.0
comuna 03,0031,1,12682.0,7482.0,4565.0,1743.0,,524.0,,83.0
comuna 15,0164,1,11914.0,8240.0,3819.0,2225.0,,690.0,,90.0
comuna 13,0146,1,11691.0,8270.0,4342.0,1898.0,,653.0,,80.0
comuna 10,0111,1,11916.0,8214.0,4097.0,2039.0,,553.0,,79.0
comuna 01,0011,1,12366.0,7865.0,4022.0,1966.0,,535.0,,88.0
avellaneda,0024,2,10413.0,8086.0,3933.0,2652.0,753.0,520.0,276.0,158.0
bahia blanca,0072,2,10646.0,8055.0,4936.0,1250.0,608.0,468.0,507.0,209.0
comuna 04,0052,1,11791.0,7921.0,3396.0,2760.0,,582.0,,70.0
comuna 10,0106,1,11428.0,8298.0,4192.0,1962.0,,475.0,,73.0
exaltacion de la cruz,0293,2,10025.0,8138.0,3447.0,2419.0,825.0,283.0,288.0,831.0
comuna 01,0017,1,12082.0,6963.0,3745.0,2386.0,,635.0,,79.0
comuna 01,0010,1,11796.0,7324.0,4785.0,1516.0,,380.0,,70.0
exaltacion de la cruz,0292,2,10407.0,7985.0,3455.0,1705.0,738.0,232.0,257.0,994.0
la plata,0496B,2,10399.0,7302.0,3029.0,2723.0,810.0,439.0,507.0,365.0
ramallo,0798,2,9959.0,7134.0,4193.0,2023.0,1072.0,303.0,224.0,452.0
comuna 03,0030,1,11476.0,7467.0,4126.0,1685.0,,445.0,,66.0
la plata,0497D,2,9747.0,7791.0,3605.0,2141.0,778.0,427.0,450.0,302.0
tres de febrero,0392,2,10056.0,7475.0,2938.0,2743.0,885.0,469.0,389.0,195.0
comuna 07,0078,1,10798.0,7880.0,3750.0,2140.0,,480.0,,88.0
san nicolas,0905,2,9713.0,7783.0,1980.0,3618.0,832.0,244.0,401.0,519.0
lanus,0259,2,9711.0,7419.0,3538.0,2524.0,887.0,540.0,320.0,114.0
comuna 09,0094,1,10947.0,7544.0,3579.0,2255.0,,575.0,,70.0
comuna 03,0037,1,11171.0,7262.0,3733.0,2115.0,,557.0,,77.0
comuna 01,0012,1,11235.0,7411.0,3803.0,1883.0,,498.0,,64.0
berazategui,0790A,2,9508.0,7519.0,2535.0,3300.0,856.0,419.0,336.0,303.0
comuna 09,0099,1,11029.0,6761.0,4587.0,1834.0,,428.0,,85.0
la costa,0337D,2,9861.0,7294.0,3564.0,2072.0,696.0,309.0,319.0,248.0
comuna 07,0075,1,10269.0,7941.0,3825.0,1759.0,,497.0,,70.0
zarate,1021,2,9378.0,7351.0,2181.0,3719.0,735.0,168.0,293.0,514.0
comuna 07,0084,1,10909.0,6781.0,3934.0,1957.0,,546.0,,68.0
la plata,0497C,2,10298.0,7061.0,2561.0,2309.0,785.0,414.0,400.0,331.0
bahia blanca,0092,2,9747.0,7260.0,2880.0,2089.0,714.0,429.0,683.0,301.0
maipu,0615,2,9225.0,7455.0,3726.0,1599.0,1398.0,160.0,109.0,430.0
comuna 01,0019,1,11251.0,6519.0,3313.0,2378.0,,560.0,,66.0
comuna 05,0062,1,10155.0,7739.0,3544.0,1997.0,,556.0,,58.0
comuna 01,0009,1,11366.0,6647.0,4326.0,1271.0,,308.0,,53.0
la plata,0508,2,9486.0,7132.0,3064.0,2312.0,732.0,434.0,468.0,311.0
comuna 03,0032,1,10955.0,6996.0,3752.0,1615.0,,511.0,,67.0
ensenada,0491A,2,9315.0,7325.0,2113.0,3657.0,564.0,379.0,237.0,273.0
comuna 10,0110,1,10179.0,7521.0,3495.0,2065.0,,487.0,,72.0
pinamar,0339A,2,10810.0,7033.0,2263.0,1808.0,711.0,211.0,368.0,456.0
roque perez,0832,2,9079.0,7339.0,3532.0,1979.0,1059.0,138.0,202.0,328.0
adolfo alsina,0001,2,9322.0,7181.0,3713.0,1546.0,709.0,158.0,466.0,517.0
laprida,0524,2,9048.0,7305.0,3111.0,2979.0,529.0,155.0,144.0,319.0
comuna 04,0051,1,10154.0,6787.0,4165.0,1712.0,,448.0,,60.0
pilar,0769,2,8973.0,7130.0,3511.0,2057.0,648.0,274.0,327.0,236.0
la plata,0505A,2,9170.0,7125.0,2581.0,2603.0,598.0,359.0,443.0,270.0
la plata,0508D,2,10422.0,6136.0,2537.0,2275.0,640.0,279.0,500.0,283.0
zarate,1018,2,8776.0,7006.0,2695.0,2661.0,956.0,322.0,290.0,314.0
comuna 01,0001,1,10515.0,6406.0,3196.0,2144.0,,580.0,,72.0
comuna 14,0156,1,10024.0,6947.0,3420.0,1739.0,,543.0,,59.0
olavarria,0711B,2,9068.0,6690.0,3094.0,1878.0,1104.0,262.0,321.0,236.0
mar chiquita,0622A,2,9169.0,6562.0,2798.0,2390.0,700.0,358.0,303.0,227.0
bahia blanca,0075,2,8680.0,6886.0,3918.0,1198.0,569.0,433.0,521.0,201.0
villarino,1011,2,10066.0,6739.0,2536.0,709.0,995.0,134.0,614.0,605.0
berazategui,0792B,2,8903.0,6588.0,2060.0,2896.0,784.0,349.0,388.0,353.0
florencio varela,0303A,2,8703.0,6773.0,1547.0,3488.0,731.0,237.0,362.0,387.0
bahia blanca,0089,2,8503.0,6802.0,4467.0,931.0,432.0,354.0,400.0,170.0
suipacha,0929,2,8322.0,6873.0,3023.0,2038.0,592.0,160.0,659.0,322.0
la plata,0503A,2,9532.0,6692.0,2477.0,1742.0,587.0,361.0,372.0,194.0
mercedes,0640,2,8407.0,6778.0,3280.0,2011.0,666.0,269.0,334.0,190.0
adolfo gonzales chaves,0424,2,8600.0,6554.0,2632.0,2009.0,662.0,181.0,209.0,1023.0
general paz,0345,2,8082.0,6890.0,3094.0,2411.0,813.0,146.0,126.0,263.0
la plata,0509A,2,9135.0,6456.0,2964.0,1588.0,653.0,315.0,411.0,278.0
la matanza,0631B,2,8234.0,6765.0,3475.0,1880.0,596.0,405.0,286.0,93.0
general la madrid,0330,2,8178.0,6721.0,3487.0,1855.0,511.0,156.0,156.0,401.0
mercedes,0642,2,8245.0,6476.0,3048.0,2076.0,707.0,288.0,381.0,196.0
comuna 04,0044,1,9107.0,6682.0,3156.0,1890.0,,485.0,,53.0
general alvear,0310,2,8242.0,6581.0,3506.0,1321.0,618.0,108.0,502.0,480.0
comuna 01,0002,1,9948.0,5715.0,2736.0,2097.0,,547.0,,60.0
leandro n. alem,0549,2,8092.0,6537.0,2886.0,2398.0,389.0,134.0,258.0,389.0
comuna 03,0040,1,9104.0,6369.0,3218.0,1828.0,,448.0,,45.0
san fernando,0872,2,9982.0,5841.0,2838.0,723.0,728.0,275.0,146.0,139.0
comuna 04,0055,1,9717.0,5074.0,2980.0,2265.0,,452.0,,77.0
la costa,0337C,2,8289.0,6080.0,2758.0,1949.0,534.0,276.0,195.0,341.0
tapalque,0944,2,7755.0,6032.0,2552.0,2141.0,1052.0,86.0,121.0,314.0
hipolito yrigoyen,0742,2,7913.0,6124.0,2863.0,1148.0,305.0,90.0,1150.0,455.0
comuna 13,0134,1,8774.0,5924.0,3920.0,1067.0,,289.0,,49.0
general san martin,0383,2,8875.0,5742.0,2922.0,1108.0,622.0,368.0,286.0,69.0
san nicolas,0902,2,7501.0,6161.0,2793.0,1817.0,691.0,219.0,295.0,297.0
comuna 09,0091,1,8831.0,5803.0,2030.0,2590.0,,404.0,,55.0
lanus,0264,2,7658.0,5904.0,2988.0,1753.0,616.0,418.0,256.0,117.0
la plata,0497B,2,7670.0,6025.0,2686.0,1752.0,638.0,343.0,336.0,216.0
comuna 13,0144,1,8136.0,6244.0,4156.0,717.0,,287.0,,56.0
comuna 13,0140,1,8525.0,5929.0,3726.0,973.0,,351.0,,55.0
comuna 03,0033,1,9280.0,5163.0,3065.0,1452.0,,419.0,,60.0
olavarria,0711A,2,7652.0,5920.0,3117.0,1269.0,787.0,224.0,254.0,160.0
mar chiquita,0619,2,7566.0,5738.0,3001.0,1842.0,537.0,146.0,201.0,250.0
comuna 03,0036,1,8516.0,5826.0,2561.0,1799.0,,486.0,,56.0
florentino ameghino,0361,2,7173.0,6066.0,2956.0,617.0,719.0,128.0,1442.0,143.0
alberti,0010,2,7275.0,6002.0,2899.0,719.0,316.0,95.0,1540.0,397.0
la plata,0508C,2,7546.0,5852.0,2087.0,2170.0,571.0,319.0,360.0,256.0
monte hermoso,0239,2,7807.0,5738.0,2159.0,812.0,226.0,141.0,2023.0,215.0
punta indio,0613,2,7466.0,5899.0,2933.0,1868.0,328.0,200.0,119.0,299.0
comuna 07,0085,1,7953.0,6352.0,3133.0,1275.0,,331.0,,41.0
tornquist,0953,2,7702.0,5754.0,2882.0,679.0,550.0,190.0,1081.0,225.0
comuna 10,0112,1,8529.0,5510.0,2944.0,1544.0,,437.0,,66.0
castelli,0185,2,7342.0,5752.0,2605.0,708.0,262.0,97.0,1602.0,643.0
comuna 01,0007,1,8060.0,5864.0,4199.0,571.0,,178.0,,29.0
la plata,0508E,2,8029.0,5628.0,2211.0,1580.0,547.0,290.0,304.0,189.0
comuna 04,0056,1,8931.0,4862.0,2575.0,1947.0,,353.0,,62.0
comuna 01,0008,1,8798.0,5212.0,3637.0,810.0,,209.0,,40.0
comuna 01,0015,1,8507.0,5373.0,2353.0,1742.0,,410.0,,64.0
la plata,0477,2,7595.0,5341.0,2748.0,1408.0,423.0,426.0,265.0,171.0
comuna 09,0093,1,8360.0,4776.0,2836.0,1870.0,,361.0,,54.0
salliquelo,0746,2,7149.0,5546.0,2836.0,1332.0,333.0,64.0,108.0,817.0
zarate,1015,2,6867.0,5666.0,2637.0,1697.0,664.0,252.0,187.0,191.0
comuna 01,0016,1,8327.0,5187.0,2605.0,1603.0,,383.0,,40.0
lomas de zamora,0592,2,7289.0,5156.0,2924.0,1409.0,578.0,418.0,235.0,91.0
lujan,0599,2,6929.0,5413.0,2408.0,1713.0,738.0,211.0,305.0,260.0
san cayetano,0871,2,6972.0,5230.0,3043.0,932.0,956.0,62.0,66.0,411.0
comuna 02,0020,1,7739.0,4954.0,3665.0,807.0,,167.0,,56.0
general san martin,0382,2,6440.0,5354.0,2792.0,1163.0,605.0,351.0,295.0,83.0
general pinto,0354,2,6462.0,5302.0,1886.0,632.0,2064.0,177.0,156.0,322.0
tres lomas,0744,2,6445.0,5210.0,2208.0,1950.0,444.0,103.0,83.0,373.0
comuna 01,0005,1,7978.0,4808.0,1496.0,2085.0,,314.0,,59.0
san nicolas,0903,2,6555.0,4758.0,1815.0,1959.0,715.0,188.0,265.0,307.0
comuna 04,0045,1,7002.0,4780.0,2259.0,1515.0,,361.0,,53.0
