Codigo Partido;Denominacion;Lista Interna;Agrupación
3079;UNION PARA VIVIR MEJOR                                                                              ;JUNTOS POR UN CAMBIO MEJOR                                                                          ;0701
3080;UNION PARA VIVIR MEJOR                                                                              ;JUNTOS QUEREMOS CAMBIAR                                                                             ;0701
3081;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;JUVENTUD LA FUERZA DE PERITO                                                                        ;0702
3082;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;KOLINA INTEGRACION RIO GALLEGOS                                                                     ;0702
3083;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;KOLINA TRANSFORMANDO RIO GALLEGOS                                                                   ;0702
3084;UNION PARA VIVIR MEJOR                                                                              ;LA GENERACION DEL CAMBIO                                                                            ;0701
3085;UNION PARA VIVIR MEJOR                                                                              ;LAS HERAS SOMOS TODOS                                                                               ;0701
3086;UNION PARA VIVIR MEJOR                                                                              ;LEALTAD CON FE                                                                                      ;0701
3087;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;LEALTAD Y COMPROMISO                                                                                ;0702
3088;UNION PARA VIVIR MEJOR                                                                              ;MEJOR GESTION                                                                                       ;0701
3090;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;MILITANCIA SANJULIANENSE                                                                            ;0702
3093;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;NUEVA REFERENCIA                                                                                    ;0702
3094;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;PENSANDO EL FUTURO                                                                                  ;0702
3095;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;PERITO SOMOS TODOS                                                                                  ;0702
3096;UNION PARA VIVIR MEJOR                                                                              ;PODEMOS VIVIR MEJOR                                                                                 ;0701
3097;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;POR SIEMPRE SANTA CRUZ                                                                              ;0702
3098;UNION PARA VIVIR MEJOR                                                                              ;POR UN CAMBIO                                                                                       ;0701
3099;UNION PARA VIVIR MEJOR                                                                              ;POR UN DESEADO MEJOR                                                                                ;0701
3100;UNION PARA VIVIR MEJOR                                                                              ;POR UN FUTURO MEJOR                                                                                 ;0701
3101;UNION PARA VIVIR MEJOR                                                                              ;POR UN GREGORES MEJOR                                                                               ;0701
3102;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;POR UN MEJOR FUTURO                                                                                 ;0702
3103;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;PRIMERO CALAFATE                                                                                    ;0702
3104;UNION PARA VIVIR MEJOR                                                                              ;PRIMERO PERITO MORENO                                                                               ;0701
3105;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;PRIMERO PICO TRUNCADO                                                                               ;0702
3106;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;PRIMERO PIEDRABUENA                                                                                 ;0702
3107;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;PRIMERO PUERTO SANTA CRUZ                                                                           ;0702
3108;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;PRIMERO SANTA CRUZ                                                                                  ;0702
3109;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;PRIMERO SANTA CRUZ                                                                                  ;0702
3110;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;PROGRESO PARA 28                                                                                    ;0702
3111;UNION PARA VIVIR MEJOR                                                                              ;PROSPERIDAD Y DESARROLLO                                                                            ;0701
3112;UNION PARA VIVIR MEJOR                                                                              ;PROYECTAR SANTA CRUZ                                                                                ;0701
3113;UNION PARA VIVIR MEJOR                                                                              ;PROYECTO CALETA                                                                                     ;0701
3114;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;RENOVANDO ESPERANZAS                                                                                ;0702
3115;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;RIO GALLEGOS ENTRE TODOS                                                                            ;0702
3116;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;SABEMOS COMO HACERLO                                                                                ;0702
3117;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;SAN JULIAN SOMOS TODOS                                                                              ;0702
3118;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;SANTA CRUZ SOMOS TODOS                                                                              ;0702
3119;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;SIEMPRE CALETA                                                                                      ;0702
3120;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;SIEMPRE PERITO MORENO                                                                               ;0702
