Código Partido;Denominacion;Lista Interna;Agrupación
0520;CAMBIEMOS PAIS                                                                                      ;                                                                                                    ;0520
0521;CAMBIEMOS PARA EL BICENTENARIO                                                                      ;                                                                                                    ;0521
0522;CAMBIEMOS SAN JUAN                                                                                  ;                                                                                                    ;0522
0523;CAMBIEMOS RIO NEGRO                                                                                 ;                                                                                                    ;0523
0524;CAMBIEMOS TIERRA DEL FUEGO                                                                          ;                                                                                                    ;0524
0527;ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO                                                        ;                                                                                                    ;0527
0528;ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS                                                          ;                                                                                                    ;0528
0530;ESPACIO GRANDE                                                                                      ;                                                                                                    ;0530
0531;EVOLUCION                                                                                           ;                                                                                                    ;0531
0532;FRENTE AMPLIO FORMOSEÑO CAMBIEMOS                                                                   ;                                                                                                    ;0532
0534;FRENTE AVANCEMOS                                                                                    ;                                                                                                    ;0534
0535;FRENTE CAMBIEMOS                                                                                    ;                                                                                                    ;0535
0536;FRENTE CAMBIEMOS LA PAMPA                                                                           ;                                                                                                    ;0536
0537;FRENTE CHACO MERECE MAS                                                                             ;                                                                                                    ;0537
0538;FRENTE CHUBUT PARA TODOS                                                                            ;                                                                                                    ;0538
0539;FRENTE CIUDADANO PARA LA VICTORIA                                                                   ;                                                                                                    ;0539
0540;FRENTE CIUDADANO Y SOCIAL                                                                           ;                                                                                                    ;0540
0541;FRENTE CIVICO POR SANTIAGO                                                                          ;                                                                                                    ;0541
0542;FRENTE CIVICO Y SOCIAL - CAMBIEMOS                                                                  ;                                                                                                    ;0542
0543;FRENTE CORDOBA CIUDADANA                                                                            ;                                                                                                    ;0543
0544;FRENTE DE UNIDAD CIUDADANA                                                                          ;                                                                                                    ;0544
0545;FRENTE JUJEÑO CAMBIEMOS                                                                             ;                                                                                                    ;0545
0546;FRENTE JUSTICIALISTA                                                                                ;                                                                                                    ;0546
0547;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;                                                                                                    ;0547
0548;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;                                                                                                    ;0548
0549;FRENTE JUSTICIALISTA RIOJANO                                                                        ;                                                                                                    ;0549
0550;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;                                                                                                    ;0550
0551;FRENTE NEUQUINO                                                                                     ;                                                                                                    ;0551
0553;FRENTE POPULAR PARA LA LIBERACION                                                                   ;                                                                                                    ;0553
0554;FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  ;                                                                                                    ;0554
0555;FRENTE PROGRESISTA PAMPEANO                                                                         ;                                                                                                    ;0555
0556;FRENTE PROGRESISTA POPULAR                                                                          ;                                                                                                    ;0556
0557;FRENTE RENOVADOR - 1PAIS                                                                            ;                                                                                                    ;0557
0558;FRENTE RENOVADOR 1PAIS                                                                              ;                                                                                                    ;0558
0559;FRENTE RENOVADOR DE LA CONCORDIA                                                                    ;                                                                                                    ;0559
0560;FRENTE SOCIAL Y POPULAR                                                                             ;                                                                                                    ;0560
0562;SOMOS MENDOZA                                                                                       ;                                                                                                    ;0562
0563;FRENTE TIERRA DE UNION                                                                              ;                                                                                                    ;0563
0564;FRENTE TODOS                                                                                        ;                                                                                                    ;0564
0565;FRENTE UNIDAD JUSTICIALISTA SAN LUIS                                                                ;                                                                                                    ;0565
0566;FRENTE UNIDAD Y RENOVACION                                                                          ;                                                                                                    ;0566
0567;IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               ;                                                                                                    ;0567
0568;JUNTOS PODEMOS MAS                                                                                  ;                                                                                                    ;0568
0571;SOMOS CORRIENTES                                                                                    ;                                                                                                    ;0571
0572;UN NUEVO PAIS (1P)                                                                                  ;                                                                                                    ;0572
0573;UNA RIOJA                                                                                           ;                                                                                                    ;0573
0574;UNIDAD CIUDADANA                                                                                    ;                                                                                                    ;0574
0575;UNIDAD CIUDADANA PARA LA VICTORIA                                                                   ;                                                                                                    ;0575
0576;UNIDAD PORTEÑA                                                                                      ;                                                                                                    ;0576
0577;UNION PARA VIVIR MEJOR - CAMBIEMOS                                                                  ;                                                                                                    ;0577
0578;UNION POR CORDOBA                                                                                   ;                                                                                                    ;0578
0580;VAMOS JUNTOS                                                                                        ;                                                                                                    ;0580
0612;NUEVO ZARATE                                                                                        ;                                                                                                    ;0612
0673;CONSTRUC.SOCIAL PARTICIPATIVA                                                                       ;                                                                                                    ;0673
0697;ACCION POR VILLARINO                                                                                ;                                                                                                    ;0697
0705;CON VOCACION POR SAN ISIDRO                                                                         ;                                                                                                    ;0705
0737;PROPUESTA PINAMAR-PROPIN                                                                            ;                                                                                                    ;0737
0738;MERCEDES INDEPENDIENTE COMUNAL MIC                                                                  ;                                                                                                    ;0738
0751;CAS-CONCORDANCIA APERTURISTA SALTENSE                                                               ;                                                                                                    ;0751
0792;UNION VECINAL SALLIQUELO                                                                            ;                                                                                                    ;0792
0793;VECINOS SOLIDARIOS                                                                                  ;                                                                                                    ;0793
0797;ENTRE TODOS                                                                                         ;                                                                                                    ;0797
0807;GEM CATAMARCA                                                                                       ;                                                                                                    ;0807
0809;CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO)                                                      ;                                                                                                    ;0809
0811;VAMOS                                                                                               ;                                                                                                    ;0811
0812;VAMOS CREANDO CIUDAD NUEVA                                                                          ;                                                                                                    ;0812
0813;PARTIDO SOCIALISTA                                                                                  ;                                                                                                    ;0813
0814;PARTIDO RENOVADOR FEDERAL                                                                           ;                                                                                                    ;0814
0815;MAC-MISION, ACC. Y COMPROMISO                                                                       ;                                                                                                    ;0815
0819;CONS.JUARENSE PARA LA PART.CIUDADANA                                                                ;                                                                                                    ;0819
0820;PROYECTO ESCOBAR                                                                                    ;                                                                                                    ;0820
0822;COMPROMISO VECINAL LA COSTA                                                                         ;                                                                                                    ;0822
0823;UNION VECINAL MAS CAMPANA                                                                           ;                                                                                                    ;0823
0836;VALORES PARA MI PAIS NECOCHEA                                                                       ;                                                                                                    ;0836
0842;VECINALISMO EN ACCION                                                                               ;                                                                                                    ;0842
0844;BIEN COMUN POR ROSALES                                                                              ;                                                                                                    ;0844
0845;UNION VEC.DE A.GONZALES CHAVES                                                                      ;                                                                                                    ;0845
0847;POR UN NUEVO JUNIN                                                                                  ;                                                                                                    ;0847
0848;M.VEC.DEL PARTIDO DE TRES ARROYOS                                                                   ;                                                                                                    ;0848
0850;SUMEMOS PILAR                                                                                       ;                                                                                                    ;0850
0851;SIEMPRE ITUZAINGO                                                                                   ;                                                                                                    ;0851
0853;JUNTOS POR CHACOMUS                                                                                 ;                                                                                                    ;0853
0854;ACUERDO BELGRANENSE                                                                                 ;                                                                                                    ;0854
0857;CAMBIA MENDOZA                                                                                      ;                                                                                                    ;0857
0905;FRENTE UNIDAD CIUDADANA                                                                             ;                                                                                                    ;0905
0906;FENTE CAMBIA JUJUY                                                                                  ;                                                                                                    ;0906
0907;PARTIDO SAN LUIS SOMOS TODOS                                                                        ;                                                                                                    ;0907
0908;PARTIDO PROYECTO CLASE MEDIA-PROCLAME                                                               ;                                                                                                    ;0908
0909;PARTIDO UNION VECINAL PROVINCIAL                                                                    ;                                                                                                    ;0909
9001;ELECTORES                                                                                           ;                                                                                                    ;9001
9002;VOTANTES                                                                                            ;                                                                                                    ;9002
9003;VOTOS IMPUGNADOS                                                                                    ;                                                                                                    ;9003
9004;VOTOS BLANCOS                                                                                       ;                                                                                                    ;9004
9005;VOTOS NULOS                                                                                         ;                                                                                                    ;9005
9006;VOTOS RECURRIDOS                                                                                    ;                                                                                                    ;9006
