Código Partido;Denominacion;Lista Interna;Agrupación
0501;FRENTE PARA LA VICTORIA                                                                             ;                                                                                                    ;0501
0502;CAMBIEMOS                                                                                           ;                                                                                                    ;0502
0503;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;                                                                                                    ;0503
0504;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - PARTIDO OBRERO + IZQUIERDA POR UNA OPCION SOCIALISTA    ;                                                                                                    ;0504
0505;FRENTE DE LA VICTORIA                                                                               ;                                                                                                    ;0505
0510;1 PROYECTO SANTAFESINO                                                                              ;                                                                                                    ;0510
0511;1PAIS                                                                                               ;                                                                                                    ;0511
0512;1 PAIS - SOMOS SAN JUAN                                                                             ;                                                                                                    ;0512
0513;1PAIS FRENTE RENOVADOR NEUQUEN +A                                                                   ;                                                                                                    ;0513
0514;ALTERNATIVA POPULAR RIOJANA                                                                         ;                                                                                                    ;0514
0515;AVANCEMOS HACIA 1PAIS MEJOR                                                                         ;                                                                                                    ;0515
0516;AVANZAR Y CAMBIEMOS POR SAN LUIS                                                                    ;                                                                                                    ;0516
0517;CAMBIEMOS - FUERZA CIVICA RIOJANA                                                                   ;                                                                                                    ;0517
0518;CAMBIEMOS BUENOS AIRES                                                                              ;                                                                                                    ;0518
0519;CAMBIEMOS CHUBUT                                                                                    ;                                                                                                    ;0519
0520;CAMBIEMOS PAIS                                                                                      ;                                                                                                    ;0520
0521;CAMBIEMOS PARA EL BICENTENARIO                                                                      ;                                                                                                    ;0521
0522;CAMBIEMOS POR SAN JUAN                                                                              ;                                                                                                    ;0522
0523;CAMBIEMOS RIO NEGRO                                                                                 ;                                                                                                    ;0523
0524;CAMBIEMOS TIERRA DEL FUEGO                                                                          ;                                                                                                    ;0524
0525;CONVOCATORIA ABIERTA POR BUENOS AIRES                                                               ;                                                                                                    ;0525
0526;CREO                                                                                                ;                                                                                                    ;0526
0527;ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO                                                        ;                                                                                                    ;0527
0528;ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS                                                          ;                                                                                                    ;0528
0529;ENCUENTRO POR MENDOZA                                                                               ;                                                                                                    ;0529
0530;ESPACIO GRANDE                                                                                      ;                                                                                                    ;0530
0531;EVOLUCION                                                                                           ;                                                                                                    ;0531
0532;FRENTE AMPLIO FORMOSEÑO CAMBIEMOS                                                                   ;                                                                                                    ;0532
0533;FRENTE AMPLIO TUCUMANO                                                                              ;                                                                                                    ;0533
0534;FRENTE AVANCEMOS                                                                                    ;                                                                                                    ;0534
0535;FRENTE CAMBIEMOS                                                                                    ;                                                                                                    ;0535
0536;FRENTE CAMBIEMOS LA PAMPA                                                                           ;                                                                                                    ;0536
0537;FRENTE CHACO MERECE MAS                                                                             ;                                                                                                    ;0537
0538;FRENTE CHUBUT PARA TODOS                                                                            ;                                                                                                    ;0538
0539;FRENTE CIUDADANO PARA LA VICTORIA                                                                   ;                                                                                                    ;0539
0540;FRENTE CIUDADANO Y SOCIAL                                                                           ;                                                                                                    ;0540
0541;FRENTE CIVICO POR SANTIAGO                                                                          ;                                                                                                    ;0541
0542;FRENTE CIVICO Y SOCIAL - CAMBIEMOS                                                                  ;                                                                                                    ;0542
0543;FRENTE CORDOBA CIUDADANA                                                                            ;                                                                                                    ;0543
0544;FRENTE DE UNIDAD CIUDADANA                                                                          ;                                                                                                    ;0544
0545;FRENTE JUJEÑO CAMBIEMOS                                                                             ;                                                                                                    ;0545
0546;FRENTE JUSTICIALISTA                                                                                ;                                                                                                    ;0546
0547;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;                                                                                                    ;0547
0548;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;                                                                                                    ;0548
0549;FRENTE JUSTICIALISTA RIOJANO                                                                        ;                                                                                                    ;0549
0550;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;                                                                                                    ;0550
0551;FRENTE NEUQUINO                                                                                     ;                                                                                                    ;0551
