Código Partido;Denominacion;Lista Interna;Agrupación
3120;DEL CAMPO POPULAR                                                                                   ;CREO EN SANTA FE                                                                                    ;0259
3121;DEL CAMPO POPULAR                                                                                   ;FRENTE DE LOS JUBILADOS                                                                             ;0259
3122;DEL CAMPO POPULAR                                                                                   ;INDEPENDENCIA                                                                                       ;0259
3123;DEL CAMPO POPULAR                                                                                   ;JUNTOS ES POSIBLE                                                                                   ;0259
3124;DEL CAMPO POPULAR                                                                                   ;LIBERTAD                                                                                            ;0259
3125;DEL CAMPO POPULAR                                                                                   ;MAS RENOVADOR                                                                                       ;0259
3126;DEL CAMPO POPULAR                                                                                   ;POR LA DECADA GANADA                                                                                ;0259
3127;DEL CAMPO POPULAR                                                                                   ;PROYECTO JOVEN                                                                                      ;0259
3128;DEL CAMPO POPULAR                                                                                   ;SEGURIDAD                                                                                           ;0259
3129;EL MOVIMIENTO                                                                                       ;NUEVA DEMOCRACIA                                                                                    ;0262
3130;EL MOVIMIENTO                                                                                       ;ORDEN Y JUSTICIA                                                                                    ;0262
3131;EL MOVIMIENTO                                                                                       ;RENOVACION REPUBLICANA                                                                              ;0262
3132;EL MOVIMIENTO                                                                                       ;SEGURIDAD Y TRANSPARENCIA                                                                           ;0262
3133;EL MOVIMIENTO                                                                                       ;SER                                                                                                 ;0262
3134;MOVIMIENTO AMPLIO DE TRABAJADORES Y JUBILADOS                                                       ;UNIDAD 1                                                                                            ;0268
3135;TODOS POR BUENOS AIRES                                                                              ;TOBA                                                                                                ;0298
3136;PATRIA GRANDE                                                                                       ;VAMOS                                                                                               ;0301
3137;MOVIMIENTO ORGANIZACION DEMOCRATICA                                                                 ;COMPROMISO CIUDADANO                                                                                ;0309
3138;BANDERA VECINAL                                                                                     ;LEALTAD                                                                                             ;0327
3139;FRENTE PARA LA VICTORIA                                                                             ;BLANCA Y CELESTE                                                                                    ;0501
3140;FRENTE PARA LA VICTORIA                                                                             ;FEDERACION PERONISTA                                                                                ;0501
3141;FRENTE PARA LA VICTORIA                                                                             ;MOVIMIENTO JUSTICIA SOCIAL                                                                          ;0501
3142;FRENTE PARA LA VICTORIA                                                                             ;PRIMERO CHUBUT                                                                                      ;0501
3143;FRENTE PARA LA VICTORIA                                                                             ;SOMOS SANTA CRUZ                                                                                    ;0501
3144;FRENTE PARA LA VICTORIA                                                                             ;UNIDAD CELESTE Y BLANCA                                                                             ;0501
3145;FRENTE PARA LA VICTORIA                                                                             ;UNIDAD CIUDADANA ES NUESTRO                                                                         ;0501
3146;FRENTE PARA LA VICTORIA                                                                             ;UNIDAD PERONISTA POR LA PRODUCCION Y EL TRABAJO                                                     ;0501
3147;FRENTE PARA LA VICTORIA                                                                             ;UNIDOS POR SANTA CRUZ                                                                               ;0501
3148;CAMBIEMOS                                                                                           ;AYUDANOS A CAMBIAR                                                                                  ;0502
3149;CAMBIEMOS                                                                                           ;CAMBIANDO JUNTOS                                                                                    ;0502
3150;CAMBIEMOS                                                                                           ;PARA LA DEMOCRACIA SOCIAL                                                                           ;0502
3151;CAMBIEMOS                                                                                           ;DIGNIDAD PARTIDARIA                                                                                 ;0502
3152;CAMBIEMOS                                                                                           ;ENCUENTRO CIVICO                                                                                    ;0502
3153;CAMBIEMOS                                                                                           ;EQUIPO DE GOBIERNO                                                                                  ;0502
3154;CAMBIEMOS                                                                                           ;POR VOS                                                                                             ;0502
3155;CAMBIEMOS                                                                                           ;RENOVACION                                                                                          ;0502
3156;CAMBIEMOS                                                                                           ;VAMOS JUNTOS                                                                                        ;0502
3157;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;1 A                                                                                                 ;0503
3158;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;1 ROJA                                                                                              ;0503
3159;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;A ROJA                                                                                              ;0503
3160;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;ROJA                                                                                                ;0503
3161;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;LISTA 1                                                                                             ;0503
3162;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - PARTIDO OBRERO + IZQUIERDA POR UNA OPCION SOCIALISTA    ;1 ROJA                                                                                              ;0504
3163;FRENTE DE LA VICTORIA                                                                               ;CELESTE, BLANCA Y AZUL                                                                              ;0505
3164;1 PROYECTO SANTAFESINO                                                                              ;RENOVANDO SANTA FE                                                                                  ;0510
3165;1PAIS                                                                                               ;UN PAIS UNIDO HOY Y SIEMPRE                                                                         ;0511
3166;1 PAIS - SOMOS SAN JUAN                                                                             ;1 PROVINCIA                                                                                         ;0512
3167;1PAIS FRENTE RENOVADOR NEUQUEN +A                                                                   ;UNA CIUDAD UNA PROVINCIA UN PAIS                                                                    ;0513
3168;ALTERNATIVA POPULAR RIOJANA                                                                         ;CIUDADANOS POR LA VICTORIA                                                                          ;0514
3169;AVANCEMOS HACIA 1PAIS MEJOR                                                                         ;1PAIS                                                                                               ;0515
3170;AVANZAR Y CAMBIEMOS POR SAN LUIS                                                                    ;MOVIMIENTO RECUPERACION Y CAMBIO                                                                    ;0516
3171;AVANZAR Y CAMBIEMOS POR SAN LUIS                                                                    ;UNIDAD Y CONSENSO POR SAN LUIS                                                                      ;0516
3172;CAMBIEMOS - FUERZA CIVICA RIOJANA                                                                   ;CAMBIA LA RIOJA                                                                                     ;0517
3173;CAMBIEMOS BUENOS AIRES                                                                              ;CAMBIANDO JUNTOS                                                                                    ;0518
3174;CAMBIEMOS CHUBUT                                                                                    ;CAMBIANDO JUNTOS                                                                                    ;0519
3175;CAMBIEMOS PAIS                                                                                      ;CAMBIEMOS JUNTOS                                                                                    ;0520
3176;CAMBIEMOS PAIS                                                                                      ;EVOLUCION CIUDADANA                                                                                 ;0520
3177;CAMBIEMOS PARA EL BICENTENARIO                                                                      ;CAMBIANDO JUNTOS                                                                                    ;0521
3178;CAMBIEMOS POR SAN JUAN                                                                              ;CAMBIANDO JUNTOS                                                                                    ;0522
3179;CAMBIEMOS POR SAN JUAN                                                                              ;RENOVACION                                                                                          ;0522
3180;CAMBIEMOS RIO NEGRO                                                                                 ;UNIDAD AMARILLA ROJA Y BLANCA                                                                       ;0523
3181;CAMBIEMOS TIERRA DEL FUEGO                                                                          ;HACIENDO LO QUE HAY QUE HACER                                                                       ;0524
3182;CONVOCATORIA ABIERTA POR BUENOS AIRES                                                               ;LA DIGNIDAD - IP                                                                                    ;0525
3183;CONVOCATORIA ABIERTA POR BUENOS AIRES                                                               ;POPULAR Y SOCIALISTAS                                                                               ;0525
3184;CREO                                                                                                ;CONVICCIONES                                                                                        ;0526
3185;ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO                                                        ;MEMORIA, VERDAD Y JUSTICIA                                                                          ;0527
3186;ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS                                                          ;VERDE                                                                                               ;0528
3187;ENCUENTRO POR MENDOZA                                                                               ;AZUL Y BLANCA                                                                                       ;0529
3188;ESPACIO GRANDE                                                                                      ;CIUDADANOS EN RED                                                                                   ;0530
3189;ESPACIO GRANDE                                                                                      ;CON FE ES POSIBLE                                                                                   ;0530
3190;ESPACIO GRANDE                                                                                      ;SANTA FE PUEDE                                                                                      ;0530
3191;ESPACIO GRANDE                                                                                      ;EL PUEBLO VUELVE                                                                                    ;0530
3192;ESPACIO GRANDE                                                                                      ;FORZA SANTA FE                                                                                      ;0530
3193;ESPACIO GRANDE                                                                                      ;FRENTE IGUALDAD ANIMAL                                                                              ;0530
3194;ESPACIO GRANDE                                                                                      ;LA HORA DEL PUEBLO                                                                                  ;0530
3195;ESPACIO GRANDE                                                                                      ;NI UNA -                                                                                            ;0530
3196;ESPACIO GRANDE                                                                                      ;NUEVA PROVINCIA                                                                                     ;0530
3197;ESPACIO GRANDE                                                                                      ;POR LOS POBRES                                                                                      ;0530
3198;ESPACIO GRANDE                                                                                      ;UNIDOS POR LA LIBERTAD                                                                              ;0530
3199;ESPACIO GRANDE                                                                                      ;VAMOS POR MAS                                                                                       ;0530
3200;EVOLUCION                                                                                           ;SUMA +                                                                                              ;0531
3201;FRENTE AMPLIO FORMOSEÑO CAMBIEMOS                                                                   ;VAMOS JUNTOS                                                                                        ;0532
3202;FRENTE AMPLIO TUCUMANO                                                                              ;UNIDAD                                                                                              ;0533
3203;FRENTE AVANCEMOS                                                                                    ;1PROVINCIA                                                                                          ;0534
3204;FRENTE CAMBIEMOS                                                                                    ;CAMBIANDO JUNTOS                                                                                    ;0535
3205;FRENTE CAMBIEMOS LA PAMPA                                                                           ;CAMBIAR LA PAMPA                                                                                    ;0536
3206;FRENTE CAMBIEMOS LA PAMPA                                                                           ;JUNTOS POR LA PAMPA                                                                                 ;0536
3207;FRENTE CAMBIEMOS LA PAMPA                                                                           ;RENOVACION Y CAMBIO                                                                                 ;0536
3208;FRENTE CHACO MERECE MAS                                                                             ;CORRIENTE PROVINCIAL KIRCHNERISTA                                                                   ;0537
3209;FRENTE CHACO MERECE MAS                                                                             ;HONESTIDAD, TRABAJO Y JUSTICIA SOCIAL                                                               ;0537
3210;FRENTE CHACO MERECE MAS                                                                             ;LA DOS                                                                                              ;0537
3211;FRENTE CHACO MERECE MAS                                                                             ;LA MARIA EVA                                                                                        ;0537
3212;FRENTE CHACO MERECE MAS                                                                             ;SOCIALISTAS UNIDOS                                                                                  ;0537
3213;FRENTE CHACO MERECE MAS                                                                             ;TRES BANDERAS                                                                                       ;0537
3214;FRENTE CHUBUT PARA TODOS                                                                            ;POR SIEMPRE CHUBUT                                                                                  ;0538
3215;FRENTE CIUDADANO PARA LA VICTORIA                                                                   ;UNIDAD CIUDADANA PARA  LA VICTORIA                                                                  ;0539
3216;FRENTE CIUDADANO Y SOCIAL                                                                           ;INTEGRACION Y PARTICIPACION                                                                         ;0540
3217;FRENTE CIVICO POR SANTIAGO                                                                          ;TODOS POR SANTIAGO                                                                                  ;0541
3218;FRENTE CIVICO Y SOCIAL - CAMBIEMOS                                                                  ;CAMBIEMOS JUNTOS                                                                                    ;0542
3219;FRENTE CIVICO Y SOCIAL - CAMBIEMOS                                                                  ;JUNTOS POR EL CAMBIO                                                                                ;0542
3220;FRENTE CORDOBA CIUDADANA                                                                            ;UNIDAD                                                                                              ;0543
3221;FRENTE DE UNIDAD CIUDADANA                                                                          ;CATAMARCA CIUDADANA                                                                                 ;0544
3222;FRENTE JUJEÑO CAMBIEMOS                                                                             ;CAMBIANDO JUNTOS                                                                                    ;0545
3223;FRENTE JUSTICIALISTA                                                                                ;AZUL HONESTIDAD                                                                                     ;0546
3224;FRENTE JUSTICIALISTA                                                                                ;CELESTE Y BLANCO DE LOS TRABAJADORES                                                                ;0546
3225;FRENTE JUSTICIALISTA                                                                                ;COMPROMISO POR SANTA FE                                                                             ;0546
3226;FRENTE JUSTICIALISTA                                                                                ;CUMPLIR                                                                                             ;0546
3227;FRENTE JUSTICIALISTA                                                                                ;EL PERONISMO VUELVE                                                                                 ;0546
3228;FRENTE JUSTICIALISTA                                                                                ;JUJUY AVANZA                                                                                        ;0546
3230;FRENTE JUSTICIALISTA                                                                                ;NUEVO ESPACIO SANTAFESINO                                                                           ;0546
3231;FRENTE JUSTICIALISTA                                                                                ;POR JUJUY                                                                                           ;0546
3232;FRENTE JUSTICIALISTA                                                                                ;SI POR LA IGUALDAD                                                                                  ;0546
3233;FRENTE JUSTICIALISTA                                                                                ;UNIDAD CIUDADANA                                                                                    ;0546
3234;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;AZUL Y BLANCA                                                                                       ;0547
3235;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;MUP - AMARILLA                                                                                      ;0548
3236;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;PERONISMO NACION - AZUL                                                                             ;0548
3237;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;CELESTE Y BLANCA                                                                                    ;0548
3238;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;AGRUPACION POLITICA SINDICAL - GRIS                                                                 ;0548
3239;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;RENOVACION CON MASSA - LILA                                                                         ;0548
3240;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;UNIDAD CIUDADANA - MAGENTA                                                                          ;0548
3241;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;NARANJA                                                                                             ;0548
3242;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;FEDERALISMO Y CRECIMIENTO - ROSA                                                                    ;0548
3243;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;EL PERONISMO VUELVE - VERDE                                                                         ;0548
3244;FRENTE JUSTICIALISTA RIOJANO                                                                        ;RIOJA FEDERAL                                                                                       ;0549
3245;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;CELESTE POR LOS TRABAJADORES                                                                        ;0550
3246;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;FUERZA NUEVA                                                                                        ;0550
3247;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;JUSTICIA Y DIGNIDAD PERONISTA                                                                       ;0550
3248;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;LA PATRIA ES EL OTRO                                                                                ;0550
3249;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;LIBRES PENSADORES                                                                                   ;0550
3250;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;POR LA PRODUCCION, EL TRABAJO Y LA JUSTICIA SOCIAL                                                  ;0550
3251;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;SENTIMIENTO FEDERAL                                                                                 ;0550
3252;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;SOMOS ENTRE RIOS                                                                                    ;0550
3253;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;UNION CIUDADANA                                                                                     ;0550
3254;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;VIVA PERON!! - VIVA ENTRE RIOS!!                                                                    ;0550
3255;FRENTE NEUQUINO                                                                                     ;A                                                                                                   ;0551
3256;FRENTE PATRIOTA BANDERA VECINAL                                                                     ;CONDUCCION                                                                                          ;0552
3257;FRENTE PATRIOTA BANDERA VECINAL                                                                     ;ESPERANZA                                                                                           ;0552
3258;FRENTE PATRIOTA BANDERA VECINAL                                                                     ;ORDEN  Y SEGURIDAD                                                                                  ;0552
3259;FRENTE PATRIOTA BANDERA VECINAL                                                                     ;PIONEROS                                                                                            ;0552
3260;FRENTE PATRIOTA BANDERA VECINAL                                                                     ;SOBERANIA                                                                                           ;0552
3261;FRENTE PATRIOTA BANDERA VECINAL                                                                     ;SOLIDARIDAD                                                                                         ;0552
3262;FRENTE POPULAR PARA LA LIBERACION                                                                   ;FRENTE POPULAR PARA LA LIBERACION                                                                   ;0553
3263;FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  ;ADELANTE                                                                                            ;0554
3264;FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  ;SUMEMOS POR SANTA FE                                                                                ;0554
3265;FRENTE PROGRESISTA PAMPEANO                                                                         ;ES EL MOMENTO                                                                                       ;0555
3266;FRENTE PROGRESISTA PAMPEANO                                                                         ;MAS PARA LA GENTE                                                                                   ;0555
3267;FRENTE PROGRESISTA POPULAR                                                                          ;PARTICIPACION                                                                                       ;0556
3268;FRENTE RENOVADOR - 1PAIS                                                                            ;LIBRES                                                                                              ;0557
3269;FRENTE RENOVADOR - 1PAIS                                                                            ;RENOVEMOS CORRIENTES                                                                                ;0557
3270;FRENTE RENOVADOR - 1PAIS                                                                            ;VAMOS PUEBLO CORRENTINO                                                                             ;0557
3271;FRENTE RENOVADOR 1PAIS                                                                              ;RENOVACION                                                                                          ;0558
3272;FRENTE RENOVADOR 1PAIS                                                                              ;RENOVEMOS JUJUY                                                                                     ;0558
3273;FRENTE RENOVADOR 1PAIS                                                                              ;UN PAIS UNIDO HOY Y SIEMPRE                                                                         ;0558
3274;FRENTE RENOVADOR 1PAIS                                                                              ;UNA JUJUY                                                                                           ;0558
3275;FRENTE RENOVADOR DE LA CONCORDIA                                                                    ;ROJA, AZUL Y BLANCA                                                                                 ;0559
3276;FRENTE SOCIAL Y POPULAR                                                                             ;UNIDAD SOCIAL Y POPULAR                                                                             ;0560
3277;PARTIDO SOCIALISTA                                                                                  ;FRENTE SOCIALISTA Y POPULAR                                                                         ;0813
3278;FRENTE SOMOS MENDOZA                                                                                ;CONSTRUYENDO                                                                                        ;0562
3279;FRENTE SOMOS MENDOZA                                                                                ;NUEVA CONDUCCION                                                                                    ;0562
3280;FRENTE SOMOS MENDOZA                                                                                ;UNIDAD CIUDADANA PARA TENER FUTURO                                                                  ;0562
3281;FRENTE TIERRA DE UNION                                                                              ;CELESTE Y BLANCA                                                                                    ;0563
3282;FRENTE TODOS                                                                                        ;SAN JUAN PRIMERO                                                                                    ;0564
3283;FRENTE UNIDAD JUSTICIALISTA SAN LUIS                                                                ;EL CAMBIO CONTINUA                                                                                  ;0565
3284;FRENTE UNIDAD Y RENOVACION                                                                          ;COMPROMISO                                                                                          ;0566
3285;FRENTE UNIDAD Y RENOVACION                                                                          ;CONSENSO Y LEALTAD PROVINCIAL                                                                       ;0566
3286;FRENTE UNIDAD Y RENOVACION                                                                          ;CONSTRUIMOS                                                                                         ;0566
3287;FRENTE UNIDAD Y RENOVACION                                                                          ;DESARROLLO Y TRABAJO                                                                                ;0566
3288;FRENTE UNIDAD Y RENOVACION                                                                          ;HACIA UN FUTURO MEJOR                                                                               ;0566
3289;FRENTE UNIDAD Y RENOVACION                                                                          ;NUEVA EXPRESION JUSTICIALISTA                                                                       ;0566
3290;IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               ;1 UNIDAD DE LA IZQUIERDA                                                                            ;0567
3291;IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               ;UNIDAD                                                                                              ;0567
3292;IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               ;UNIDAD DE LA  IZQUIERDA                                                                             ;0567
3293;JUNTOS PODEMOS MAS                                                                                  ;CELESTE Y BLANCA                                                                                    ;0568
3294;JUNTOS PODEMOS MAS                                                                                  ;COMPROMISO CIUDADANO                                                                                ;0568
3295;JUNTOS PODEMOS MAS                                                                                  ;CRECER JUNTOS                                                                                       ;0568
3296;JUNTOS PODEMOS MAS                                                                                  ;LA DOCTRINA                                                                                         ;0568
3297;JUNTOS PODEMOS MAS                                                                                  ;VOLVER A CREER                                                                                      ;0568
3298;JUNTOS SOMOS RIO NEGRO                                                                              ;VERDE ORGULLO RIONEGRINO                                                                            ;0569
3299;SOMOS                                                                                               ;COMPROMISO                                                                                          ;0570
3300;SOMOS CORRIENTES                                                                                    ;LA 51                                                                                               ;0571
3301;SOMOS CORRIENTES                                                                                    ;LA 52                                                                                               ;0571
3302;UN NUEVO PAIS (1P)                                                                                  ;UNIDAD                                                                                              ;0572
3303;UNA RIOJA                                                                                           ;UNIDAD                                                                                              ;0573
3304;UNIDAD CIUDADANA                                                                                    ;CELESTE Y BLANCA U                                                                                  ;0574
3305;UNIDAD CIUDADANA                                                                                    ;PROYECTO NACIONAL Y POPULAR - K                                                                     ;0574
3306;UNIDAD CIUDADANA PARA LA VICTORIA                                                                   ;CELESTE Y BLANCA                                                                                    ;0575
3307;UNIDAD PORTEÑA                                                                                      ;AHORA BUENOS AIRES                                                                                  ;0576
3308;UNIDAD PORTEÑA                                                                                      ;HONESTIDAD Y CORAJE                                                                                 ;0576
3309;UNIDAD PORTEÑA                                                                                      ;UNIDAD CIUDADANA                                                                                    ;0576
3310;UNION PARA VIVIR MEJOR - CAMBIEMOS                                                                  ;EL CAMINO DEL CAMBIO                                                                                ;0577
3311;UNION PARA VIVIR MEJOR - CAMBIEMOS                                                                  ;INTEGRACION CIUDADANA                                                                               ;0577
3312;UNION PARA VIVIR MEJOR - CAMBIEMOS                                                                  ;JUNTOS POR UN CAMBIO                                                                                ;0577
3313;UNION POR CORDOBA                                                                                   ;MOVIMIENTO DE UNIDAD PERONISTA                                                                      ;0578
3314;UNIR TDF                                                                                            ;CELESTE                                                                                             ;0579
3315;VAMOS JUNTOS                                                                                        ;AHORA ESTAMOS                                                                                       ;0580
3316;VAMOS JUNTOS                                                                                        ;JUNTOS POR VOS                                                                                      ;0580
3317;VAMOS JUNTOS                                                                                        ;NUEVO AMANECER                                                                                      ;0580
3318;VAMOS JUNTOS                                                                                        ;SIGAMOS CON EL CAMBIO                                                                               ;0580
3319;VAMOS JUNTOS                                                                                        ;UNIDOS POR LA FE                                                                                    ;0580
3330;ACCION CIUDADANA                                                                                    ;DRAGON                                                                                              ;0178
3332;NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 ;NACIONALISTA CONSTITUCIONAL                                                                         ;0033
3333;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;KIRCHNERISMO PARA TODOS                                                                             ;0547
3334;GEM CATAMARCA                                                                                       ;GEM CATAMARCA                                                                                       ;0807
3335;PATRIA GRANDE                                                                                       ;FUERZA DE LA GENTE                                                                                  ;0301
3336;NUEVA IZQUIERDA                                                                                     ;UNIDAD                                                                                              ;0186
3337;1PAIS                                                                                               ;GENTE PROGRESISTA                                                                                   ;0511
3338;1PAIS                                                                                               ;NACE UN PAIS                                                                                        ;0511
3340;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;0547
3341;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;AZUL Y BLANCA - A1                                                                                  ;0547
3342;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;AZUL Y BLANCA - A2                                                                                  ;0547
3343;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;AZUL Y BLANCA - A3                                                                                  ;0547
3344;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;AZUL Y BLANCA - A4                                                                                  ;0547
3345;FRENTE CIVICO Y SOCIAL - CAMBIEMOS                                                                  ;CAMBIEMOS JUNTOS - A1                                                                               ;0542
3346;FRENTE CIVICO Y SOCIAL - CAMBIEMOS                                                                  ;CAMBIEMOS JUNTOS - A2                                                                               ;0542
3347;GEM CATAMARCA                                                                                       ;GEM CATAMARCA - A1                                                                                  ;0807
3348;GEM CATAMARCA                                                                                       ;GEM CATAMARCA - A2                                                                                  ;0807
3349;FRENTE SOCIALISTA Y POPULAR                                                                         ;LISTA A                                                                                             ;0561
3350;UNIDAD CIUDADANA                                                                                    ;CELESTE Y BLANCA U2                                                                                 ;0574
3351;UNIDAD CIUDADANA                                                                                    ;CELESTE Y BLANCA U4                                                                                 ;0574
3352;ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO                                                        ;POR TIERRA TECHO Y TRABAJO                                                                          ;0527
3353;PARTIDO RENOVADOR FEDERAL                                                                           ;CONVICCIONES                                                                                        ;0814
3354;CAMBIEMOS BUENOS AIRES                                                                              ;1A AMARILLO                                                                                         ;0518
3355;FRENTE JUSTICIALISTA                                                                                ;CUMPLIR 2                                                                                           ;0546
3356;FRENTE UNION FEDERAL                                                                                ;AUTOCTONO                                                                                           ;0810
3357;FRENTE UNION FEDERAL                                                                                ;DIGNIDAD POPULAR                                                                                    ;0810
3358;FRENTE UNION FEDERAL                                                                                ;FRENTE UNION FEDERAL                                                                                ;0810
3359;FRENTE UNION FEDERAL                                                                                ;LABORISTA                                                                                           ;0810
3360;FRENTE UNION FEDERAL                                                                                ;POPULAR                                                                                             ;0810
3361;FRENTE UNION FEDERAL                                                                                ;RENOVACION FEDERAL                                                                                  ;0810
3362;FRENTE UNION FEDERAL                                                                                ;TRES BANDERAS                                                                                       ;0810
3363;FRENTE UNION FEDERAL                                                                                ;CONCERTACION FEDERAL UNITE                                                                          ;0810
3365;UNIDAD CIUDADANA                                                                                    ;LISTA 31                                                                                            ;0574
3366;FRENTE JUSTICIALISTA                                                                                ;CUMPLIR 4                                                                                           ;0546
3367;SUR EN MARCHA                                                                                       ;UNIDAD                                                                                              ;0806
3368;MAC-MISION, ACC. Y COMPROMISO                                                                       ;UNIDAD                                                                                              ;0815
3369;VECINOS SOLIDARIOS DE ALTE. BROWN                                                                   ;SOLIDARIDAD                                                                                         ;0816
3370;CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO)                                                      ;UN PAIS PRESENTE CON FUTURO                                                                         ;0809
3371;PARTIDO SOCIALISTA                                                                                  ;IGUALDAD Y SOLIDARIDAD                                                                              ;0813
3372;PARTIDO SOCIALISTA                                                                                  ;SOCIALISMO BROWN                                                                                    ;0813
3373;PARTIDO SOCIALISTA                                                                                  ;SOCIALISMO                                                                                          ;0813
3374;FRENTE JUSTICIALISTA                                                                                ;LEALTAD Y DIGNIDAD 14                                                                               ;0546
3375;FRENTE UNION FEDERAL                                                                                ;PRIMERA DAMA DEL PUEBLO                                                                             ;0810
3376;FRENTE UNION FEDERAL                                                                                ;FRENTE DE UNIDAD NACIENTE                                                                           ;0810
3377;CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO)                                                      ;UN CAMBIO REAL                                                                                      ;0809
3378;VAMOS CREANDO CIUDAD NUEVA                                                                          ;FUERZA COLECTIVA                                                                                    ;0812
3379;FRENTE JUSTICIALISTA                                                                                ;LEALTAD Y DIGNIDAD 12                                                                               ;0546
3380;UVEP-U. VECINALISTA PLATENSE                                                                        ;LATINOAMERICANA                                                                                     ;0817
3381;UNIDAD CIUDADANA                                                                                    ;LISTA 33                                                                                            ;0574
3383;P.O.T.-POR OLAVARRIA TODOS                                                                          ;POR OLAVARRIA TODOS                                                                                 ;0828
3384;NAC-NUEVA ALTERNATIVA CARMEÑA                                                                       ;VAMOS POR MAS                                                                                       ;0484
3385;CAMBIEMOS BUENOS AIRES                                                                              ;2A AMARILLO                                                                                         ;0518
3386;CAMBIEMOS BUENOS AIRES                                                                              ;4A FUCSIA                                                                                           ;0518
3387;DEFENSA COMUNAL DE E.DE LA CRUZ                                                                     ;SIEMPRE JUNTOS                                                                                      ;0110
3388;UNIDAD CIUDADANA                                                                                    ;LISTA 35                                                                                            ;0574
3389;VALORES PARA MI PAIS                                                                                ;VALORES PARA MI PAIS                                                                                ;0840
3390;NUEVO PERGAMINO                                                                                     ;NUEVO PERGAMINO                                                                                     ;0843
3391;CAMBIEMOS BUENOS AIRES                                                                              ;3A ROJO                                                                                             ;0518
3392;CAS-CONCORDANCIA APERTURISTA SALTENSE                                                               ;AZUL                                                                                                ;0751
3393;UNIDAD CIUDADANA                                                                                    ;CELESTE Y BLANCA U6                                                                                 ;0574
3394;NUEVO ZARATE                                                                                        ;NUEVO ZARATE                                                                                        ;0612
3395;ENTRE TODOS                                                                                         ;LISTA 1                                                                                             ;0797
3396;IVR-INT.VECINALISTA ROSALEÑA                                                                        ;BLANCA                                                                                              ;0382
3397;BIEN COMUN POR ROSALES                                                                              ;UNICA                                                                                               ;0844
3398;CONSTRUC.SOCIAL PARTICIPATIVA                                                                       ;CON.SO.PA                                                                                           ;0673
3399;UNION VEC.DE A.GONZALES CHAVES                                                                      ;UNICA                                                                                               ;0845
3400;UNION VECINAL DE GUAMINI                                                                            ;BLANCA RENACER VECINAL                                                                              ;0319
3401;CONS.JUARENSE PARA LA PART.CIUDADANA                                                                ;CONSTRUCCION JUARENSE                                                                               ;0819
3402;PARTIDO SOCIALISTA                                                                                  ;JUSTICIA E IGUALDAD                                                                                 ;0813
3403;JUNIN BICENTENARIO                                                                                  ;JUNIN BICENTENARIO                                                                                  ;0827
3404;POR UN NUEVO JUNIN                                                                                  ;POR UN NUEVO JUNIN                                                                                  ;0847
