CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
09;001;0001 ;0001; ;9001;352
09;001;0001 ;0001; ;9002;263
09;001;0001 ;0001; ;9003;000
09;001;0001 ;0001; ;9004;003
09;001;0001 ;0001; ;9005;002
09;001;0001 ;0001; ;9006;000
09;001;0001 ;0001; ;3019;001
09;001;0001 ;0001; ;3033;005
09;001;0001 ;0001; ;3099;004
09;001;0001 ;0001; ;3106;000
09;001;0001 ;0001; ;3110;006
09;001;0001 ;0001; ;3163;113
09;001;0001 ;0001; ;3201;129
09;001;0001 ;0002; ;9001;344
09;001;0001 ;0002; ;9002;234
09;001;0001 ;0002; ;9003;000
09;001;0001 ;0002; ;9004;009
09;001;0001 ;0002; ;9005;004
09;001;0001 ;0002; ;9006;000
09;001;0001 ;0002; ;3019;003
09;001;0001 ;0002; ;3033;001
09;001;0001 ;0002; ;3099;006
09;001;0001 ;0002; ;3106;000
09;001;0001 ;0002; ;3110;010
09;001;0001 ;0002; ;3163;086
09;001;0001 ;0002; ;3201;115
09;001;0001 ;0003; ;9001;347
09;001;0001 ;0003; ;9002;244
09;001;0001 ;0003; ;9003;000
09;001;0001 ;0003; ;9004;004
09;001;0001 ;0003; ;9005;002
09;001;0001 ;0003; ;9006;000
09;001;0001 ;0003; ;3019;004
09;001;0001 ;0003; ;3033;001
09;001;0001 ;0003; ;3099;003
09;001;0001 ;0003; ;3106;000
09;001;0001 ;0003; ;3110;002
09;001;0001 ;0003; ;3163;091
09;001;0001 ;0003; ;3201;137
09;001;0001 ;0004; ;9001;345
09;001;0001 ;0004; ;9002;236
09;001;0001 ;0004; ;9003;000
09;001;0001 ;0004; ;9004;000
09;001;0001 ;0004; ;9005;002
09;001;0001 ;0004; ;9006;000
09;001;0001 ;0004; ;3019;004
09;001;0001 ;0004; ;3033;001
09;001;0001 ;0004; ;3099;009
09;001;0001 ;0004; ;3106;000
09;001;0001 ;0004; ;3110;005
09;001;0001 ;0004; ;3163;096
09;001;0001 ;0004; ;3201;119
09;001;0001 ;0005; ;9001;344
09;001;0001 ;0005; ;9002;236
09;001;0001 ;0005; ;9003;000
09;001;0001 ;0005; ;9004;006
09;001;0001 ;0005; ;9005;004
09;001;0001 ;0005; ;9006;000
09;001;0001 ;0005; ;3019;006
09;001;0001 ;0005; ;3033;000
09;001;0001 ;0005; ;3099;004
09;001;0001 ;0005; ;3106;000
09;001;0001 ;0005; ;3110;006
09;001;0001 ;0005; ;3163;093
09;001;0001 ;0005; ;3201;117
09;001;0001 ;0006; ;9001;346
09;001;0001 ;0006; ;9002;240
09;001;0001 ;0006; ;9003;000
09;001;0001 ;0006; ;9004;001
09;001;0001 ;0006; ;9005;003
09;001;0001 ;0006; ;9006;001
09;001;0001 ;0006; ;3019;001
09;001;0001 ;0006; ;3033;005
09;001;0001 ;0006; ;3099;012
09;001;0001 ;0006; ;3106;000
09;001;0001 ;0006; ;3110;006
09;001;0001 ;0006; ;3163;099
09;001;0001 ;0006; ;3201;112
09;001;0001 ;0007; ;9001;345
09;001;0001 ;0007; ;9002;241
09;001;0001 ;0007; ;9003;000
09;001;0001 ;0007; ;9004;004
09;001;0001 ;0007; ;9005;004
09;001;0001 ;0007; ;9006;000
09;001;0001 ;0007; ;3019;006
09;001;0001 ;0007; ;3033;005
09;001;0001 ;0007; ;3099;010
09;001;0001 ;0007; ;3106;000
09;001;0001 ;0007; ;3110;010
09;001;0001 ;0007; ;3163;089
09;001;0001 ;0007; ;3201;113
09;001;0001 ;0008; ;9001;345
09;001;0001 ;0008; ;9002;251
09;001;0001 ;0008; ;9003;000
09;001;0001 ;0008; ;9004;003
09;001;0001 ;0008; ;9005;001
09;001;0001 ;0008; ;9006;000
09;001;0001 ;0008; ;3019;002
09;001;0001 ;0008; ;3033;003
09;001;0001 ;0008; ;3099;005
09;001;0001 ;0008; ;3106;000
09;001;0001 ;0008; ;3110;003
09;001;0001 ;0008; ;3163;105
09;001;0001 ;0008; ;3201;129
09;001;0001 ;0009; ;9001;345
09;001;0001 ;0009; ;9002;260
09;001;0001 ;0009; ;9003;000
09;001;0001 ;0009; ;9004;003
09;001;0001 ;0009; ;9005;000
09;001;0001 ;0009; ;9006;000
09;001;0001 ;0009; ;3019;003
09;001;0001 ;0009; ;3033;003
09;001;0001 ;0009; ;3099;010
09;001;0001 ;0009; ;3106;000
09;001;0001 ;0009; ;3110;007
09;001;0001 ;0009; ;3163;100
09;001;0001 ;0009; ;3201;134
09;001;0001 ;0010; ;9001;344
09;001;0001 ;0010; ;9002;235
09;001;0001 ;0010; ;9003;000
09;001;0001 ;0010; ;9004;005
09;001;0001 ;0010; ;9005;002
09;001;0001 ;0010; ;9006;000
09;001;0001 ;0010; ;3019;002
09;001;0001 ;0010; ;3033;003
09;001;0001 ;0010; ;3099;007
09;001;0001 ;0010; ;3106;000
09;001;0001 ;0010; ;3110;006
09;001;0001 ;0010; ;3163;078
09;001;0001 ;0010; ;3201;132
09;001;0001 ;0011; ;9001;345
09;001;0001 ;0011; ;9002;233
09;001;0001 ;0011; ;9003;000
09;001;0001 ;0011; ;9004;000
09;001;0001 ;0011; ;9005;002
09;001;0001 ;0011; ;9006;000
09;001;0001 ;0011; ;3019;001
09;001;0001 ;0011; ;3033;001
09;001;0001 ;0011; ;3099;007
09;001;0001 ;0011; ;3106;000
09;001;0001 ;0011; ;3110;005
09;001;0001 ;0011; ;3163;105
09;001;0001 ;0011; ;3201;109
09;001;0001 ;0012; ;9001;345
09;001;0001 ;0012; ;9002;000
09;001;0001 ;0012; ;9003;000
09;001;0001 ;0012; ;9004;002
09;001;0001 ;0012; ;9005;006
09;001;0001 ;0012; ;9006;000
09;001;0001 ;0012; ;3019;007
09;001;0001 ;0012; ;3033;004
09;001;0001 ;0012; ;3099;008
09;001;0001 ;0012; ;3106;000
09;001;0001 ;0012; ;3110;005
09;001;0001 ;0012; ;3163;102
09;001;0001 ;0012; ;3201;124
09;001;0001 ;0013; ;9001;345
09;001;0001 ;0013; ;9002;232
09;001;0001 ;0013; ;9003;000
