CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
14;001;0001 ;0010; ;3042;004
14;001;0001 ;0010; ;3048;004
14;001;0001 ;0010; ;3060;012
14;001;0001 ;0010; ;3083;007
14;001;0001 ;0010; ;3204;129
14;001;0001 ;0010; ;3275;035
14;001;0001 ;0010; ;3203;006
14;001;0001 ;0011; ;9001;351
14;001;0001 ;0011; ;9002;247
14;001;0001 ;0011; ;9003;000
14;001;0001 ;0011; ;9004;004
14;001;0001 ;0011; ;9005;001
14;001;0001 ;0011; ;9006;000
14;001;0001 ;0011; ;3020;007
14;001;0001 ;0011; ;3041;009
14;001;0001 ;0011; ;3042;006
14;001;0001 ;0011; ;3048;001
14;001;0001 ;0011; ;3060;019
14;001;0001 ;0011; ;3083;008
14;001;0001 ;0011; ;3204;147
14;001;0001 ;0011; ;3275;039
14;001;0001 ;0011; ;3203;006
14;001;0001 ;0012; ;9001;350
14;001;0001 ;0012; ;9002;228
14;001;0001 ;0012; ;9003;000
14;001;0001 ;0012; ;9004;002
14;001;0001 ;0012; ;9005;001
14;001;0001 ;0012; ;9006;000
14;001;0001 ;0012; ;3020;005
14;001;0001 ;0012; ;3041;006
14;001;0001 ;0012; ;3042;004
14;001;0001 ;0012; ;3048;000
14;001;0001 ;0012; ;3060;013
14;001;0001 ;0012; ;3083;015
14;001;0001 ;0012; ;3204;123
14;001;0001 ;0012; ;3275;048
14;001;0001 ;0012; ;3203;011
14;001;0001 ;0013; ;9001;350
14;001;0001 ;0013; ;9002;236
14;001;0001 ;0013; ;9003;000
14;001;0001 ;0013; ;9004;007
14;001;0001 ;0013; ;9005;000
14;001;0001 ;0013; ;9006;000
14;001;0001 ;0013; ;3020;005
14;001;0001 ;0013; ;3041;008
14;001;0001 ;0013; ;3042;004
14;001;0001 ;0013; ;3048;001
14;001;0001 ;0013; ;3060;012
14;001;0001 ;0013; ;3083;010
14;001;0001 ;0013; ;3204;141
14;001;0001 ;0013; ;3275;041
14;001;0001 ;0013; ;3203;007
14;001;0001 ;0014; ;9001;350
14;001;0001 ;0014; ;9002;224
14;001;0001 ;0014; ;9003;000
14;001;0001 ;0014; ;9004;002
14;001;0001 ;0014; ;9005;002
14;001;0001 ;0014; ;9006;000
14;001;0001 ;0014; ;3020;008
14;001;0001 ;0014; ;3041;004
14;001;0001 ;0014; ;3042;005
14;001;0001 ;0014; ;3048;003
14;001;0001 ;0014; ;3060;012
14;001;0001 ;0014; ;3083;006
14;001;0001 ;0014; ;3204;129
14;001;0001 ;0014; ;3275;000
14;001;0001 ;0014; ;3203;009
14;001;0001 ;0015; ;9001;354
14;001;0001 ;0015; ;9002;236
14;001;0001 ;0015; ;9003;000
14;001;0001 ;0015; ;9004;002
14;001;0001 ;0015; ;9005;000
14;001;0001 ;0015; ;9006;000
14;001;0001 ;0015; ;3020;004
14;001;0001 ;0015; ;3041;011
14;001;0001 ;0015; ;3042;001
14;001;0001 ;0015; ;3048;002
14;001;0001 ;0015; ;3060;016
14;001;0001 ;0015; ;3083;013
14;001;0001 ;0015; ;3204;140
14;001;0001 ;0015; ;3275;041
14;001;0001 ;0015; ;3203;006
14;001;0001 ;0016; ;9001;350
14;001;0001 ;0016; ;9002;228
14;001;0001 ;0016; ;9003;000
14;001;0001 ;0016; ;9004;003
14;001;0001 ;0016; ;9005;004
14;001;0001 ;0016; ;9006;000
14;001;0001 ;0016; ;3020;011
14;001;0001 ;0016; ;3041;006
14;001;0001 ;0016; ;3042;001
14;001;0001 ;0016; ;3048;002
14;001;0001 ;0016; ;3060;019
14;001;0001 ;0016; ;3083;006
14;001;0001 ;0016; ;3204;135
14;001;0001 ;0016; ;3275;036
14;001;0001 ;0016; ;3203;005
14;001;0001 ;0017; ;9001;350
14;001;0001 ;0017; ;9002;214
14;001;0001 ;0017; ;9003;000
14;001;0001 ;0017; ;9004;003
14;001;0001 ;0017; ;9005;006
14;001;0001 ;0017; ;9006;000
14;001;0001 ;0017; ;3020;004
14;001;0001 ;0017; ;3041;013
14;001;0001 ;0017; ;3042;002
14;001;0001 ;0017; ;3048;000
14;001;0001 ;0017; ;3060;015
14;001;0001 ;0017; ;3083;010
14;001;0001 ;0017; ;3204;122
14;001;0001 ;0017; ;3275;029
14;001;0001 ;0017; ;3203;010
14;001;0001 ;0018; ;9001;351
14;001;0001 ;0018; ;9002;000
14;001;0001 ;0018; ;9003;000
14;001;0001 ;0018; ;9004;004
14;001;0001 ;0018; ;9005;001
14;001;0001 ;0018; ;9006;000
14;001;0001 ;0018; ;3020;006
14;001;0001 ;0018; ;3041;011
14;001;0001 ;0018; ;3042;005
14;001;0001 ;0018; ;3048;000
14;001;0001 ;0018; ;3060;017
14;001;0001 ;0018; ;3083;010
14;001;0001 ;0018; ;3204;131
14;001;0001 ;0018; ;3275;035
14;001;0001 ;0018; ;3203;007
14;001;0001 ;0019; ;9001;350
14;001;0001 ;0019; ;9002;232
14;001;0001 ;0019; ;9003;000
14;001;0001 ;0019; ;9004;003
14;001;0001 ;0019; ;9005;004
14;001;0001 ;0019; ;9006;000
14;001;0001 ;0019; ;3020;005
14;001;0001 ;0019; ;3041;010
14;001;0001 ;0019; ;3042;002
14;001;0001 ;0019; ;3048;000
14;001;0001 ;0019; ;3060;014
14;001;0001 ;0019; ;3083;008
14;001;0001 ;0019; ;3204;146
